Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.38859597	1.79417	11.836259	-1.5765507	12.125	10.91464	50.0	0.0	150.0	2425.0	0.08083333333333333	1.1387584	0.21669473	1.8723676	-0.5676437	-0.56045777	0.11133065	0.41791278	-0.9203056	2.1362304e-08	-0.005975294	6.1035155e-09	-0.01222863	0.8543482	-0.46120423	37.46687	-22.142769	0.84987026	0.0	0.0047751614	0.0055557205	0.014166667	0.004901592	0.0013253968	0.013894389	0.92709416	0.84987026	1.0	0.0	0.0	1.837877	0.008463698	30000	190.11706113815308
1	0.4399234	1.8470029	11.84097	-1.3839878	11.065	11.061229	47.0	0.0	150.0	4638.0	0.0773	0.7175046	0.4791608	2.3546124	-1.28905	3.6485183	2.3123367	12.689142	-2.3930502	2.0345052e-09	-0.0072701504	-7.324219e-08	-0.0067964904	0.3826774	-0.06141293	16.654066	-4.0369253	0.38735363	0.0	0.0045371447	0.016672283	0.0070999973	0.0048462762	-0.002163997	0.015148511	0.5216675	0.38735363	1.0	0.0	1.0	1.8328652	0.0067589125	60000	387.766117811203
2	0.9896916	2.6662524	13.10488	-1.3535942	10.46	10.117727	45.0	0.0	150.0	6730.0	0.07477777777777778	0.5064075	0.5022013	2.3342364	-1.1382565	5.5835567	3.0806735	13.408186	-2.6254041	2.0345052e-09	-0.010170051	1.6276042e-08	-0.0035162272	0.77775156	-0.08165443	12.29745	-0.83863163	0.15287365	0.0	0.0047444124	0.019552354	0.003066667	0.004882144	-0.001701047	0.021008696	0.4925969	0.15287365	1.0	0.0	0.0	1.8327686	0.008100078	90000	583.099561214447
3	0.99400413	2.476922	15.9604225	-1.6881772	11.98	10.784229	49.0	0.0	150.0	9126.0	0.07605	0.5590792	0.6332444	3.4234521	-0.893416	6.1740656	3.2677608	14.951144	-3.618175	0.0	-0.005730062	6.1035155e-09	-0.013149938	0.66377944	-0.02842629	14.071829	-1.319704	0.5643793	0.0	0.0051383567	0.010874545	0.013199997	0.0052901697	-0.001702554	0.019093834	0.68739533	0.5643793	1.0	0.0	0.0	1.845034	0.007841787	120000	777.1418652534485
4	0.88994795	2.1075184	10.92069	-1.5608251	10.88	10.294446	62.0	0.0	150.0	11302.0	0.07534666666666667	0.58062994	0.7189997	3.92407	-1.253549	6.3627825	3.6917398	16.642159	-2.5679715	0.0	-0.008334878	0.0	-0.0048853518	0.5994854	-0.022909641	12.358865	-0.49892235	0.22692253	0.0	0.0040988303	0.017942434	0.0058666673	0.0041576377	-0.0009918159	0.016727433	0.4779575	0.22692253	1.0	0.0	0.0	1.8603184	0.008181215	150000	970.4236524105072
5	1.6663656	2.959297	13.222621	-1.5018905	11.35	9.690588	37.0	0.0	150.0	13572.0	0.0754	0.63795304	0.7174644	3.471398	-0.74373615	7.494963	3.652406	16.868153	-3.1345196	1.0172526e-08	-0.011551654	8.138021e-09	-0.008856456	1.1639405	-0.12071824	12.036881	-0.49649048	0.45165446	0.0	0.007529846	0.014518412	0.009000002	0.007532353	-0.00019247926	0.014776747	0.72016746	0.45165446	1.0	0.0	0.0	1.8638697	0.008980068	180000	1164.6282842159271
6	1.4049813	2.6011329	13.489746	-1.8019753	10.915	9.761545	37.0	0.0	150.0	15755.0	0.07502380952380952	0.74140567	0.8623142	4.15157	-1.0472721	6.8734226	3.3766565	16.56342	-3.0791018	-1.4241537e-08	-0.012141262	1.2207031e-08	-0.006590885	1.0452282	-0.0836944	10.415708	-0.5097313	0.26117894	0.0	0.0067320303	0.01803361	0.0061	0.006810078	-0.0012152746	0.018923003	0.6109866	0.26117894	1.0	0.0	0.0	1.8804615	0.009902622	210000	1357.7757155895233
7	2.6599457	3.966662	17.43728	-1.9189095	11.495	10.615083	51.0	0.0	150.0	18054.0	0.075225	0.9808474	0.9165318	4.1795726	-1.0798028	6.918475	3.6282074	18.41766	-3.0133274	2.0345052e-09	-0.010172512	-1.93278e-08	-0.006679542	2.5127537	-0.6589209	13.902593	-0.97285557	0.25495127	0.0	0.008448741	0.016331082	0.009966666	0.008451354	0.00026596675	0.02707458	0.7192643	0.25495127	1.0	0.0	1.0	1.8653812	0.0062926016	240000	1552.655253648758
8	2.9775152	3.7781777	18.533012	-1.9416796	11.455	9.086142	42.0	0.0	150.0	20345.0	0.07535185185185185	1.5057846	1.1788162	5.8086886	-1.3269877	7.0681562	3.6876545	21.319302	-4.322379	1.8310548e-08	-0.012317014	3.2552084e-08	-0.009840564	2.2445376	-0.23781109	13.252819	-0.90524673	0.38229778	0.0	0.008990011	0.016614309	0.009699999	0.0094280355	-0.0034889698	0.027790483	0.73559535	0.38229778	1.0	0.0	0.0	1.8683369	0.009043405	270000	1746.384179353714
9	3.8124435	4.2746935	15.885232	-1.5711111	11.23	8.550269	43.0	0.0	150.0	22591.0	0.07530333333333333	1.8184838	1.2580723	5.653998	-1.442811	7.1108575	3.0903943	19.111038	-2.654011	1.0172526e-09	-0.008013346	2.0345052e-08	-0.0064067994	2.7419794	-0.25424337	11.154221	-0.66951084	0.4765476	0.0	0.0066260668	0.017029215	0.008199997	0.0080470005	-0.005671069	0.022633728	0.62377876	0.4765476	1.0	0.0	1.0	1.8688767	0.0068036374	300000	1941.2044785022736
