Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	26.465977	4.0	78	2118.736235141754
0	1	28.83725	0.0	157	2220.117781162262
0	2	34.755703	0.0	235	2319.9724957942963
0	3	31.886187	0.0	314	2419.50803232193
0	4	31.686909	0.0	394	2522.526380300522
0	5	34.606327	0.0	472	2630.547427892685
0	6	29.60401	0.0	550	2739.1549842357635
0	7	28.24506	0.0	628	2847.3552935123444
0	8	39.041515	0.0	708	2958.54256272316
0	9	23.159838	1.0	785	3065.439563035965
1	10	31.464886	0.0	863	3616.440892934799
1	11	32.346413	2.0	941	3714.9506390094757
1	12	31.420507	2.0	1020	3813.9056272506714
1	13	35.679077	0.0	1098	3911.9182255268097
1	14	8.386473	0.0	1174	4008.3410165309906
1	15	33.855644	0.0	1254	4109.165746212006
1	16	29.336231	1.0	1331	4204.36089515686
1	17	25.318727	2.0	1409	4302.8250069618225
1	18	33.020157	0.0	1490	4403.614920377731
1	19	23.795973	2.0	1568	4507.36407160759
2	20	33.668133	0.0	1649	5327.195107698441
2	21	34.166065	2.0	1728	5426.071916818619
2	22	13.550247	1.0	1804	5525.3423726558685
2	23	33.803505	0.0	1883	5624.473619699478
2	24	16.262447	1.0	1959	5721.21542263031
2	25	30.290089	4.0	2036	5819.088786840439
2	26	35.852047	1.0	2114	5918.00056552887
2	27	34.1612	1.0	2194	6018.51984167099
2	28	31.747229	7.0	2273	6117.496412277222
2	29	13.041563	0.0	2349	6212.539818048477
3	30	36.49154	0.0	2430	6800.165974378586
3	31	31.698519	0.0	2511	6901.576562166214
3	32	32.05902	0.0	2590	7001.259162902832
3	33	32.89724	0.0	2666	7097.9796731472015
3	34	33.716583	0.0	2745	7199.500408411026
3	35	33.905415	0.0	2824	7300.876376628876
3	36	28.571016	0.0	2901	7398.704756259918
3	37	34.44661	0.0	2978	7497.032266616821
3	38	35.067226	0.0	3058	7598.411290168762
3	39	31.477907	0.0	3137	7696.8106825351715
4	40	31.575544	0.0	3216	8639.549881458282
4	41	32.541534	0.0	3295	8741.353368997574
4	42	28.822977	0.0	3374	8843.36779332161
4	43	35.535145	0.0	3452	8944.191282272339
4	44	34.634407	0.0	3531	9045.173135995865
4	45	31.265694	0.0	3610	9146.266984701157
4	46	36.587822	0.0	3690	9249.219581365585
4	47	36.217648	0.0	3773	9355.279032468796
4	48	23.207813	0.0	3852	9458.321871995926
4	49	34.248917	0.0	3934	9563.179673194885
5	50	26.619627	3.0	4011	10212.318492650986
5	51	36.806557	2.0	4089	10314.48887848854
5	52	33.499954	0.0	4167	10415.376821279526
5	53	31.93563	0.0	4247	10518.1909263134
5	54	31.25981	1.0	4326	10621.711757183075
5	55	6.78097	2.0	4402	10722.086702346802
5	56	31.365944	0.0	4481	10822.811002969742
5	57	30.407152	0.0	4560	10924.452340602875
5	58	32.51223	0.0	4639	11025.380110263824
5	59	30.812317	2.0	4719	11127.793829917908
6	60	34.50075	1.0	4798	12064.122364282608
6	61	32.85407	2.0	4876	12165.011728286743
6	62	34.467274	0.0	4956	12264.998112678528
6	63	34.10909	0.0	5035	12365.30360174179
6	64	33.68571	1.0	5114	12464.993330955505
6	65	33.132984	0.0	5192	12563.971181154251
6	66	34.716057	1.0	5271	12664.823955535889
6	67	29.386196	2.0	5349	12763.080039262772
6	68	35.47696	0.0	5427	12861.990520954132
6	69	31.274635	0.0	5507	12962.299902915955
7	70	34.89647	0.0	5587	13542.58658504486
7	71	29.901642	0.0	5667	13656.100042581558
7	72	30.48335	0.0	5746	13765.993927955627
7	73	28.109434	0.0	5825	13868.788828611374
7	74	36.24696	0.0	5906	13975.229678630829
7	75	29.164742	2.0	5985	14078.609182596207
7	76	36.11224	0.0	6065	14180.719065189362
7	77	34.926632	0.0	6143	14279.67486858368
7	78	37.061157	0.0	6221	14381.134716510773
7	79	33.92338	0.0	6300	14483.492778778076
8	80	33.53961	0.0	6380	15130.377581596375
8	81	33.037426	1.0	6460	15252.302134990692
8	82	33.314777	1.0	6537	15368.739352703094
8	83	33.328907	0.0	6615	15482.147654533386
8	84	29.855429	2.0	6693	15582.79652762413
8	85	33.84711	0.0	6772	15684.01367855072
8	86	30.176785	1.0	6850	15782.71837568283
8	87	36.429546	0.0	6931	15885.486474514008
8	88	34.309826	1.0	7011	15988.595246076584
8	89	34.32193	0.0	7091	16090.194205284119
9	90	32.900337	0.0	7169	16718.382692337036
9	91	29.941809	0.0	7248	16831.009412050247
9	92	31.78082	1.0	7327	16942.47296857834
9	93	32.53867	0.0	7407	17055.25467967987
9	94	34.716503	0.0	7485	17165.503129720688
9	95	34.648987	0.0	7565	17268.331704854965
9	96	35.34685	2.0	7643	17369.354736566544
9	97	33.057735	0.0	7722	17469.497756958008
9	98	36.90025	1.0	7800	17570.274288892746
9	99	34.067062	0.0	7881	17672.206765174866
10	100	35.33508	1.0	7961	18239.617203235626
10	101	32.732803	2.0	8041	18367.987287282944
10	102	33.92661	0.0	8122	18496.12492251396
10	103	30.742887	1.0	8201	18621.06079173088
10	104	31.03538	0.0	8279	18744.07198190689
10	105	28.98808	2.0	8357	18862.507631778717
10	106	31.055355	0.0	8437	18968.56002497673
10	107	31.361977	0.0	8516	19070.051182985306
10	108	34.71869	0.0	8597	19175.350067853928
10	109	33.369843	0.0	8676	19276.77804017067
11	110	33.33389	1.0	8754	19843.602086782455
11	111	31.746532	0.0	8832	19942.41953063011
11	112	25.033352	1.0	8910	20043.182513475418
11	113	31.604462	2.0	8989	20147.43637919426
11	114	16.49858	0.0	9066	20255.630616426468
11	115	30.350992	2.0	9146	20368.423403978348
11	116	32.11507	0.0	9226	20481.46891641617
11	117	34.936825	0.0	9304	20584.188765764236
11	118	31.36102	0.0	9382	20683.980519771576
11	119	32.722286	1.0	9459	20783.913438796997
12	120	19.81572	1.0	9536	21346.05430650711
12	121	33.400513	0.0	9615	21446.769253492355
12	122	32.99456	4.0	9693	21547.492217302322
12	123	30.285238	3.0	9772	21648.988699674606
12	124	31.202286	2.0	9851	21778.25282216072
12	125	34.356373	0.0	9932	21902.307869911194
12	126	32.746624	4.0	10011	22026.4176697731
12	127	33.141376	1.0	10088	22146.445630311966
12	128	34.1699	0.0	10167	22262.22984790802
12	129	34.197857	0.0	10248	22376.822464466095
13	130	34.19181	0.0	10327	23014.140031576157
13	131	34.47185	0.0	10406	23116.368283987045
13	132	29.890701	1.0	10484	23216.3993871212
13	133	36.17622	0.0	10563	23317.313328504562
13	134	33.48056	0.0	10642	23419.722579956055
13	135	30.52317	1.0	10720	23519.678728580475
13	136	32.176197	2.0	10798	23623.67135500908
13	137	34.999897	0.0	10878	23735.923185110092
13	138	17.842543	0.0	10954	23842.63005709648
13	139	34.713333	0.0	11033	23953.909105062485
14	140	35.09747	0.0	11113	24604.091321706772
14	141	36.28594	0.0	11192	24706.256056070328
14	142	34.669373	0.0	11272	24809.144424915314
14	143	10.675963	1.0	11349	24909.024039506912
14	144	28.515934	5.0	11427	25010.82625579834
14	145	37.79702	2.0	11508	25142.93904900551
14	146	31.996685	1.0	11587	25274.620231628418
14	147	36.084965	0.0	11667	25404.240166187286
14	148	32.059258	0.0	11746	25527.154767274857
14	149	35.651775	0.0	11825	25641.10640668869
15	150	10.987122	4.0	11901	26290.995646953583
15	151	30.548666	4.0	11981	26391.40769648552
15	152	34.952545	0.0	12061	26490.400845766068
15	153	32.937916	2.0	12138	26587.667216539383
15	154	31.812891	0.0	12216	26686.074192523956
15	155	32.33667	1.0	12294	26785.10417032242
15	156	31.278715	5.0	12370	26880.934011936188
15	157	34.70091	3.0	12450	26980.89697408676
15	158	36.033173	3.0	12529	27082.668384075165
15	159	33.328648	2.0	12606	27189.91433572769
16	160	34.947277	0.0	12684	27791.549501895905
16	161	32.928955	0.0	12765	27893.463956832886
16	162	35.147343	0.0	12844	27991.806857585907
16	163	32.27953	0.0	12923	28090.439849853516
16	164	4.684987	1.0	12999	28187.28137898445
16	165	32.48351	0.0	13078	28309.765621185303
16	166	31.507479	1.0	13157	28436.78933095932
16	167	36.961895	2.0	13235	28562.286494731903
16	168	32.78614	1.0	13315	28691.038567066193
16	169	35.4828	1.0	13395	28802.584461927414
17	170	9.547175	1.0	13470	29486.372748851776
17	171	33.691288	1.0	13551	29589.209664583206
17	172	35.040188	0.0	13632	29692.399709939957
17	173	34.471836	0.0	13713	29795.780042409897
17	174	30.688896	0.0	13793	29897.927736997604
17	175	32.65915	0.0	13874	30001.62101316452
17	176	32.970646	0.0	13954	30104.273560523987
17	177	34.56887	2.0	14035	30205.571343660355
17	178	33.678337	1.0	14115	30307.82541489601
17	179	32.84887	1.0	14195	30411.049718379974
18	180	36.26658	2.0	14274	31318.220412015915
18	181	29.08327	1.0	14353	31425.26184630394
18	182	30.604364	1.0	14431	31553.584238290787
18	183	21.954527	2.0	14509	31683.593187093735
18	184	33.845615	0.0	14588	31815.102857351303
18	185	33.650475	1.0	14666	31944.494067907333
18	186	20.153318	1.0	14742	32054.34026837349
18	187	28.799038	0.0	14821	32155.56176185608
18	188	34.69399	0.0	14900	32258.310851573944
18	189	29.384708	3.0	14978	32366.914022922516
19	190	34.33446	0.0	15057	32974.92446422577
19	191	30.709745	2.0	15135	33069.36043071747
19	192	33.27815	0.0	15213	33166.68808722496
19	193	34.472027	0.0	15292	33263.25155210495
19	194	14.937348	1.0	15369	33359.116000413895
19	195	33.999523	1.0	15448	33455.939193964005
19	196	31.28781	2.0	15526	33552.01006913185
19	197	32.79669	0.0	15607	33651.42515993118
19	198	29.65238	1.0	15684	33745.94076514244
19	199	27.90084	0.0	15762	33841.02377319336
20	200	32.7385	0.0	15841	34537.39018845558
20	201	32.620033	0.0	15918	34636.45729470253
20	202	33.619022	0.0	15996	34743.588173389435
20	203	34.640404	0.0	16074	34873.046833753586
20	204	32.152504	0.0	16153	35003.40618777275
20	205	37.86422	0.0	16231	35132.0477848053
20	206	12.323119	0.0	16307	35257.00138926506
20	207	34.41814	0.0	16387	35369.089963912964
20	208	31.894197	0.0	16466	35467.40652656555
20	209	0.37293625	7.0	16541	35557.736666440964
21	210	26.230932	0.0	16621	36186.614612817764
21	211	34.610935	0.0	16700	36283.59591126442
21	212	34.996975	0.0	16777	36380.54694008827
21	213	31.22485	1.0	16856	36478.22668385506
21	214	33.10602	0.0	16935	36575.12523984909
21	215	34.602554	0.0	17015	36675.258687734604
21	216	12.494111	2.0	17091	36770.66227173805
21	217	31.851086	0.0	17168	36864.96699023247
21	218	25.418655	1.0	17246	36962.80037903786
21	219	35.49664	0.0	17325	37059.93785405159
22	220	35.41717	0.0	17403	37826.00577831268
22	221	35.25117	0.0	17482	37924.22070479393
22	222	35.283245	0.0	17561	38021.913969516754
22	223	34.21811	0.0	17642	38140.763813734055
22	224	33.36235	0.0	17721	38267.73483324051
22	225	36.061344	0.0	17803	38401.41844058037
22	226	33.827843	0.0	17882	38529.159959316254
22	227	35.46944	1.0	17961	38657.50321817398
22	228	31.424187	2.0	18039	38757.57970166206
22	229	31.152584	0.0	18117	38853.32076025009
23	230	34.469494	0.0	18196	39561.25786423683
23	231	37.714935	0.0	18276	39663.631266117096
23	232	37.351994	0.0	18357	39766.00330924988
23	233	35.72712	0.0	18439	39868.983926057816
23	234	33.96339	1.0	18517	39968.741260290146
23	235	34.208603	0.0	18595	40067.77557229996
23	236	33.271797	3.0	18675	40168.54655504227
23	237	31.495136	0.0	18754	40267.25200510025
23	238	33.434586	0.0	18833	40366.15077018738
23	239	35.066437	0.0	18911	40465.37343001366
24	240	32.046227	1.0	18991	41163.40532159805
24	241	36.2014	0.0	19070	41270.038929224014
24	242	32.60768	0.0	19151	41379.61977815628
24	243	35.36713	0.0	19230	41500.097428798676
24	244	34.315544	2.0	19308	41627.16795182228
24	245	34.167847	0.0	19387	41755.08277440071
24	246	34.097862	2.0	19466	41883.78784275055
24	247	32.75147	0.0	19546	42012.50387740135
24	248	33.74312	0.0	19626	42110.26855015755
24	249	17.834234	0.0	19704	42206.30367517471
25	250	35.26594	0.0	19784	42821.45016527176
25	251	35.65593	0.0	19862	42930.18550181389
25	252	36.292862	0.0	19941	43041.06865143776
25	253	33.446323	1.0	20020	43151.52002835274
25	254	36.00689	0.0	20100	43257.95312333107
25	255	33.494724	0.0	20178	43357.46114230156
25	256	34.434765	0.0	20256	43457.80990314484
25	257	36.087116	0.0	20335	43557.56886959076
25	258	34.646526	0.0	20415	43658.01562213898
25	259	30.879078	0.0	20494	43759.21671414375
26	260	31.10154	0.0	20572	44360.4855928421
26	261	33.935104	0.0	20651	44466.7753572464
26	262	33.643536	2.0	20731	44577.3901154995
