Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	27.291258	0.0	78	1799.9325323104858
0	1	25.749393	1.0	157	1935.862928390503
0	2	26.369175	0.0	236	2073.3710536956787
0	3	28.71451	0.0	314	2200.467943906784
0	4	27.471426	0.0	392	2322.271562576294
0	5	31.158554	1.0	472	2444.17413187027
0	6	30.558334	0.0	551	2558.765143632889
0	7	27.112627	0.0	629	2671.571631669998
0	8	32.412136	0.0	708	2785.6598093509674
0	9	22.23577	0.0	786	2899.709748506546
1	10	32.248253	1.0	867	3789.267016172409
1	11	23.958681	0.0	945	3912.9982907772064
1	12	25.127148	1.0	1022	4026.672381401062
1	13	28.375645	1.0	1100	4140.959006071091
1	14	25.807325	1.0	1179	4256.145426273346
1	15	27.122892	1.0	1258	4372.53842997551
1	16	19.948835	0.0	1335	4485.169473409653
1	17	26.363905	1.0	1414	4602.221846580505
1	18	25.65276	1.0	1492	4715.882085323334
1	19	30.526928	1.0	1568	4827.813172578812
2	20	30.899824	0.0	1647	5638.084319591522
2	21	23.811665	1.0	1724	5750.469267129898
2	22	33.903095	2.0	1804	5868.445229053497
2	23	29.992352	0.0	1883	5981.081865310669
2	24	28.883799	8.0	1962	6097.324694633484
2	25	28.861898	6.0	2042	6214.888425827026
2	26	26.813362	1.0	2121	6330.5761704444885
2	27	29.569023	0.0	2199	6443.7782554626465
2	28	29.165392	3.0	2279	6560.168834209442
2	29	28.62373	2.0	2356	6678.556358575821
3	30	29.69823	2.0	2435	7315.257381439209
3	31	25.568754	0.0	2513	7426.463881969452
3	32	27.030916	0.0	2591	7538.559423923492
3	33	30.709108	0.0	2668	7648.479817867279
3	34	28.542967	0.0	2747	7761.441016197205
3	35	28.582426	4.0	2825	7874.237308263779
3	36	23.991543	1.0	2903	7986.115269184113
3	37	26.69032	2.0	2981	8099.849662780762
3	38	26.448627	0.0	3060	8222.792428731918
3	39	27.204596	0.0	3137	8345.287050485611
4	40	33.020473	0.0	3216	9100.48013973236
4	41	30.120127	0.0	3294	9217.19866013527
4	42	29.5087	0.0	3373	9335.718151330948
4	43	28.10918	0.0	3452	9453.172550439835
4	44	26.288706	0.0	3530	9570.581751346588
4	45	29.884449	0.0	3607	9688.270926713943
4	46	28.953495	0.0	3686	9807.984020233154
4	47	29.169823	0.0	3765	9926.26670718193
4	48	32.129036	2.0	3844	10051.223372459412
4	49	28.159842	0.0	3922	10177.728125572205
5	50	30.313993	0.0	4002	10756.8610227108
5	51	29.602808	1.0	4079	10873.828302145004
5	52	28.14429	0.0	4157	10991.62323975563
5	53	26.545141	2.0	4234	11107.126011371613
5	54	26.748781	1.0	4312	11226.42051076889
5	55	28.079039	4.0	4390	11344.091893196106
5	56	24.85942	3.0	4467	11460.36238694191
5	57	31.18924	1.0	4546	11583.805658340454
5	58	30.26885	0.0	4625	11718.129195451736
5	59	23.537727	0.0	4705	11862.116954088211
6	60	31.390265	0.0	4783	12607.827620267868
6	61	24.03454	2.0	4860	12722.638106584549
6	62	28.561735	0.0	4938	12835.14649772644
6	63	28.987123	0.0	5018	12954.1197245121
6	64	29.05231	0.0	5096	13068.868523836136
6	65	27.703472	0.0	5175	13185.563403367996
6	66	29.796658	0.0	5255	13304.644406080246
6	67	23.655146	3.0	5334	13426.217114448547
6	68	29.774933	2.0	5413	13549.284493923187
6	69	26.09974	0.0	5489	13668.770764350891
7	70	27.993752	0.0	5566	14262.94343495369
7	71	31.123344	1.0	5645	14377.836040258408
7	72	30.182512	1.0	5724	14493.032402276993
7	73	28.719997	1.0	5803	14608.677839040756
7	74	31.700138	1.0	5882	14723.8943297863
7	75	26.703026	2.0	5959	14835.969331741333
7	76	30.614351	0.0	6037	14953.709154129028
7	77	27.21872	3.0	6114	15076.218189001083
7	78	29.830957	0.0	6194	15208.080076932907
7	79	28.773714	0.0	6273	15346.700180768967
8	80	26.623253	0.0	6352	16023.245753288269
8	81	30.7911	1.0	6431	16141.125894069672
8	82	28.205097	2.0	6510	16258.341140031815
8	83	29.558563	1.0	6590	16374.67685174942
8	84	28.16992	0.0	6668	16490.371734380722
8	85	30.40865	1.0	6746	16615.065678596497
8	86	29.281258	0.0	6825	16740.698437213898
8	87	28.209255	0.0	6903	16864.859273672104
8	88	30.88943	1.0	6980	16987.386690616608
8	89	24.077787	0.0	7058	17102.47586297989
9	90	30.02638	1.0	7137	17684.501002550125
9	91	26.391478	0.0	7213	17795.60288310051
9	92	31.261835	0.0	7291	17910.223625659943
9	93	30.078266	0.0	7372	18030.355937957764
9	94	30.710577	0.0	7449	18151.62361931801
9	95	29.280693	0.0	7527	18275.93795108795
9	96	26.841982	1.0	7604	18399.19076704979
9	97	27.71279	0.0	7682	18521.480649232864
9	98	35.694584	0.0	7763	18641.81904411316
9	99	29.20763	0.0	7841	18767.181663513184
10	100	29.54021	1.0	7919	19429.896398305893
10	101	26.951487	1.0	7996	19543.86821937561
10	102	33.178913	0.0	8076	19662.39573764801
10	103	29.374044	1.0	8156	19793.049945116043
10	104	30.627384	0.0	8236	19922.560651302338
10	105	27.552969	1.0	8311	20042.369792461395
10	106	28.167845	2.0	8387	20160.578281402588
10	107	28.977966	0.0	8465	20275.415867328644
10	108	30.203955	4.0	8542	20390.552706241608
10	109	30.051973	0.0	8622	20507.225099802017
11	110	27.663696	1.0	8698	21035.122990131378
11	111	31.265308	0.0	8777	21153.759318828583
11	112	29.383224	6.0	8855	21280.11982703209
11	113	28.992197	1.0	8933	21405.801113843918
11	114	26.888287	0.0	9012	21531.883104085922
11	115	29.046104	0.0	9091	21659.004723787308
11	116	27.526442	0.0	9170	21780.679669857025
11	117	28.1995	1.0	9247	21895.87234902382
11	118	33.69384	0.0	9326	22014.695912361145
11	119	27.188791	3.0	9403	22146.0742521286
12	120	29.745094	2.0	9482	22883.87482237816
12	121	29.18726	2.0	9562	23015.205184221268
12	122	30.693016	5.0	9641	23145.738198041916
12	123	30.533678	2.0	9719	23270.732118606567
12	124	28.18602	0.0	9797	23388.130821943283
12	125	28.053967	1.0	9876	23504.235963582993
12	126	26.834711	0.0	9954	23617.956047058105
12	127	27.660004	0.0	10032	23734.305194616318
12	128	30.894732	0.0	10111	23852.46258378029
12	129	28.876345	0.0	10190	23970.76275897026
13	130	28.900158	0.0	10269	24599.25514936447
13	131	30.435677	0.0	10348	24727.02965927124
13	132	29.748734	1.0	10427	24855.44098687172
13	133	28.98522	0.0	10505	24973.71604013443
13	134	27.404112	2.0	10583	25091.36848640442
13	135	29.461536	3.0	10661	25208.609858989716
13	136	28.776764	3.0	10740	25327.994265794754
13	137	28.232027	0.0	10819	25450.904866218567
13	138	28.962496	0.0	10899	25588.169392108917
13	139	29.366426	0.0	10976	25719.7077524662
14	140	25.562485	2.0	11054	26379.132855415344
14	141	27.817019	1.0	11130	26501.661565303802
14	142	31.077108	0.0	11209	26622.747473716736
14	143	29.130676	1.0	11287	26737.39999651909
14	144	26.023674	2.0	11364	26852.051473855972
14	145	28.836014	7.0	11442	26968.399816274643
14	146	29.382242	0.0	11522	27086.08420062065
14	147	28.45959	0.0	11600	27201.708200454712
14	148	29.304728	0.0	11678	27317.081015110016
14	149	31.000244	3.0	11755	27431.417101860046
15	150	31.749504	2.0	11833	28034.755767583847
15	151	28.027061	3.0	11911	28149.97350215912
15	152	27.232773	1.0	11990	28263.768366098404
15	153	29.857712	1.0	12070	28380.072997808456
15	154	26.12946	1.0	12150	28495.66841673851
15	155	28.02035	3.0	12228	28609.94388794899
15	156	28.497795	1.0	12305	28737.0184135437
