Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	2.263384	0.0	76	1271.9468595981598
0	1	23.933424	0.0	152	1365.753058195114
0	2	2.389606	0.0	228	1458.6778147220612
0	3	2.5285509	0.0	304	1548.917963027954
0	4	0.2637657	0.0	379	1643.1420991420746
0	5	3.9991078	0.0	455	1734.651094675064
0	6	0.28140414	0.0	530	1823.8688776493075
0	7	1.7551854	0.0	606	1915.6080729961395
0	8	0.7730509	0.0	681	2007.887293100357
0	9	5.1344743	0.0	757	2098.2589740753174
1	10	20.644814	0.0	836	2408.4339082241063
1	11	8.679569	0.0	912	2499.9637792110448
1	12	6.626746000000001	0.0	987	2592.7073395252232
1	13	29.249958000000003	0.0	1068	2689.156784534455
1	14	3.2463424	0.0	1143	2780.553394317627
1	15	30.435609999999997	1.0	1224	2879.4005579948425
1	16	30.665396	0.0	1302	2975.5568902492523
1	17	21.233173	0.0	1380	3072.179969072342
1	18	21.007942	0.0	1459	3168.475135803223
1	19	0.38810903	0.0	1534	3258.795983314514
2	20	8.073194	0.0	1610	3550.9531548023224
2	21	26.87245	1.0	1689	3646.144103765488
2	22	19.487885000000002	0.0	1766	3738.970510721207
2	23	28.180294	0.0	1844	3834.373951435089
2	24	30.095087	0.0	1922	3931.4291973114014
2	25	10.255042	0.0	1998	4037.153010129929
2	26	29.177143	0.0	2075	4139.621479034424
2	27	0.36237529999999996	0.0	2150	4231.42795944214
2	28	31.637403000000003	0.0	2228	4335.8137888908395
2	29	30.452314	0.0	2307	4442.144158363342
3	30	31.508670000000002	0.0	2386	4776.949707508087
3	31	25.967817	0.0	2463	4868.061020612718
3	32	29.213465000000003	0.0	2544	4965.3800909519205
3	33	29.906853	0.0	2623	5066.117321014404
3	34	0.36207209999999995	0.0	2698	5166.0378489494315
3	35	29.122496	0.0	2780	5275.125445604323
3	36	29.762897	0.0	2858	5382.478007793426
3	37	29.393726	0.0	2938	5492.8846447467795
3	38	10.940010000000001	0.0	3015	5598.827922821045
3	39	30.289834999999997	0.0	3094	5693.867331027985
4	40	29.038774	0.0	3173	6027.901916980743
4	41	27.288898	0.0	3253	6135.3150753974915
4	42	27.404667	0.0	3332	6242.7228174209595
4	43	31.781415999999997	0.0	3412	6351.948266506195
4	44	31.215055	0.0	3493	6452.239070892334
4	45	24.568132000000002	0.0	3571	6545.9485039711
4	46	26.804796000000003	0.0	3649	6641.158509254456
4	47	29.167582	0.0	3727	6742.668015956879
4	48	12.355722	0.0	3804	6848.688136100769
4	49	32.526993	0.0	3883	6957.441225528717
5	50	28.013338	0.0	3964	7310.551436662675
5	51	24.302792	0.0	4043	7405.400608062744
5	52	27.849815000000003	0.0	4123	7505.373590469359
5	53	31.381391999999998	0.0	4202	7612.310631275177
5	54	30.031069	0.0	4282	7719.113118648529
5	55	32.927227	0.0	4362	7828.334980010986
5	56	32.0664	0.0	4441	7931.653279542924
5	57	25.905426000000002	0.0	4520	8035.235374927521
5	58	0.5499063	0.0	4595	8125.80091381073
5	59	29.404987	0.0	4673	8220.933923721313
6	60	29.711506	0.0	4752	8571.032055377958
6	61	31.355307	0.0	4832	8681.641177654266
6	62	27.986773	0.0	4911	8788.166928768158
6	63	30.809608	0.0	4990	8889.694693565369
6	64	27.945345	0.0	5069	8984.353308439255
6	65	1.2799673	0.0	5144	9078.955709457396
6	66	26.470228000000002	0.0	5221	9181.152459859848
6	67	29.658361	0.0	5301	9288.382841348648
6	68	28.020528999999996	0.0	5381	9396.343665838242
6	69	27.046188	0.0	5461	9504.557163000107
7	70	29.524446	0.0	5541	9815.612947940826
7	71	7.4724	0.0	5617	9920.099091053007
7	72	28.095259999999996	0.0	5697	10029.712216854095
7	73	30.320435999999997	0.0	5778	10141.268380880356
7	74	29.409763	0.0	5858	10249.359738111496
7	75	25.144249	0.0	5936	10356.583577632904
7	76	31.624376	0.0	6017	10459.969247341156
7	77	8.205323	0.0	6094	10554.642737388609
7	78	30.825678000000003	0.0	6173	10657.334696769714
7	79	29.647454999999997	0.0	6252	10763.376149177553
8	80	31.965252000000003	0.0	6330	11080.878333330154
8	81	26.742490000000004	0.0	6410	11182.361344814299
8	82	28.842764000000003	0.0	6488	11287.218708753586
8	83	27.624046000000003	0.0	6567	11395.211050510405
8	84	28.862242	0.0	6647	11505.75079035759
8	85	26.700233	0.0	6726	11612.095305681229
8	86	30.747604	0.0	6807	11720.973932504654
8	87	31.473540999999997	0.0	6889	11828.206743955612
8	88	32.771667	0.0	6969	11931.838291406631
8	89	31.970728	0.0	7049	12028.67801117897
9	90	33.75339	0.0	7129	12380.05067229271
9	91	24.802845	0.0	7207	12484.301337242126
9	92	28.912262	0.0	7286	12588.670426607132
9	93	30.084929	0.0	7365	12684.662022590637
9	94	16.430462	0.0	7443	12787.704788446426
9	95	32.801605	0.0	7524	12898.359448432922
9	96	29.781836	0.0	7601	13002.117802858353
9	97	31.744713	0.0	7681	13109.320323228836
9	98	5.1724906	0.0	7757	13211.267726659775
9	99	14.787685999999999	0.0	7834	13313.046014547348
10	100	31.566174	0.0	7914	13651.36129999161
10	101	32.816494	0.0	7994	13749.07175540924
10	102	27.307768	1.0	8072	13852.653483390808
10	103	31.675463	0.0	8152	13959.911073923113
10	104	30.29859	0.0	8232	14068.170332193376
10	105	29.233347	0.0	8312	14176.433519363403
10	106	25.941591	0.0	8391	14285.172814369202
10	107	33.066320000000005	0.0	8471	14394.366219520569
10	108	34.08979	0.0	8552	14505.540304899216
10	109	22.425504999999998	0.0	8630	14610.250876188278
11	110	0.6162385	0.0	8705	14961.603387117386
11	111	12.788522	0.0	8782	15057.854506254196
11	112	32.572975	0.0	8862	15154.843925952913
11	113	0.51354504	0.0	8937	15245.217744112017
11	114	18.25842	0.0	9015	15341.564155578611
11	115	10.249758	0.0	9092	15445.955516099932
11	116	22.61168	0.0	9171	15551.399864912031
11	117	14.708437	0.0	9248	15657.788494348526
11	118	30.397152000000002	0.0	9327	15767.774107217789
11	119	22.721828	0.0	9406	15874.993093013765
12	120	28.137245	0.0	9484	16191.180757999418
12	121	31.558952	0.0	9563	16294.637378454208
12	122	28.156066999999997	0.0	9642	16401.661702871323
12	123	30.916632	0.0	9724	16512.864843845367
12	124	29.590374	0.0	9805	16620.801352262493
12	125	31.720409999999998	0.0	9886	16730.822844266888
12	126	28.393728000000003	0.0	9966	16831.174918174744
12	127	29.175490999999997	0.0	10045	16926.62224149704
12	128	23.823706	0.0	10123	17031.659646987915
12	129	30.13086	0.0	10201	17138.80245923996
13	130	31.505314000000002	0.0	10281	17529.422751903534
13	131	2.2657666	0.0	10357	17621.779878377914
13	132	25.063543	0.0	10434	17716.088206291202
13	133	31.010471000000003	0.0	10514	17824.510618448257
13	134	28.190056	0.0	10594	17933.196532726288
13	135	30.604088	0.0	10672	18036.414776563644
13	136	0.99252766	0.0	10747	18136.150118112564
13	137	28.924913	0.0	10826	18242.066368579865
13	138	26.899510999999997	0.0	10906	18340.00701904297
13	139	31.065907	0.0	10988	18443.750182390213
14	140	16.048225	0.0	11065	18810.63558912277
14	141	30.726166	0.0	11144	18920.5341296196
14	142	28.543298999999998	0.0	11224	19027.365219354633
14	143	30.131265999999997	0.0	11302	19121.651884794235
14	144	28.62541	0.0	11382	19220.524312496185
14	145	31.054846	0.0	11460	19325.34119939804
14	146	0.47840852	0.0	11535	19425.602912425995
14	147	31.569721	0.0	11616	19535.19861483574
14	148	28.557959999999998	0.0	11694	19640.48503375053
14	149	30.387882	0.0	11774	19749.19197535515
15	150	6.392027	0.0	11850	20056.536769390106
15	151	33.87591	0.0	11930	20165.591304302216
15	152	13.963325	0.0	12008	20271.948806285858
15	153	32.407364	0.0	12088	20381.999486923214
15	154	29.123589000000003	0.0	12167	20488.981038331985
15	155	23.727253	0.0	12244	20587.91943883896
15	156	22.521156	0.0	12321	20681.045485973358
15	157	30.322022999999998	0.0	12400	20776.832963705063
15	158	20.422634	0.0	12479	20871.952535152435
15	159	23.967937	0.0	12558	20979.48518037796
16	160	22.495941000000002	0.0	12635	21307.553084373478
16	161	3.4132263999999997	0.0	12710	21409.838923454285
16	162	29.632507	0.0	12791	21506.89942216873
16	163	29.733003999999998	0.0	12869	21611.431353092194
16	164	28.748337	0.0	12948	21720.116120100018
16	165	1.1444406999999999	0.0	13023	21825.10145330429
16	166	25.589499	0.0	13102	21931.37234044075
16	167	30.177086	0.0	13183	22039.760560274128
16	168	25.596373	0.0	13262	22145.699956655502
16	169	29.614592	0.0	13342	22247.83530664444
17	170	18.041454	0.0	13420	22653.84620308876
17	171	19.214962	0.0	13499	22759.55431342125
17	172	27.949540000000002	0.0	13579	22869.534434556957
17	173	28.674746000000003	0.0	13659	22977.08961963654
17	174	24.238777	0.0	13738	23084.869008779526
17	175	24.34629	0.0	13818	23193.774461746216
17	176	27.094753000000004	0.0	13895	23293.956329345703
17	177	23.936539	0.0	13973	23397.487481832504
17	178	26.745146000000002	0.0	14052	23503.835788488388
17	179	30.640787	0.0	14132	23609.995503664013
18	180	0.36600609999999995	0.0	14207	23959.938551425934
18	181	28.366235999999997	0.0	14287	24055.72710585594
18	182	27.61556	0.0	14365	24151.245386600494
18	183	30.321701	0.0	14444	24258.998938798908
18	184	25.625656	0.0	14524	24370.42235922813
18	185	28.280136	0.0	14602	24477.130085945133
18	186	0.23123439	0.0	14677	24581.259700775143
18	187	29.904878999999998	0.0	14757	24687.0378947258
18	188	31.847437	0.0	14837	24784.105306386948
18	189	29.281253999999997	0.0	14917	24881.13191986084
19	190	32.196564	0.0	14998	25206.20378446579
19	191	27.102068	0.0	15076	25310.714793920517
19	192	24.695926999999998	0.0	15154	25414.972527265552
19	193	19.087688	0.0	15231	25519.109052419662
19	194	34.822990000000004	0.0	15312	25619.803092956543
19	195	25.965920999999998	0.0	15391	25713.606082201008
19	196	29.757246000000002	0.0	15468	25814.533103466034
19	197	7.7223353	0.0	15544	25919.64157128334
19	198	32.434208	0.0	15623	26028.542378902435
19	199	27.601784000000002	1.0	15703	26139.02916049957
20	200	31.244090999999997	0.0	15783	26495.20769906044
20	201	0.33547717	0.0	15858	26590.185076951984
20	202	26.850440000000003	0.0	15936	26697.034032106403
20	203	33.37679	0.0	16017	26804.544951438907
20	204	25.912764000000003	0.0	16096	26913.068753004078
20	205	15.365058	0.0	16174	27019.068099260334
20	206	31.113979999999998	0.0	16255	27122.872281312946
20	207	25.015932	0.0	16333	27216.68500375748
20	208	0.8625746999999999	0.0	16408	27316.376789569855
20	209	27.386177000000004	0.0	16488	27426.85984635353
21	210	4.226118	0.0	16564	27775.72594380379
21	211	33.59174	0.0	16643	27876.14906048775
21	212	3.6668267	0.0	16719	27968.240155458454
21	213	30.882563	0.0	16798	28063.980013608925
21	214	33.192543	0.0	16877	28166.527145147324
21	215	28.029546999999997	0.0	16957	28275.867111682885
21	216	13.457462	0.0	17034	28380.7218606472
21	217	27.767141	0.0	17113	28486.96181869507
21	218	33.35372	0.0	17196	28600.25441145897
21	219	0.35301384	0.0	17271	28693.637257575985
22	220	31.615757000000002	0.0	17351	29062.7810959816
22	221	32.916126	0.0	17432	29173.337268352516
22	222	26.127958	0.0	17512	29282.827114820484
22	223	30.698875	0.0	17591	29389.800389528278
