Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.19556236	1.4174061	12.421368	-1.3771565	13.055	11.036393	46.0	0.0	150.0	2611.0	0.08703333333333334	1.1307809	0.21609849	1.8436373	-0.4404575	-0.55370754	0.10907504	0.46447366	-0.96168256	3.153483e-08	-0.008092793	6.510417e-08	-0.013698177	0.7904888	-0.44465232	41.20544	-24.811483	1.0	0.0318954	2.2230685	0.0	1.837877	0.007816172	30000	198.41862177848816
1	0.3327484	1.5260415	10.591219	-1.4169843	12.345	11.969794	46.0	0.0	150.0	5080.0	0.08466666666666667	0.64083356	0.43113452	2.5762925	-1.4106302	3.7728596	2.6065812	12.518918	-3.0235941	-2.3210362e-08	-0.0103568565	-2.746582e-08	-0.017524492	0.40354657	-0.07431525	20.463993	-5.5524683	1.0318954	0.031966567	1.8325171	0.0	1.8313363	0.007934519	60000	401.04078364372253
2	0.20168659	1.2736412	7.7579813	-1.5802827	12.465	10.904988	43.0	0.0	150.0	7573.0	0.08414444444444444	0.46109948	0.5112233	2.8667397	-1.0257707	6.1147947	3.0868797	13.700743	-2.4970305	-1.0665414e-08	-0.010031581	-1.0172526e-08	-0.015307121	0.1965212	-0.03497885	14.908276	-1.3593102	1.063862	0.03254211	1.9049042	0.0	1.8239009	0.008579813	90000	604.3577034473419
3	0.2437837	1.6325418	13.796842	-1.4731845	11.74	10.262183	43.0	0.0	150.0	9921.0	0.082675	0.27440766	0.45247218	2.484264	-1.1077355	6.681647	3.5269222	14.563856	-2.9592288	-1.2739046e-08	-0.009649485	-1.3224284e-08	-0.016805377	0.30234802	-0.013282329	12.0299425	-0.5802603	1.0964041	0.03226185	2.0000439	0.0	1.8127255	0.008643593	120000	808.0022554397583
4	0.3914971	1.529215	8.181143	-1.9262127	11.09	10.646686	43.0	0.0	150.0	12139.0	0.08092666666666666	0.23909542	0.5061054	2.9946404	-1.0075898	6.6161537	3.5991206	15.4196415	-2.2914135	-2.6213471e-09	-0.008695976	4.0690105e-09	-0.013888566	0.25119644	-0.009915486	11.835728	-0.46739197	1.1286659	0.031068325	2.081942	0.0	1.8125608	0.0073040165	150000	1010.3211665153503
5	0.283314	1.1229552	5.353609	-1.5404263	12.415	11.098323	48.0	0.0	150.0	14622.0	0.08123333333333334	0.2808449	0.5493633	2.9361148	-0.8786377	7.219349	3.4858816	15.542287	-2.5919917	1.46537715e-08	-0.010640944	3.2552084e-08	-0.016879996	0.19361104	-0.019481823	14.443285	-0.86244965	1.1597342	0.03231263	1.8729129	0.0	1.8011253	0.008961624	180000	1213.4934167861938
6	0.2669189	1.2282658	6.329348	-1.3926779	12.42	10.718843	46.0	0.0	150.0	17106.0	0.08145714285714285	0.24653904	0.4907144	2.3007865	-0.93778145	7.63975	4.2424183	17.275599	-4.046439	-9.851371e-09	-0.009141713	-9.155274e-09	-0.013084828	0.20712133	-0.015332609	12.256696	-0.37935448	1.1920469	0.03333664	2.1033957	0.0	1.7683398	0.008781303	210000	1417.1560542583466
7	0.4069815	1.6243287	15.066958	-1.8875227	12.915	11.269329	55.0	0.0	150.0	19689.0	0.0820375	0.23862182	0.4975778	2.0530186	-0.89874274	7.8715606	3.9988275	18.307865	-4.2408	-8.242065e-10	-0.012006554	-8.138021e-09	-0.019385297	0.32934442	-0.028170437	14.187531	-0.83024883	1.2253835	0.034504056	1.6473174	0.0	1.7514793	0.00798979	240000	1620.511611700058
8	0.37840348	1.393083	5.493075	-1.7140193	11.34	10.644454	51.0	0.0	150.0	21957.0	0.08132222222222223	0.22698249	0.516535	2.6639385	-0.87436354	7.9286227	4.20525	19.139612	-3.9166622	8.371988e-09	-0.010553453	1.0172526e-08	-0.017230865	0.2581892	-0.04197058	12.441761	-0.9247284	1.2598876	0.033896208	1.9090557	0.0	1.7621375	0.009368327	270000	1824.9641621112823
9	0.4245299	1.5634828	9.545523	-1.5589406	11.145	9.07546	35.0	0.0	150.0	24186.0	0.08062	0.2712765	0.5376785	2.4730117	-0.8670832	6.878596	3.6854231	18.100582	-3.5841653	-7.980165e-09	-0.01022586	-1.7293294e-08	-0.015565135	0.250835	-0.027267486	10.928233	-0.80753326	1.2937838	0.03313577	1.8662035	0.0	1.7654507	0.009189408	300000	2028.7253413200378
