Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.19556236	1.4174061	12.421368	-1.3771565	13.055	11.036393	46.0	0.0	150.0	2611.0	0.08703333333333334	1.1307809	0.21609849	1.8436373	-0.4404575	-0.55370754	0.10907504	0.46447366	-0.96168256	-2.0345052e-09	-0.005750389	6.510417e-08	0.0014101075	0.7904888	-0.44465232	41.20544	-24.811483	0	0	2.3273528	1.0	1.837877	0.005946959	30000	194.5184509754181
1	0.29261926	1.4606533	7.0594015	-1.4241132	12.26	11.800949	48.0	0.0	150.0	5063.0	0.08438333333333334	0.63879496	0.43302375	2.57923	-2.8163002	3.7544014	2.543709	12.446518	-4.362768	2.0345052e-08	-0.009880255	-1.6276042e-08	-0.00130601	0.29930922	-0.08892208	19.618954	-5.591402	0	0	2.0711958	0.0	1.8293709	0.0097717745	60000	397.09895730018616
2	0.29524386	1.3156655	6.337585	-1.689306	12.3	10.297087	41.0	0.0	150.0	7523.0	0.0835888888888889	0.42932996	0.5051142	3.0657039	-1.0658185	6.2690973	3.0169146	13.322457	-2.933112	-1.93278e-08	-0.00955036	-1.6276042e-08	0.0026974774	0.2278007	-0.022641525	13.2433605	-1.5093269	0	0	2.0541947	0.0	1.8310618	0.007576719	90000	600.4085111618042
3	0.33754823	1.4587598	9.281866	-1.3986465	12.685	11.010712	41.0	0.0	150.0	10060.0	0.08383333333333333	0.28580305	0.43938577	2.0705168	-1.0730898	6.852522	3.2224977	14.422507	-1.903809	9.155274e-09	-0.011976518	8.138021e-09	0.0014553996	0.29477328	-0.007433504	15.125436	-1.3221436	0	0	1.8989861	0.0	1.8398726	0.008568867	120000	804.1137638092041
4	0.7456671	1.5915449	9.585803	-1.3919457	12.385	11.476357	56.0	0.0	150.0	12537.0	0.08358	0.26956287	0.46802816	2.32128	-0.93462485	7.380274	3.706636	16.175673	-1.9668213	6.1035155e-09	-0.011641663	-2.2379558e-08	0.003692751	0.31012708	-0.02483794	14.79655	-0.9301491	0	0	1.8935784	0.0	1.8582382	0.008151121	150000	1006.8745086193085
5	1.1018089	1.8432045	9.136155	-1.3858106	14.47	11.715336	63.0	0.0	150.0	15431.0	0.08572777777777778	0.38970104	0.5347202	3.0269616	-0.81859773	8.591711	3.6176722	19.702753	-1.76571	-2.0345052e-09	-0.013258958	5.2897136e-08	0.0051775225	0.498223	-0.04949525	16.827553	-0.96757126	0	0	1.4670919	1.0	1.8735476	0.0064364085	180000	1210.3039500713348
6	1.3871123	2.270507	10.088414	-1.7912835	15.29	10.67876	49.0	0.0	150.0	18489.0	0.08804285714285714	0.5637882	0.6147012	3.0479958	-0.5793659	9.137201	3.9470677	20.04216	-2.2591531	-9.155274e-09	-0.015506898	3.2552084e-08	0.008621264	0.7146993	-0.09978372	16.334026	-1.342639	0	0	1.5138041	0.0	1.8862865	0.00955794	210000	1414.3995780944824
7	2.5183265	2.8540778	13.810569	-1.280158	16.35	10.194484	51.0	0.0	150.0	21759.0	0.0906625	0.84660715	0.6985751	3.6878362	-0.55001813	10.519946	3.5554373	20.649841	-2.8133123	1.4241537e-08	-0.015196719	-2.4414062e-08	0.008240112	1.5552526	-0.41958845	17.541458	-1.1067047	0	0	1.4355298	0.0	1.9072618	0.009565234	240000	1617.8174686431885
8	2.8977408	3.037865	14.683968	-1.8193659	17.56	10.704504	56.0	0.0	150.0	25271.0	0.0935962962962963	1.2813637	0.9891214	4.8496685	-0.7577649	11.209473	3.392409	21.871748	-2.5775416	5.086263e-09	-0.01398912	1.4241537e-08	0.0059372536	1.7197748	-0.3593608	19.373827	-1.3187752	0	0	1.5568032	0.0	1.9331481	0.009342921	270000	1820.7177975177765
9	3.7337148	3.3030663	12.82848	-1.4775213	17.05	9.648187	42.0	0.0	150.0	28681.0	0.09560333333333333	1.6487919	1.0411459	4.211774	-0.73874265	11.333891	3.1429815	23.466726	-0.45209873	1.0681152e-08	-0.013509396	4.4759116e-08	0.0073056896	2.2808573	-0.42046392	17.269445	-1.1330833	0	0	1.5438844	0.0	1.9349318	0.009631331	300000	2024.7083513736725
10	4.750103	3.7120397	17.159138	-2.2811265	20.01	10.141987	53.0	0.0	150.0	32683.0	0.09903939393939394	2.1788235	1.1323596	4.702888	-0.5277059	12.041059	3.0670404	22.262169	0.66269433	-2.0345052e-08	-0.011981443	4.4759116e-08	0.006030953	2.8864083	-0.30368805	18.99973	-2.0230026	0	0	1.6838961	0.0	1.9389337	0.009014291	330000	2231.5957527160645
11	6.5848536	4.6724944	21.271431	-1.2986029	20.77	10.922321	52.0	0.0	150.0	36837.0	0.102325	2.6523993	1.176942	5.4781847	-0.42621765	13.1814785	3.189246	23.311739	0.6185991	-8.138021e-09	-0.0123303095	0.0	0.0058629396	4.4709134	-0.8092673	19.635187	-1.5021496	0	0	1.6094997	0.0	1.9409235	0.009465631	360000	2436.9043440818787
12	7.171202	4.809008	19.605045	-1.0264477	21.035	9.645401	58.0	0.0	150.0	41044.0	0.10524102564102564	3.510733	1.291228	6.692137	0.40027377	13.872482	3.1950314	25.137589	1.9701059	-3.0517577e-09	-0.013678284	-8.138021e-09	0.0008653483	4.896025	-0.65810585	17.820566	-1.1360512	0	0	1.4710045	0.0	1.934504	0.009380066	390000	2640.5713326931
13	9.773368	5.458117	25.545967	-1.3075477	22.025	10.494969	60.0	0.0	150.0	45449.0	0.10821190476190476	4.3115973	1.3692572	7.043213	1.149575	14.166132	2.7659032	24.565956	3.2877865	2.0345052e-09	-0.011873609	-4.0690105e-09	0.0032408324	7.4122314	-1.7394695	20.036976	-1.7311039	0	0	1.7441767	0.0	1.8979553	0.009574536	420000	2843.944326877594
14	10.8153105	5.6543846	24.468554	-1.2366132	23.51	10.7275305	60.0	3.0	150.0	50151.0	0.11144666666666667	5.636028	1.4796939	8.858215	1.8716692	15.148854	3.071924	25.550156	1.968692	-1.6276042e-08	-0.011158444	3.2552084e-08	0.0014406859	7.577393	-1.2023273	22.977213	-1.8834763	0	0	1.7730879	0.0	1.8844655	0.0096318275	450000	3047.0995523929596
15	12.331429	5.913686	29.843412	-0.3919659	21.885	9.369727	62.0	1.0	150.0	54528.0	0.1136	6.7416325	1.444502	9.993095	2.6811137	15.641747	2.8546743	26.675585	4.953155	1.2207031e-08	-0.01066906	0.0	0.0066223308	8.001919	-1.5165048	19.349726	-1.3583755	0	0	1.8128489	0.0	1.860358	0.009378365	480000	3250.668172121048
