Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	3.8543549	0.0	76	1318.2078912258148
0	1	9.703326	14.0	151	1421.9684987068176
0	2	0.402704	0.0	226	1517.332890510559
0	3	1.6681921	1.0	301	1616.0478768348694
0	4	0.44679233	13.0	376	1715.7686851024628
0	5	1.0735458	0.0	451	1808.1463534832
0	6	4.43664	0.0	527	1905.8339228630066
0	7	0.62536836	0.0	602	1992.8841428756714
0	8	6.1020246	0.0	678	2093.254571914673
0	9	1.0480858	21.0	753	2186.134369134903
1	10	0.77056015	0.0	828	2444.845925092697
1	11	1.0364119	0.0	903	2549.8187742233276
1	12	-0.0387175	0.0	978	2658.993101119995
1	13	7.13832	0.0	1054	2767.8793511390686
1	14	1.4734986	6.0	1129	2873.511148929596
1	15	0.9675235	0.0	1204	2982.210781812668
1	16	0.8350006	0.0	1279	3076.402025461197
1	17	10.370738	0.0	1355	3177.996913909912
1	18	0.12120549	0.0	1430	3275.6304063796997
1	19	0.9928165	1.0	1505	3375.8020901679993
2	20	4.9880114	0.0	1581	3645.39457321167
2	21	7.9044924	1.0	1657	3756.321003675461
2	22	13.652246	0.0	1734	3868.901481151581
2	23	4.328788	0.0	1810	3978.4369077682495
2	24	0.5949836	0.0	1885	4078.879697084427
2	25	0.81714386	2.0	1960	4178.63349032402
2	26	0.3294831	0.0	2035	4291.224182128906
2	27	2.954022	0.0	2111	4407.568314313889
2	28	-0.122397356	0.0	2186	4512.7221665382385
2	29	0.41770446	0.0	2261	4620.401279449463
3	30	29.043108	0.0	2339	4903.361625909805
3	31	9.640889	1.0	2415	5007.74168753624
3	32	4.694967	1.0	2491	5111.737209558487
3	33	0.40424097	0.0	2566	5217.6875
3	34	0.29774347	0.0	2641	5321.7897272109985
3	35	3.2383177	0.0	2716	5421.866214990616
3	36	7.868434	2.0	2792	5527.390691757202
3	37	1.5197246	1.0	2867	5626.854609251022
3	38	16.433022	0.0	2944	5733.45360827446
3	39	4.555517	0.0	3020	5829.070138454437
4	40	6.7261186	5.0	3096	6084.09525847435
4	41	25.142075	0.0	3175	6204.84296131134
4	42	8.853445	1.0	3250	6311.373008966446
4	43	5.5007668	2.0	3325	6402.63707613945
4	44	-0.060155332	0.0	3400	6500.728770494461
4	45	0.3873227	0.0	3475	6603.783111810684
4	46	2.2474363	1.0	3550	6705.148096561432
4	47	0.53769356	0.0	3625	6800.099992990494
4	48	12.066408	0.0	3701	6902.560875177383
4	49	12.962623	0.0	3777	7004.643679857254
5	50	24.042679	0.0	3854	7271.776903629303
5	51	5.7841687	0.0	3930	7378.641686201096
5	52	14.29533	2.0	4005	7485.099688053131
5	53	2.4350598	0.0	4081	7588.8246557712555
5	54	0.74241275	0.0	4156	7694.3933827877045
5	55	7.661777	0.0	4232	7788.764899253845
5	56	27.961105	0.0	4310	7897.216119766235
5	57	11.540631	1.0	4386	8001.553171873093
5	58	3.3106887	0.0	4461	8109.590471744537
5	59	7.272412	0.0	4537	8213.62160539627
6	60	30.801563	0.0	4616	8504.401734828949
6	61	7.2183948	0.0	4692	8613.217216730118
6	62	1.369386	0.0	4767	8702.847796916962
6	63	17.074408	0.0	4845	8821.411905765533
6	64	9.628532	2.0	4920	8930.263405561447
6	65	17.817333	0.0	4996	9043.202175617218
6	66	17.134007	0.0	5074	9155.822887182236
6	67	7.804219	0.0	5150	9266.670598268509
6	68	8.686704	0.0	5227	9374.0694937706
6	69	7.554135	0.0	5303	9481.911899805069
7	70	11.423042	29.0	5379	9737.106001615524
7	71	2.5686076	12.0	5455	9838.581983566284
7	72	10.148089	0.0	5531	9945.368030548096
7	73	9.435679	1.0	5607	10051.473887205124
7	74	10.078101	0.0	5683	10162.583590745926
7	75	15.27817	12.0	5760	10277.056538105011
7	76	8.265932	4.0	5836	10379.594373464584
7	77	19.62893	2.0	5914	10488.912164449692
7	78	0.3192984	0.0	5989	10586.990698814392
7	79	0.578185	0.0	6064	10686.13400387764
8	80	30.516779	0.0	6143	10956.365592002869
8	81	19.626942	0.0	6221	11060.699976921082
8	82	26.546797	0.0	6299	11165.66586279869
8	83	27.283127	0.0	6377	11270.643860816956
8	84	3.6661994	0.0	6452	11372.629207372665
8	85	26.531055	0.0	6531	11485.427298069
8	86	28.231554	0.0	6610	11599.20961022377
8	87	26.372686	0.0	6688	11707.44181227684
8	88	20.978973	1.0	6765	11812.452330827713
8	89	20.99792	9.0	6842	11916.987995624542
9	90	0.46345606	0.0	6917	12193.69433426857
9	91	10.161543	1.0	6993	12296.298665046692
9	92	4.4889894	0.0	7069	12399.042244195938
9	93	2.5573997	0.0	7144	12500.577425718307
9	94	13.0395	11.0	7221	12609.445823192596
9	95	13.802553	0.0	7296	12712.234505414963
9	96	0.076376766	0.0	7371	12819.19119477272
9	97	2.6690288	0.0	7447	12923.172902107239
9	98	18.676609	0.0	7524	13030.5217897892
9	99	25.204624	0.0	7603	13146.737718343735
10	100	10.095696	0.0	7681	13457.565243244171
10	101	3.3083596	1.0	7757	13566.66520023346
10	102	27.489521	1.0	7835	13679.776741027832
10	103	18.460745	2.0	7912	13785.948844909668
10	104	15.283715	0.0	7988	13884.845566034317
10	105	12.303423	3.0	8065	13986.811148643494
10	106	18.799017	4.0	8141	14091.146614551544
10	107	29.660343	0.0	8218	14201.516908168793
10	108	22.983086	0.0	8297	14308.223812103271
10	109	25.437984	0.0	8375	14414.90751028061
11	110	23.130165	1.0	8452	14683.503888845444
11	111	1.1624418	0.0	8527	14791.490360021591
11	112	34.717995	0.0	8607	14901.447764873505
11	113	31.058468	0.0	8685	15013.549213886261
11	114	16.932661	0.0	8761	15121.02432513237
11	115	8.71255	0.0	8837	15222.771234035492
11	116	34.807953	3.0	8917	15335.151995420456
11	117	11.896897	0.0	8993	15445.85887336731
11	118	33.014442	1.0	9071	15559.50734949112
11	119	2.5938516	0.0	9146	15658.200216293335
12	120	28.675234	3.0	9224	15950.094883680344
12	121	8.406947	2.0	9300	16053.763402700424
12	122	25.71864	0.0	9378	16160.386401891708
12	123	21.418137	3.0	9455	16265.560037374496
12	124	28.111753	0.0	9533	16375.270691633224
12	125	3.2322643	1.0	9608	16487.328150749207
12	126	19.931097	1.0	9684	16596.259115934372
12	127	13.588888	6.0	9760	16707.07320523262
12	128	28.425602	1.0	9837	16829.48275756836
12	129	18.058796	0.0	9914	16940.58462023735
13	130	19.750517	1.0	9990	17251.234394311905
13	131	12.504834	0.0	10066	17361.2414290905
13	132	34.199497	0.0	10143	17473.690667390823
13	133	6.366044	12.0	10219	17572.78159928322
13	134	18.3892	3.0	10296	17680.00004839897
13	135	0.15050012	0.0	10371	17789.99730682373
13	136	31.344666	0.0	10450	17902.332310199738
13	137	29.784092	0.0	10527	18013.838262796402
13	138	19.99887	1.0	10604	18125.78114080429
13	139	28.077332	3.0	10682	18238.40926671028
14	140	5.1389875	0.0	10758	18524.17147040367
14	141	0.09784498	0.0	10833	18615.964441537857
14	142	0.3217722	0.0	10908	18720.229262828827
14	143	8.950583	0.0	10984	18825.817746162415
14	144	13.251157	1.0	11059	18936.042035341263
14	145	29.815554	0.0	11137	19049.272474050522
14	146	4.475826	0.0	11213	19149.694931983948
14	147	32.59881	0.0	11291	19256.716415405273
14	148	1.2202033	0.0	11366	19354.000525951385
14	149	28.408161	0.0	11444	19469.762496709824
15	150	0.17405616	0.0	11519	19782.018327474594
15	151	8.91157	0.0	11595	19890.321008205414
15	152	3.4791193	0.0	11670	20001.35024881363
15	153	6.680674	12.0	11746	20117.375071048737
15	154	19.02683	0.0	11823	20231.91954445839
15	155	22.08148	0.0	11899	20346.032604694366
15	156	10.142824	0.0	11974	20453.228405952454
15	157	27.722206	0.0	12052	20565.359667539597
15	158	0.14002202	0.0	12127	20675.612228631973
15	159	5.0095787	0.0	12203	20789.118049383163
16	160	7.1598806	0.0	12279	21098.77844977379
16	161	34.190758	0.0	12358	21205.914328336716
16	162	17.791979	0.0	12434	21313.180279016495
16	163	33.916058	0.0	12513	21432.05668926239
16	164	0.30146798	0.0	12588	21533.693338632584
16	165	26.417477	0.0	12666	21648.734452962875
16	166	13.643153	0.0	12743	21759.69046831131
16	167	4.9984546	0.0	12819	21862.329942703247
16	168	0.48513383	0.0	12894	21969.759679555893
16	169	25.548887	1.0	12971	22083.279784202576
17	170	30.764637	4.0	13052	22419.00870990753
17	171	10.888208	0.0	13128	22520.93014740944
17	172	12.529168	1.0	13204	22628.26405930519
17	173	29.134138	0.0	13281	22742.656576395035
17	174	29.03471	3.0	13360	22855.819350242615
17	175	31.35748	0.0	13439	22962.29636669159
17	176	28.70591	0.0	13516	23066.905033111572
17	177	33.335228	9.0	13596	23175.16304707527
17	178	0.40272862	0.0	13671	23268.70383453369
17	179	27.359251	0.0	13748	23374.71523475647
18	180	3.2907872	0.0	13823	23682.497453689575
18	181	0.34817332	2.0	13898	23777.339861392975
18	182	9.275687	0.0	13975	23882.793954372406
18	183	22.845392	0.0	14053	23998.077361106873
18	184	26.481672	0.0	14130	24111.274267673492
18	185	1.6678058	2.0	14205	24215.442720413208
18	186	17.399261	0.0	14282	24325.992260694504
18	187	4.361498	1.0	14358	24425.82888674736
18	188	26.679445	0.0	14436	24542.938747406006
18	189	0.88149476	1.0	14511	24656.258187055588
19	190	4.375479	0.0	14587	24947.7987139225
19	191	15.451518	2.0	14663	25063.482384443283
19	192	32.120888	0.0	14742	25185.48000049591
19	193	16.931015	2.0	14820	25304.35426092148
19	194	30.310812	0.0	14897	25426.895959615707
19	195	3.3673687	60.0	14973	25535.768120527267
19	196	17.599335	0.0	15050	25657.501033067703
19	197	2.9702423	0.0	15126	25773.430900096893
19	198	29.133396	0.0	15204	25895.91710972786
19	199	32.557247	0.0	15284	26018.940821647644
20	200	28.325422	0.0	15361	26349.689027786255
20	201	24.14796	0.0	15439	26460.13457965851
20	202	5.594124	0.0	15515	26559.46160840988
20	203	23.457401	0.0	15592	26666.403640270233
20	204	5.575519	0.0	15668	26781.481524705887
20	205	30.604122	0.0	15747	26897.481699705124
20	206	14.6618395	0.0	15824	27011.889075279236
20	207	23.689703	2.0	15901	27123.989104509354
20	208	8.187454	0.0	15976	27223.032554626465
20	209	13.916347	4.0	16053	27330.889810085297
21	210	17.589325	0.0	16130	27642.752573490143
21	211	23.360916	1.0	16209	27766.070049762726
21	212	6.951226	0.0	16285	27868.0046107769
21	213	24.307663	0.0	16363	27975.965024232864
21	214	25.879023	0.0	16441	28090.025593042374
21	215	4.5779734	0.0	16517	28196.452449560165
21	216	12.041252	3.0	16594	28310.43116569519
21	217	0.34369984	0.0	16669	28428.440796375275
21	218	0.42495134	0.0	16744	28538.868223428726
21	219	4.4752293	0.0	16819	28645.650139570236
22	220	17.179033	10.0	16896	28947.837745666504
22	221	11.904178	0.0	16973	29048.774729013443
22	222	32.297962	0.0	17051	29158.051552057266
22	223	6.6425548	2.0	17126	29260.21593260765
22	224	6.6192956	0.0	17202	29365.754617214203
22	225	1.1180062	0.0	17277	29469.86465239525
22	226	5.5680547	0.0	17353	29575.34235215187
22	227	11.310015	0.0	17429	29679.763558387756
22	228	27.306467	0.0	17506	29785.120559453964
22	229	15.215653	0.0	17584	29894.205268859863
23	230	3.749403	0.0	17660	30184.66286754608
23	231	0.6373017	0.0	17735	30299.185650110245
23	232	22.109247	0.0	17812	30421.431856155396
23	233	7.9253645	0.0	17888	30536.546671628952
23	234	13.783591	0.0	17964	30653.699272871017
23	235	6.7855105	1.0	18039	30769.97347855568
23	236	9.669673	0.0	18115	30883.975065231323
23	237	13.678503	0.0	18193	30999.502413749695
23	238	0.3201872	0.0	18268	31112.388674736023
23	239	0.314867	0.0	18343	31220.07409095764
24	240	26.670698	0.0	18420	31516.152589559555
24	241	27.381275	0.0	18498	31634.523458957672
24	242	32.14316	0.0	18576	31750.151084423065
24	243	29.948448	0.0	18655	31866.732694387436
24	244	15.943826	8.0	18732	31974.322058200836
24	245	21.350233	0.0	18812	32082.799217939377
24	246	1.1020199	2.0	18887	32183.92169237137
24	247	0.2971399	0.0	18962	32282.250215530396
24	248	13.531933	1.0	19038	32385.564036607742
24	249	28.848024	0.0	19118	32496.281633853912
25	250	30.071085	0.0	19197	32789.34996533394
25	251	32.406147	0.0	19275	32910.187187194824
25	252	14.430066	3.0	19352	33028.304270505905
25	253	30.764946	0.0	19431	33145.245635032654
25	254	12.6989355	2.0	19507	33263.27999305725
25	255	8.515642	1.0	19582	33370.708225011826
25	256	25.911661	1.0	19661	33489.303221702576
25	257	32.101845	0.0	19738	33606.729632139206
25	258	31.957151	0.0	19817	33725.750022649765
25	259	0.57474035	0.0	19892	33831.77755475044
26	260	32.532238	0.0	19971	34147.35545086861
26	261	0.25932893	0.0	20046	34257.47924232483
26	262	4.782116	0.0	20121	34355.592417001724
26	263	30.000044	0.0	20197	34461.39769554138
26	264	1.1350698	0.0	20272	34570.06980395317
26	265	16.174091	1.0	20349	34673.05139327049
26	266	31.201004	0.0	20427	34784.66644716263
26	267	0.028461505	0.0	20502	34882.42783045769
26	268	3.4511595	0.0	20578	34983.86669945717
26	269	32.113262	0.0	20656	35101.35353708267
27	270	27.780493	0.0	20735	35413.25837945938
27	271	30.62671	0.0	20813	35537.76540231705
27	272	10.27885	0.0	20890	35643.913271427155
27	273	31.591444	0.0	20968	35768.18861079216
27	274	28.311213	0.0	21046	35892.55304431915
27	275	21.679632	0.0	21122	36012.41991639137
27	276	17.439083	0.0	21199	36125.493730306625
27	277	0.22388354	0.0	21274	36229.691599845886
27	278	25.551392	0.0	21351	36336.56057548523
27	279	32.2098	1.0	21431	36458.15368556976
28	280	0.639865	3.0	21506	36753.19147324562
28	281	7.703822	1.0	21582	36869.62895154953
28	282	16.616335	0.0	21660	36978.43431544304
28	283	1.4093256	7.0	21735	37080.55930566788
28	284	16.43623	0.0	21813	37199.66603446007
28	285	33.469482	0.0	21892	37326.482147455215
28	286	6.399704	9.0	21967	37434.22892379761
28	287	0.7227842	0.0	22042	37540.27634525299
28	288	0.4931044	0.0	22117	37645.04442334175
28	289	19.19617	0.0	22194	37757.51966691017
29	290	26.78672	0.0	22272	38045.73629450798
29	291	30.182951	1.0	22349	38156.880276441574
29	292	0.68602663	0.0	22424	38263.646178245544
29	293	31.526827	0.0	22503	38380.39553523064
29	294	28.550318	0.0	22582	38493.465546131134
29	295	5.9523096	2.0	22658	38611.3692612648
29	296	28.253185	0.0	22737	38734.103501319885
29	297	31.086905	1.0	22816	38851.80574345589
29	298	36.029064	0.0	22895	38969.141253232956
29	299	0.46315032	0.0	22970	39082.03967857361
30	300	16.836157	0.0	23047	39397.60405111313
30	301	32.62927	0.0	23126	39515.30778479576
30	302	5.431577	0.0	23201	39618.03146958351
30	303	34.128986	3.0	23279	39728.591772317886
30	304	10.8343725	1.0	23355	39837.28926086426
30	305	0.4705013	0.0	23430	39937.77824807167
30	306	1.7887983	0.0	23505	40040.74750351906
30	307	2.021228	0.0	23580	40144.674169540405
30	308	25.054197	0.0	23657	40254.75193095207
30	309	3.0153825	0.0	23732	40367.26403617859
31	310	24.202906	0.0	23811	40689.30666208267
31	311	21.242622	1.0	23887	40804.091925144196
31	312	33.348835	0.0	23967	40919.6355175972
31	313	19.830069	9.0	24043	41030.68469667435
31	314	21.6154	4.0	24121	41143.83688855171
31	315	15.284494	0.0	24198	41256.25431084633
31	316	1.0533553	0.0	24273	41365.3840110302
31	317	18.327612	0.0	24349	41482.103420734406
31	318	2.441433	0.0	24424	41602.170657634735
31	319	4.4080667	0.0	24500	41717.498252630234
32	320	10.87287	0.0	24575	42012.837361335754
32	321	17.122131	0.0	24653	42118.494670152664
32	322	0.32544747	0.0	24728	42215.79738283157
32	323	24.727398	1.0	24806	42324.273198843
32	324	0.6389138	0.0	24881	42426.7282743454
32	325	25.546104	0.0	24960	42541.535499334335
32	326	29.151243	2.0	25037	42655.8543741703
32	327	31.240065	0.0	25118	42769.969384908676
32	328	3.3829706	3.0	25193	42869.66964292526
32	329	5.5540347	0.0	25269	42973.85293531418
33	330	2.2586734	0.0	25344	43267.95974898338
33	331	6.6354856	0.0	25420	43378.42594432831
33	332	13.719793	0.0	25496	43495.25874233246
33	333	8.935583	0.0	25573	43612.50134563446
33	334	28.44278	4.0	25654	43732.554364442825
33	335	26.465746	0.0	25732	43849.48296165466
33	336	33.52175	0.0	25808	43962.486413002014
33	337	4.653959	0.0	25884	44065.340857982635
33	338	1.3371798	0.0	25959	44181.453360795975
33	339	28.440962	0.0	26037	44301.21960544586
34	340	0.74146384	1.0	26112	44590.44249248505
34	341	0.8345711	0.0	26187	44688.09702563286
34	342	5.1060963	0.0	26263	44793.806490421295
34	343	24.870054	0.0	26340	44904.77059054375
34	344	4.645093	0.0	26416	45007.08046627045
34	345	31.030739	0.0	26493	45119.025622844696
34	346	22.728031	0.0	26571	45235.013664245605
34	347	22.42934	0.0	26649	45355.3217895031
34	348	0.7528763	0.0	26724	45462.13050222397
34	349	31.619055	0.0	26802	45573.01648068428
35	350	28.617933	0.0	26880	45886.288356781006
35	351	32.244843	1.0	26959	46006.06924057007
35	352	31.09538	0.0	27036	46118.73296737671
35	353	7.0887184	2.0	27112	46229.66324520111
35	354	9.369002	0.0	27188	46338.56490111351
35	355	11.389775	0.0	27264	46443.588898420334
35	356	30.491796	0.0	27345	46569.29284238815
35	357	31.064222	0.0	27424	46692.083616018295
35	358	1.0587428	0.0	27499	46797.64800143242
35	359	32.572586	0.0	27579	46914.399290800095
36	360	4.0074425	0.0	27655	47229.43774485588
36	361	25.600538	0.0	27733	47349.077842235565
36	362	0.59417	1.0	27808	47454.637885570526
36	363	30.410065	0.0	27885	47576.44667863846
36	364	22.961075	1.0	27963	47693.19385480881
36	365	28.334106	0.0	28040	47804.52992081642
36	366	23.920017	1.0	28118	47916.72135305405
36	367	3.5912247	0.0	28194	48022.269228458405
36	368	33.329224	0.0	28274	48140.37083673477
36	369	29.541988	0.0	28354	48253.82412815094
37	370	10.556427	0.0	28430	48576.58032512665
37	371	4.959765	0.0	28506	48686.42724776268
37	372	15.0110445	2.0	28583	48799.205642700195
37	373	27.269794	0.0	28663	48921.46893334389
37	374	3.4989371	0.0	28739	49037.33791422844
37	375	31.897951	0.0	28819	49163.44343543053
37	376	16.018988	0.0	28896	49280.70855665207
37	377	16.371578	0.0	28973	49400.08721113205
37	378	25.304249	0.0	29050	49530.61558508873
37	379	30.2589	0.0	29130	49657.22605037689
38	380	26.70625	2.0	29207	49951.95753312111
38	381	31.474298	0.0	29284	50069.716706991196
38	382	13.957339	0.0	29360	50181.09104633331
38	383	25.753185	3.0	29438	50301.06979441643
38	384	28.243233	0.0	29515	50413.22634387016
38	385	30.238224	0.0	29594	50530.32766079903
38	386	2.9826145	0.0	29669	50630.69066095352
38	387	15.953896	38.0	29746	50741.4387755394
38	388	30.770027	1.0	29825	50857.40609192848
38	389	13.126464	0.0	29901	50975.639318943024
39	390	10.789499	2.0	29977	51336.45103955269
39	391	13.582091	2.0	30055	51451.137885808945
39	392	25.982996	0.0	30135	51570.60590863228
39	393	15.53343	0.0	30211	51686.020443439484
39	394	18.47189	0.0	30288	51797.465594530106
39	395	26.988483	0.0	30365	51915.01069045067
39	396	3.6340811	0.0	30440	52026.031467199326
39	397	14.9461	0.0	30517	52140.62202453613
39	398	14.83584	1.0	30594	52261.52651667595
39	399	15.675358	3.0	30671	52372.86268877983
40	400	29.300255	1.0	30749	52677.56518149376
40	401	26.430185	1.0	30826	52791.99838089943
40	402	23.047737	4.0	30904	52909.038492679596
40	403	10.115144	0.0	30980	53024.309384822845
40	404	6.5247774	0.0	31055	53136.74435257912
40	405	12.423082	4.0	31131	53248.75069761276
40	406	28.364063	0.0	31207	53363.77594733238
40	407	29.343483	0.0	31286	53480.20108318329
40	408	18.343447	4.0	31362	53587.64114022255
40	409	6.2382326	2.0	31437	53695.30643296242
41	410	25.562996	0.0	31515	54014.109033584595
41	411	30.580406	0.0	31593	54138.23009419441
41	412	20.451761	0.0	31671	54260.24752354622
41	413	25.959822	0.0	31748	54381.648472070694
41	414	33.031567	0.0	31826	54504.57065939903
41	415	16.173584	1.0	31904	54630.52882909775
41	416	16.18367	0.0	31981	54752.16244864464
41	417	8.771622	0.0	32057	54869.92591881752
41	418	26.80622	0.0	32135	54986.099538087845
41	419	30.41385	0.0	32213	55108.745767354965
42	420	25.70082	0.0	32291	55446.04854011536
42	421	31.012003	0.0	32369	55562.12250447273
42	422	29.792097	1.0	32449	55684.195586919785
42	423	32.508343	0.0	32530	55804.912202596664
42	424	19.4946	0.0	32607	55915.63749599457
42	425	1.4857088	0.0	32682	56022.638932704926
42	426	0.9008643	2.0	32757	56121.93090510368
42	427	34.6383	0.0	32834	56231.92700910568
42	428	33.069984	0.0	32913	56338.75425672531
42	429	20.34337	5.0	32989	56450.00952029228
43	430	6.479317	0.0	33065	56849.98893237114
43	431	16.516836	0.0	33143	56964.794768333435
43	432	27.21196	0.0	33221	57076.472878456116
43	433	32.40199	1.0	33300	57199.42344903946
43	434	26.698103	0.0	33378	57314.902579307556
43	435	31.337023	0.0	33456	57430.738245248795
43	436	0.22551002	0.0	33531	57533.25563836098
43	437	31.887484	0.0	33610	57656.74030470848
43	438	23.091118	3.0	33688	57774.75201511383
43	439	13.932174	0.0	33766	57887.19978284836
44	440	2.8429532	0.0	33841	58238.60148239136
44	441	26.31161	0.0	33918	58357.32031226158
44	442	1.1058179	0.0	33993	58468.34000992775
44	443	9.496043	0.0	34069	58582.911504268646
44	444	0.30753347	0.0	34144	58703.27221822739
44	445	19.013716	0.0	34221	58814.64352560043
44	446	14.7593975	0.0	34298	58924.30021715164
44	447	13.135494	0.0	34375	59032.52659416199
44	448	30.000584	1.0	34455	59152.999573946
44	449	29.49208	0.0	34533	59268.600554704666
45	450	0.6605051	0.0	34608	59584.72180533409
45	451	30.299923	0.0	34687	59702.109805583954
45	452	13.950367	0.0	34763	59813.077338933945
45	453	6.44393	0.0	34839	59921.42442202568
45	454	28.078009	0.0	34917	60042.37755680084
45	455	11.867766	0.0	34994	60158.74428319931
45	456	5.7876415	0.0	35070	60269.59362411499
45	457	24.760103	0.0	35149	60385.3110640049
45	458	31.61338	0.0	35228	60500.21129703522
45	459	30.891768	1.0	35307	60620.90505075455
46	460	20.895142	0.0	35384	60957.36412477493
46	461	13.025466	5.0	35461	61068.75079703331
46	462	13.00618	0.0	35537	61180.30735826492
46	463	10.893207	0.0	35613	61290.92338061333
46	464	19.316046	0.0	35690	61400.074375629425
46	465	27.520205	0.0	35769	61513.755148649216
46	466	34.045853	0.0	35848	61626.84445118904
46	467	30.406294	0.0	35927	61738.26593399048
46	468	9.639687	0.0	36003	61844.13761854172
46	469	31.202555	0.0	36081	61962.697439432144
47	470	30.310263	1.0	36158	62285.645792245865
