Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.0030291914	1.4564995	4.4707084	-3.3689623	23.83	27.369347	105.0	0.0	300.0	2383.0	0.07943333333333333	0.7286711	0.11936833	1.2657171	0.28718233	-0.5340237	0.08498223	-0.1848744	-0.92419255	7.1207684e-09	0.00012386373	-2.4414062e-08	-0.025260571	0.47210577	-0.30052128	100.15378	-51.18637	0.7759026	0.0	0.0044178935	-0.043971486	0.046099998	0.0044193524	-0.00022015555	0.033221208	0.0	0.7759026	0.0	0.0	0.0	1.837877	0.007211255	30000	77.39277386665344
1	-0.10062967	1.4526979	3.4705284	-3.0054116	20.13	24.256817	103.0	0.0	300.0	4396.0	0.07326666666666666	0.25510553	0.22937386	1.032334	-0.35326192	4.4142566	4.543603	15.265006	-4.8799624	1.0172526e-08	0.005119574	2.4414062e-08	-0.025411116	0.16906936	-0.03824517	40.343967	-3.852768	0.78321254	0.0	0.009182793	-0.014970811	0.033766665	0.0106041115	-0.0068073953	0.03260398	0.0	0.78321254	0.0	0.0	0.0	1.8024728	0.008393776	60000	164.15423822402954
2	-0.7482029	1.441372	3.683021	-3.325633	13.94	21.778345	129.0	0.0	300.0	5790.0	0.06433333333333334	0.03956963	0.26456234	0.9517834	-0.58459026	3.4681456	5.569366	19.19479	-4.6860185	-1.2207031e-08	-0.0076928386	0.0	-0.013051758	0.19453551	-0.050159916	28.85567	-2.6482792	0.5109521	0.0	0.008297417	0.015320231	0.013133332	0.010577457	-0.009167141	0.036857467	0.7359339	0.5109521	1.0	0.0	0.0	1.8211188	0.007366394	90000	252.17271208763123
3	-0.076978214	2.0813415	5.7249618	-3.808463	14.75	19.70755	98.0	0.0	300.0	7265.0	0.06054166666666667	-0.14509952	0.30045438	0.8420433	-0.7652919	2.8185518	4.2197766	18.566889	-2.5075886	1.6276042e-08	-0.008781937	2.4414062e-08	-0.016228653	0.24445428	-0.049412355	23.779507	-0.78655624	0.51666445	0.0	0.008403991	0.01212429	0.015833333	0.008738674	-0.0032639545	0.031831343	0.8325583	0.51666445	1.0	0.0	0.0	1.8111928	0.008382286	120000	340.17132568359375
4	0.24464238	2.1697898	6.660065	-3.1375828	11.38	13.800565	57.0	0.0	300.0	8403.0	0.05602	-0.028536484	0.4893957	1.5816888	-0.83044386	3.161428	4.0375915	18.456816	-1.897574	-4.0690105e-09	-0.011374276	-6.1035155e-09	-0.004212209	0.26882452	-0.030275002	19.14855	-2.1985798	0.40153337	0.0	0.00865436	0.019031918	0.0046000006	0.010127597	-0.005674637	0.021857655	0.6743358	0.40153337	1.0	0.0	0.0	1.8052963	0.008044366	150000	427.9721601009369
5	1.6089815	2.1915925	7.345506	-2.8503017	13.99	17.184002	79.0	0.0	300.0	9802.0	0.054455555555555556	0.20522791	0.5828543	1.7509604	-1.0737903	3.1532376	3.091332	16.358107	-1.4860586	4.0690105e-09	-0.0066439984	2.4414062e-08	-0.013134257	0.3682194	-0.071489066	24.128492	-1.1072922	0.67065406	0.0	0.007097825	0.012376177	0.013299999	0.008396168	-0.0054885796	0.023202268	0.75730246	0.67065406	1.0	0.0	0.0	1.7949562	0.009213134	180000	515.5451109409332
6	1.7499726	2.4860961	8.990667	-2.6062238	17.57	20.798199	87.0	0.0	300.0	11559.0	0.05504285714285714	0.40054226	0.61341923	2.1927702	-1.0334982	3.591649	3.367583	17.558945	-1.8762913	-4.0690105e-09	-0.0014922871	2.0345052e-08	-0.024046162	0.35602123	-0.027433068	31.774359	-3.502802	1.0082917	0.0	0.006383931	0.003559086	0.025233332	0.0070967674	-0.005254201	0.03872784	1.3392906	1.0082917	1.0	0.0	0.0	1.7831047	0.008324913	210000	602.9517028331757
7	1.3713173	2.1107345	8.25866	-2.098373	12.35	14.80093	74.0	0.0	300.0	12794.0	0.05330833333333333	0.43661988	0.64206135	2.2896054	-0.9453775	3.9999063	3.9578354	19.604647	-2.4030766	6.1035155e-09	-0.007888364	-2.8483074e-08	-0.007926184	0.2930485	-0.03277564	20.839104	-2.781458	0.4584809	0.0	0.006051252	0.017869003	0.007833335	0.008645717	-0.008643291	0.028794562	0.5819323	0.4584809	1.0	0.0	0.0	1.7531486	0.008513463	240000	690.7712910175323
8	2.4697409	2.212798	8.014534	-3.1648486	14.4	14.947909	70.0	0.0	300.0	14234.0	0.05271851851851852	0.55387485	0.56809634	2.0610988	-1.1348094	3.8593953	3.3395643	19.256565	-2.0403695	-9.155274e-09	-0.007543786	-1.7293294e-08	-0.014433268	0.3483295	-0.06941682	21.723038	-2.509636	0.4758779	0.0	0.006637965	0.012308062	0.014666665	0.0068681804	-0.0025373527	0.027965782	0.73438305	0.4758779	1.0	0.0	0.0	1.7463859	0.008717216	270000	778.5072283744812
9	2.7823548	2.1715667	9.53265	-1.5417777	12.98	15.922927	96.0	0.0	300.0	15532.0	0.05177333333333333	0.7599605	0.6471995	2.4021297	-0.9810681	4.1022406	3.127486	18.259491	-1.6316429	6.1035155e-09	-0.0074718283	2.4414062e-08	-0.009647583	0.34708336	-0.035828352	19.912598	-2.119587	0.41066825	0.0	0.0053476808	0.01614698	0.009933332	0.0062474427	-0.004800186	0.025608763	0.5754891	0.41066825	1.0	0.0	0.0	1.7408633	0.009058557	300000	866.4218969345093
10	2.8057983	2.3964446	9.536839	-2.290824	18.41	16.173494	79.0	0.0	300.0	17373.0	0.052645454545454544	0.74270624	0.68332535	2.4540823	-1.6039039	3.7363734	3.4846256	20.983675	-2.800053	1.0172526e-08	0.0037012226	3.4586588e-08	-0.02610639	0.37240562	-0.045470655	29.036491	-4.101698	0.76439464	0.0	0.0060343742	-0.0029591015	0.028033333	0.006711734	-0.0048151193	0.03422903	0.0	0.76439464	0.0	0.0	0.0	1.7307281	0.009192859	330000	954.7136809825897
11	3.686741	2.58285	11.182144	-2.185568	14.76	14.818313	59.0	0.0	300.0	18849.0	0.05235833333333333	0.9722807	0.7287739	2.586134	-1.3250288	4.7726774	3.6182833	21.493738	-3.1227927	2.0345052e-09	-0.0058121844	-5.6966147e-08	-0.016252689	0.4855474	-0.07714668	21.646547	-2.2537975	0.44192076	0.0	0.005400787	0.012462494	0.015866667	0.0059582484	-0.004314985	0.03339979	0.6583033	0.44192076	1.0	0.0	0.0	1.7362067	0.009273926	360000	1042.225109577179
12	2.6874337	2.3815405	10.117924	-2.2706676	11.85	12.871188	61.0	0.0	300.0	20034.0	0.05136923076923077	0.9254866	0.78357995	2.8501692	-1.4937646	3.9289699	3.1039734	20.183897	-3.2651029	-7.1207684e-09	-0.00871186	1.6276042e-08	-0.0059350017	0.37553966	-0.059139907	15.877417	-2.1821222	0.24776524	0.0	0.004829127	0.018451488	0.006166668	0.0051786485	-0.0029297487	0.02455763	0.51158595	0.24776524	1.0	0.0	0.0	1.7139415	0.008793732	390000	1129.4502458572388
13	3.2722764	2.699029	9.465252	-2.4563994	14.53	15.317608	77.0	0.0	300.0	21487.0	0.05115952380952381	0.83720875	0.7689615	2.9015226	-1.8724864	3.4788404	2.949859	17.806263	-4.8703203	-4.0690105e-09	-0.006913475	-8.138021e-09	-0.014136629	0.40694517	-0.07937774	21.016973	-3.5746918	0.38928396	0.0	0.004446085	0.0113397045	0.0150999995	0.004470035	-0.0007940736	0.026328197	0.6261639	0.38928396	1.0	0.0	0.0	1.6963837	0.009623397	420000	1216.873492717743
14	3.1286573	2.3964403	9.531483	-1.5588188	12.72	15.192814	83.0	0.0	300.0	22759.0	0.050575555555555554	0.9070523	0.78484195	2.7263832	-1.6155014	3.688608	3.3534338	20.05421	-3.4498537	-8.138021e-09	-0.009550688	4.0690105e-09	-0.008039658	0.34745866	-0.03416145	21.596369	-3.1370354	0.45391172	0.0	0.007802988	0.016428452	0.009066667	0.008568993	-0.0041988967	0.02301648	0.6891792	0.45391172	1.0	0.0	0.0	1.694407	0.008502302	450000	1304.2950043678284
15	3.8451676	2.7035804	9.659236	-1.5395634	13.53	14.48824	81.0	0.0	300.0	24112.0	0.05023333333333333	1.0232486	0.8305107	2.9940434	-1.9209467	3.7900198	3.0345757	19.942776	-2.629019	1.3224284e-08	-0.007483695	3.0517577e-09	-0.010359907	0.4033879	-0.060171425	17.571966	-2.7718554	0.4253943	0.0	0.0053828894	0.014069801	0.011766666	0.0056845243	-0.0026537473	0.023347348	0.61853427	0.4253943	1.0	0.0	0.0	1.6826179	0.008970483	480000	1392.2230949401855
16	4.4540715	2.6861315	11.121026	-1.8460978	17.49	16.844877	89.0	0.0	300.0	25861.0	0.050707843137254904	1.284583	0.8090816	3.0128763	-1.3790473	4.3580575	2.974749	17.943903	-3.1295002	-2.0345052e-09	6.339518e-06	-2.8483074e-08	-0.021622112	0.41386524	-0.06305385	26.754051	-4.398472	0.9481412	0.0	0.0050652395	-0.008018012	0.024966666	0.005069078	-0.0002922197	0.022247631	0.0	0.9481412	0.0	0.0	0.0	1.6672288	0.009223319	510000	1477.2591979503632
17	4.409906	2.7220342	13.042904	-0.8410506	11.52	12.516772	55.0	0.0	300.0	27013.0	0.050024074074074075	1.3541597	0.86189336	3.0855303	-1.7761977	5.033717	3.1875312	21.17823	-3.2840934	-1.780192e-08	-0.008896684	1.2207031e-08	-0.0044782553	0.45861176	-0.05584237	17.918085	-3.9327993	0.2866246	0.0	0.005244188	0.019000912	0.005066668	0.006104966	-0.004702907	0.025694575	0.5253538	0.2866246	1.0	0.0	0.0	1.6775495	0.009318979	540000	1561.9389505386353
