Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	14.159811	3.0	103	2103.5258750915527
0	1	14.879058	2.0	205	2194.4331653118134
0	2	16.7763	5.0	309	2283.932031393051
0	3	3.4339032	0.0	410	2373.928586959839
0	4	11.091839	7.0	513	2468.6885800361633
0	5	13.8182535	16.0	616	2560.266947031021
0	6	15.654385	0.0	720	2653.6304574012756
0	7	17.663837	3.0	824	2748.4286890029907
0	8	15.610828	6.0	926	2838.518796682358
0	9	14.447592	3.0	1027	2938.512176990509
1	10	14.396381	6.0	1129	3989.1456961631775
1	11	16.766695	2.0	1232	4078.125624895096
1	12	12.16121	5.0	1335	4169.757757902145
1	13	16.645393	0.0	1438	4260.803996086121
1	14	17.86327	8.0	1540	4349.843687057495
1	15	18.095804	0.0	1645	4446.577558755875
1	16	18.192177	2.0	1747	4537.275257825851
1	17	16.53951	0.0	1850	4626.962456226349
1	18	13.281003	9.0	1953	4722.687408208847
1	19	15.73431	1.0	2056	4819.882165193558
2	20	16.764517	0.0	2159	5480.772778272629
2	21	11.640094	7.0	2260	5586.6003177165985
2	22	17.674437	7.0	2364	5696.668733119965
2	23	18.97446	2.0	2465	5804.006988286972
2	24	17.340502	4.0	2569	5914.472728729248
2	25	15.055645	2.0	2672	6021.73006272316
2	26	11.714431	2.0	2774	6124.557673215866
2	27	15.161248	2.0	2877	6217.892963409424
2	28	16.798435	2.0	2980	6307.811569690704
2	29	18.082737	3.0	3082	6396.156449556351
3	30	18.758215	0.0	3186	7336.1290600299835
3	31	16.642555	1.0	3289	7437.649200201035
3	32	15.899396	3.0	3391	7538.305844545364
3	33	18.36908	1.0	3495	7641.465500831604
3	34	2.536445	0.0	3596	7744.751884937286
3	35	17.81584	0.0	3699	7835.415251255035
3	36	17.766024	0.0	3804	7940.207268953323
3	37	13.528429	0.0	3908	8045.893456697464
3	38	16.122702	0.0	4011	8148.993305444717
3	39	17.866915	5.0	4114	8253.893397808075
4	40	18.778963	0.0	4218	9078.040790081024
4	41	16.92046	2.0	4321	9181.298901319504
4	42	17.254255	0.0	4423	9282.42850613594
4	43	15.131409	3.0	4526	9384.202940225601
4	44	16.261066	2.0	4630	9487.658204555511
4	45	17.944256	0.0	4733	9585.847200870514
4	46	16.87687	0.0	4835	9677.109659671783
4	47	18.046818	0.0	4938	9771.854834318161
4	48	14.447636	2.0	5041	9861.034930229187
4	49	16.850264	0.0	5144	9949.297399997711
5	50	17.797976	0.0	5247	10752.55621957779
5	51	18.595823	0.0	5351	10859.147688627243
5	52	17.665388	0.0	5456	10963.8955514431
5	53	17.772697	0.0	5559	11067.048805475235
5	54	17.67006	2.0	5664	11170.41156744957
5	55	17.696632	2.0	5768	11274.413179159164
5	56	18.335854	1.0	5872	11379.093335151672
5	57	19.202078	0.0	5976	11474.797905921936
5	58	0.7113836	1.0	6076	11564.740995407104
5	59	17.425413	5.0	6179	11658.178745269775
6	60	19.206114	1.0	6284	12622.383692979813
6	61	15.751618	0.0	6386	12728.540679216385
6	62	17.116854	0.0	6489	12836.510957241058
6	63	16.650932	0.0	6592	12944.264713287354
6	64	19.530333	0.0	6696	13053.378741025925
6	65	17.332563	5.0	6798	13160.453147172928
6	66	14.528091	0.0	6901	13267.203105211258
6	67	17.190197	0.0	7005	13368.46219921112
