Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	10.826532	6.0	103	1120.824402809143
0	1	4.060925	0.0	204	1269.3597795963287
0	2	8.581732	1.0	306	1416.249871969223
0	3	15.628679	0.0	410	1552.302499294281
0	4	14.662469	2.0	513	1693.9695444107056
0	5	16.376875	0.0	617	1845.1046669483185
0	6	17.981281	2.0	720	1988.5712320804596
0	7	16.550644	0.0	824	2134.361390352249
0	8	12.147245	0.0	926	2273.2700951099396
0	9	11.544073	0.0	1029	2419.049022436142
1	10	14.997522	0.0	1132	2912.7119913101196
1	11	4.555927	0.0	1233	3057.0866997241974
1	12	13.666089	1.0	1336	3203.0375492572784
1	13	12.756121	0.0	1438	3344.2017815113068
1	14	12.927007	0.0	1540	3486.5988841056824
1	15	15.613895	0.0	1643	3631.741001844406
1	16	6.446076	0.0	1743	3773.854395389557
1	17	12.131878	4.0	1846	3908.3459157943726
1	18	16.619274	0.0	1948	4045.5024859905243
1	19	15.068634	0.0	2050	4178.436445713043
2	20	18.083557	0.0	2154	4697.656286478043
2	21	14.149856	0.0	2255	4837.9318170547485
2	22	4.273505	0.0	2356	4992.670649051666
2	23	15.789412	0.0	2459	5126.382689714432
2	24	4.025671	0.0	2560	5274.3181829452515
2	25	12.296488	0.0	2662	5421.307148694992
2	26	3.1652832	0.0	2762	5563.259737730026
2	27	15.650078	0.0	2864	5707.751820802689
2	28	15.78731	0.0	2967	5846.648014307022
2	29	8.644956	0.0	3069	6001.594998121262
3	30	17.462822	0.0	3172	6512.551069021225
3	31	18.189133	0.0	3276	6650.38138127327
3	32	17.461386	0.0	3379	6791.187062740326
3	33	16.48033	0.0	3480	6934.720667123795
3	34	16.939255	0.0	3583	7073.464782714844
3	35	15.452068	2.0	3686	7210.699234008789
3	36	17.789707	0.0	3790	7357.534623384476
3	37	17.897554	0.0	3894	7499.968732833862
3	38	16.897669	0.0	3996	7642.006812334061
3	39	16.550278	0.0	4100	7778.022288322449
4	40	18.443079	0.0	4203	8272.703716754913
4	41	16.450678	0.0	4306	8420.73577618599
4	42	16.300888	0.0	4409	8565.152178287506
4	43	18.682	0.0	4513	8700.177431106567
4	44	16.726507	0.0	4617	8837.741619825363
4	45	14.477779	0.0	4720	8985.477305412292
4	46	16.750042	1.0	4824	9130.657356500626
4	47	17.907146	0.0	4927	9281.47436094284
4	48	0.60707605	0.0	5027	9436.77790093422
4	49	16.299278	0.0	5129	9575.449991703033
5	50	15.836877	0.0	5233	9917.594022750854
5	51	17.68392	0.0	5338	10071.172717571259
5	52	16.093	0.0	5439	10207.675909042358
5	53	17.68569	0.0	5541	10337.436734199524
5	54	16.335638	0.0	5643	10483.27763581276
5	55	8.353481	0.0	5745	10630.13146686554
5	56	17.18415	0.0	5848	10774.40129160881
5	57	17.52233	0.0	5953	10922.052826404572
5	58	18.344162	0.0	6055	11065.84648489952
5	59	8.300698	0.0	6157	11210.763503074646
6	60	16.079235	0.0	6261	11715.89759516716
6	61	12.920958	0.0	6362	11865.88505744934
6	62	18.003134	0.0	6465	12002.469064950943
6	63	17.882965	0.0	6567	12147.436441659927
6	64	16.020397	0.0	6671	12287.288400650024
6	65	18.697372	0.0	6775	12431.58581829071
6	66	17.385344	0.0	6878	12569.226303815842
6	67	16.85279	0.0	6982	12715.926426172256
6	68	17.863516	0.0	7085	12863.707607984543
6	69	16.85558	0.0	7189	13005.635486602783
7	70	16.700428	0.0	7292	13504.124469518661
7	71	16.47103	0.0	7396	13649.796162128448
7	72	15.686503	0.0	7499	13802.217636585236
7	73	18.592264	0.0	7602	13944.545386075974
7	74	17.076319	0.0	7704	14086.283926963806
7	75	6.874701	0.0	7806	14252.015711069107
7	76	18.298515	0.0	7910	14395.814812421799
7	77	9.024328	0.0	8011	14546.801711559296
7	78	16.907017	0.0	8114	14688.061733484268
7	79	18.63779	0.0	8216	14830.609834909439
8	80	17.96476	0.0	8318	15354.42629814148
8	81	15.85585	0.0	8421	15509.516120910645
8	82	15.951403	0.0	8523	15655.330976724625
8	83	15.4659395	0.0	8626	15786.239401340485
8	84	16.80079	0.0	8731	15940.06707239151
8	85	18.741457	0.0	8835	16093.582024335861
8	86	17.627926	0.0	8938	16244.42529630661
8	87	19.547575	0.0	9042	16395.462997436523
8	88	17.32041	0.0	9145	16541.795680999756
8	89	16.82874	0.0	9249	16686.017172574997
9	90	17.464521	0.0	9353	17052.410809516907
9	91	17.209833	0.0	9455	17193.285227537155
9	92	16.478827	0.0	9558	17332.45668578148
9	93	17.401186	0.0	9661	17470.644134521484
9	94	17.730133	0.0	9764	17611.186852693558
9	95	18.274937	0.0	9867	17759.29023385048
9	96	16.905188	0.0	9970	17904.709847927094
9	97	17.584845	0.0	10074	18033.390663146973
9	98	4.4596024	0.0	10175	18197.730450868607
9	99	11.923852	0.0	10277	18342.61275792122
10	100	11.2238	0.0	10379	18693.112736701965
10	101	18.428007	0.0	10481	18840.83141183853
10	102	18.863691	0.0	10586	19000.158578395844
10	103	13.563339	3.0	10688	19153.562122106552
10	104	16.875109	0.0	10791	19300.475791215897
10	105	17.59184	0.0	10895	19450.388857126236
10	106	16.307001	0.0	10998	19594.397535562515
10	107	16.204643	0.0	11102	19735.98678970337
10	108	18.18936	0.0	11206	19881.75112605095
10	109	12.152321	0.0	11309	20027.793372631073
11	110	13.286219	0.0	11412	20502.45037651062
11	111	16.108408	0.0	11514	20635.211584806442
11	112	10.403991	0.0	11617	20788.58097577095
11	113	16.815119	0.0	11720	20929.247173070908
11	114	13.6445875	0.0	11822	21073.630926847458
11	115	18.077988	0.0	11926	21215.61981320381
11	116	15.831152	0.0	12029	21359.78086924553
11	117	17.795074	0.0	12131	21500.068588733673
11	118	16.779787	0.0	12235	21641.189116477966
11	119	18.354511	1.0	12338	21787.475033283234
12	120	14.74217	0.0	12441	22194.4339966774
12	121	17.394663	1.0	12545	22329.356152534485
12	122	17.782864	1.0	12648	22465.44892168045
12	123	18.305044	0.0	12752	22593.479436159134
12	124	17.993158	0.0	12855	22726.802649259567
12	125	3.5656776	0.0	12955	22885.863985300064
12	126	17.538265	0.0	13058	23019.974813222885
12	127	17.705425	0.0	13161	23159.81920981407
12	128	17.71031	0.0	13264	23294.49510741234
12	129	16.409988	0.0	13367	23429.79607319832
13	130	16.469355	0.0	13471	23790.214485406876
13	131	18.720428	0.0	13576	23931.040559530258
13	132	17.782768	0.0	13678	24068.17322921753
13	133	2.1228504	0.0	13779	24228.99027776718
13	134	16.219378	1.0	13883	24368.277806282043
13	135	15.302223	0.0	13986	24497.971381425858
13	136	11.762551	0.0	14087	24628.061117887497
13	137	16.466583	0.0	14191	24763.618933200836
13	138	16.818573	0.0	14294	24893.028189897537
13	139	20.374918	0.0	14398	25025.935015439987
14	140	18.401075	0.0	14501	25362.910014629364
14	141	17.650045	0.0	14605	25500.464099168777
14	142	18.017984	0.0	14711	25634.7278008461
14	143	20.965525	0.0	14816	25761.72686433792
14	144	18.77149	2.0	14920	25896.91708278656
14	145	16.730564	0.0	15023	26032.33880329132
14	146	5.275949	0.0	15125	26175.105722427368
14	147	17.95907	0.0	15229	26308.464136600494
14	148	3.9791436	0.0	15330	26451.908809423447
14	149	17.58461	0.0	15433	26588.64599132538
15	150	16.547333	0.0	15537	26989.938442230225
15	151	17.669254	0.0	15639	27121.74985909462
15	152	18.993525	0.0	15743	27252.84298634529
15	153	15.944636	0.0	15845	27387.202679634094
15	154	18.823805	0.0	15949	27523.994940280914
15	155	16.23966	0.0	16053	27653.238377809525
15	156	10.595628	0.0	16155	27797.89074087143
15	157	16.765116	0.0	16258	27935.85173344612
15	158	17.634155	0.0	16363	28067.28877210617
15	159	17.269415	0.0	16467	28202.56743144989
16	160	17.22038	0.0	16569	28540.297325849533
16	161	18.656015	0.0	16672	28673.690306186676
16	162	16.905329	0.0	16775	28801.81297683716
16	163	18.10102	0.0	16878	28932.765350341797
16	164	15.800369	0.0	16981	29074.744228601456
16	165	16.953407	0.0	17083	29209.66073703766
16	166	13.628542	0.0	17187	29341.590797185898
16	167	14.460946	0.0	17291	29479.607943296432
16	168	16.750631	0.0	17393	29616.481791496277
16	169	0.5655447	0.0	17493	29759.716450691223
17	170	15.586185	0.0	17596	30168.672025680542
17	171	16.613676	0.0	17700	30302.39222407341
17	172	18.856667	0.0	17803	30434.0390124321
17	173	17.10385	0.0	17906	30574.281666517258
17	174	16.149858	1.0	18009	30708.382490873337
17	175	16.735361	0.0	18110	30845.087094545364
17	176	16.57805	1.0	18212	30975.1079788208
17	177	18.17502	0.0	18315	31112.40140247345
17	178	17.035637	0.0	18418	31242.629914283752
17	179	18.016655	0.0	18521	31370.433698892593
18	180	11.853271	0.0	18623	31829.492920160294
