Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	18.530802	0.0	104	41.76261568069458
0	1	17.074718	0.0	206	82.6278829574585
0	2	17.763786	3.0	310	124.97426104545593
0	3	18.802345	0.0	412	166.3979709148407
0	4	17.278786	0.0	517	209.50935053825378
0	5	19.227201	0.0	622	252.07046627998352
0	6	13.036238	2.0	723	293.6132345199585
0	7	15.33353	0.0	825	335.39653182029724
0	8	7.9720087	2.0	926	376.65483379364014
0	9	17.979511	1.0	1030	419.1174292564392
1	10	17.287848	1.0	1133	461.06752371788025
1	11	16.019083	0.0	1236	502.9757101535797
1	12	18.635572	0.0	1339	545.3778920173645
1	13	17.412054	0.0	1443	588.1006214618683
1	14	16.516462	2.0	1546	630.182386636734
1	15	18.475155	0.0	1650	672.7391517162323
1	16	15.926017	2.0	1753	715.0772585868835
1	17	16.701014	0.0	1859	758.6250200271606
1	18	17.967813	0.0	1963	801.2539494037628
1	19	17.11839	1.0	2066	843.5187203884125
2	20	17.427872	0.0	2170	886.2848670482635
2	21	17.729977	0.0	2274	929.0086941719055
2	22	16.649014	0.0	2378	971.7707135677338
2	23	18.144634	0.0	2482	1014.2710108757019
2	24	17.996984	1.0	2586	1056.8910567760468
2	25	17.050478	0.0	2691	1099.9813549518585
2	26	7.439239	1.0	2793	1142.1562886238098
2	27	5.101438	0.0	2894	1183.7299056053162
2	28	16.90644	0.0	2997	1226.1146576404572
2	29	18.730312	0.0	3103	1270.0172114372253
3	30	18.447779	1.0	3206	1294.5949974060059
3	31	15.037638	0.0	3308	1330.6248035430908
3	32	16.367971	1.0	3412	1381.5320782661438
3	33	15.491768	0.0	3515	1431.3117215633392
3	34	17.731174	0.0	3620	1480.6120393276215
3	35	15.712334	0.0	3723	1529.4851274490356
3	36	15.999488	0.0	3826	1578.7686500549316
3	37	16.243444	1.0	3930	1629.370617389679
3	38	18.837627	0.0	4034	1679.7682869434357
3	39	16.542305	0.0	4138	1730.7367887496948
4	40	17.433928	0.0	4241	1781.1041321754456
4	41	17.315962	2.0	4343	1830.729294538498
4	42	18.685747	0.0	4448	1880.9340236186981
4	43	15.31781	5.0	4552	1932.0924859046936
4	44	18.328709	0.0	4657	1982.2773776054382
4	45	18.29163	0.0	4762	2032.1864840984344
4	46	17.353848	1.0	4866	2083.3497965335846
4	47	18.584814	0.0	4970	2134.7350537776947
4	48	17.659351	0.0	5074	2184.4381759166718
4	49	18.508312	0.0	5176	2234.231559753418
5	50	15.697386	0.0	5277	2282.80114197731
5	51	16.268316	4.0	5381	2333.1800348758698
5	52	20.335497	0.0	5485	2382.8625597953796
5	53	18.478245	0.0	5589	2431.8841812610626
5	54	16.924013	0.0	5691	2481.153918027878
5	55	18.099752	0.0	5795	2531.249217748642
5	56	18.879894	3.0	5897	2580.291514158249
5	57	18.196358	0.0	6002	2630.4143767356873
5	58	16.953726	0.0	6106	2681.264442205429
5	59	16.699526	0.0	6208	2730.3385660648346
6	60	17.723415	0.0	6312	2780.3961396217346
6	61	17.663145	0.0	6415	2829.0663619041443
6	62	17.748493	0.0	6519	2878.5025396347046
6	63	17.338213	0.0	6621	2928.2102251052856
6	64	19.438944	0.0	6724	2978.0169134140015
6	65	20.03438	0.0	6828	3027.4825065135956
6	66	4.8543425	0.0	6929	3079.5652208328247
6	67	18.329845	3.0	7034	3130.712173461914
6	68	16.863962	0.0	7137	3180.0604519844055
6	69	17.574333	0.0	7241	3230.3100628852844
7	70	18.561306	0.0	7345	3280.240232229233
7	71	20.0091	0.0	7449	3329.8948991298676
7	72	16.302359	0.0	7553	3380.1109347343445
7	73	16.786457	0.0	7656	3429.1799936294556
7	74	20.105822	0.0	7760	3479.0615265369415
7	75	16.845228	0.0	7863	3528.6876776218414
7	76	14.434076	1.0	7967	3578.7752656936646
7	77	17.941277	0.0	8070	3627.981137037277
7	78	16.989275	0.0	8173	3677.318710565567
7	79	16.803219	2.0	8274	3725.1174232959747
8	80	16.953743	2.0	8377	3775.0676233768463
8	81	16.458673	0.0	8479	3823.8428893089294
8	82	16.20269	1.0	8583	3874.710212945938
8	83	17.104248	3.0	8685	3923.57497048378
8	84	17.165735	0.0	8788	3972.7950518131256
8	85	18.771906	0.0	8892	4021.4452352523804
8	86	19.261381	0.0	8994	4070.681054830551
8	87	17.77186	0.0	9099	4120.188470840454
8	88	14.902101	2.0	9202	4169.290172100067
8	89	17.268888	0.0	9303	4218.396315097809
9	90	17.931015	0.0	9407	4269.221053361893
9	91	19.631592	0.0	9511	4298.955656290054
9	92	16.351707	1.0	9613	4324.150573253632
9	93	16.464743	0.0	9716	4350.252948284149
9	94	17.152815	0.0	9820	4376.759972810745
9	95	11.978212	1.0	9922	4403.241992473602
9	96	19.80855	3.0	10025	4429.222050666809
9	97	18.614725	0.0	10129	4455.652503967285
9	98	17.195286	0.0	10232	4481.12749838829
9	99	17.50923	0.0	10334	4506.456067562103
10	100	14.982774	1.0	10437	4531.853808641434
10	101	16.481722	0.0	10539	4556.671244382858
10	102	18.67856	2.0	10642	4582.634137868881
10	103	16.417097	0.0	10745	4608.054523944855
10	104	15.727372	0.0	10848	4633.710029840469
10	105	18.372051	0.0	10951	4659.393498420715
10	106	17.871706	0.0	11054	4685.274285316467
10	107	20.950653	0.0	11157	4710.825350761414
10	108	18.694248	0.0	11261	4736.47890329361
10	109	16.80601	2.0	11363	4761.820477247238
11	110	17.111326	0.0	11468	4787.797444820404
11	111	17.433077	0.0	11571	4812.803868532181
11	112	16.695002	0.0	11676	4838.715887308121
11	113	19.542917	1.0	11780	4863.850252628326
11	114	19.2001	0.0	11883	4889.124531030655
11	115	17.188093	2.0	11986	4914.421204090118
11	116	16.277504	0.0	12089	4940.075164794922
11	117	17.285852	2.0	12193	4965.911274433136
11	118	16.479067	1.0	12297	4992.291327238083
11	119	16.92714	4.0	12400	5017.949006557465
12	120	14.0285015	0.0	12503	5044.009840488434
12	121	16.958529	0.0	12607	5069.50132894516
12	122	17.019102	1.0	12709	5094.608122825623
12	123	16.83718	0.0	12812	5120.059043645859
12	124	17.732819	0.0	12917	5146.84556221962
12	125	12.796764	2.0	13018	5172.902274131775
12	126	17.896381	0.0	13122	5199.109118938446
12	127	16.802624	1.0	13224	5224.509954929352
12	128	18.336962	0.0	13327	5250.721136808395
12	129	18.167942	0.0	13429	5275.707215547562
13	130	17.115213	3.0	13534	5301.580825090408
13	131	18.365572	0.0	13637	5326.971184968948
13	132	17.169624	0.0	13741	5352.468939065933
13	133	18.92529	0.0	13845	5377.601024627686
13	134	19.279171	1.0	13949	5403.4297311306
13	135	16.25507	2.0	14052	5428.920296907425
13	136	17.237137	0.0	14156	5454.485782623291
13	137	17.541431	1.0	14259	5479.548383235931
13	138	12.586897	0.0	14361	5504.876892089844
13	139	18.325891	1.0	14463	5529.904719591141
14	140	18.382328	0.0	14565	5554.574511289597
14	141	17.343771	0.0	14669	5580.3226146698
14	142	16.145687	3.0	14771	5605.661346912384
14	143	17.160542	0.0	14873	5630.872825860977
14	144	16.30672	0.0	14977	5656.601362228394
14	145	15.68469	0.0	15079	5682.48410153389
14	146	19.107784	0.0	15182	5707.830306053162
14	147	15.792515	0.0	15284	5732.679263114929
14	148	16.887428	0.0	15387	5758.609051465988
14	149	16.732927	0.0	15490	5784.22410774231
15	150	2.9469626	0.0	15591	5810.512818813324
15	151	16.651926	0.0	15692	5835.570911884308
15	152	17.70037	0.0	15795	5860.833911418915
15	153	15.958016	0.0	15898	5886.465882301331
15	154	15.842516	2.0	16002	5912.441178321838
15	155	16.7738	0.0	16105	5937.919584274292
15	156	16.213228	3.0	16208	5962.862338781357
15	157	16.7754	2.0	16313	5988.1881630420685
15	158	16.913168	2.0	16415	6013.744916677475
