Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	16.916105	2.0	102	28.691845178604126
0	1	17.819885	0.0	204	53.90218496322632
0	2	17.920477	0.0	307	79.53159475326538
0	3	18.381283	0.0	410	103.76829242706299
0	4	18.644724	2.0	514	128.93771481513977
0	5	17.061739	0.0	618	153.8963963985443
0	6	16.392668	1.0	720	179.30064225196838
0	7	16.222897	4.0	824	204.8933539390564
0	8	17.72528	2.0	926	229.82909059524536
0	9	17.827211	2.0	1030	254.88781785964966
1	10	16.718342	0.0	1133	280.05376863479614
1	11	15.7063	0.0	1237	304.86454248428345
1	12	15.673406	0.0	1341	330.14973044395447
1	13	16.880468	0.0	1444	355.1310679912567
1	14	17.93342	2.0	1548	380.55135464668274
1	15	16.094107	3.0	1651	405.00372529029846
1	16	16.601963	0.0	1754	430.2345280647278
1	17	15.942164	0.0	1858	455.4139907360077
1	18	19.353548	0.0	1961	481.29159569740295
1	19	16.886463	2.0	2064	506.5267252922058
2	20	15.163174	0.0	2169	532.4751634597778
2	21	18.673796	1.0	2272	557.7727196216583
2	22	14.291583	0.0	2375	582.8811473846436
2	23	16.228065	0.0	2478	607.812474489212
2	24	17.271065	2.0	2581	633.2797946929932
2	25	18.386023	2.0	2684	658.3687014579773
2	26	15.596861	1.0	2786	683.6127169132233
2	27	16.51884	0.0	2888	708.8468568325043
2	28	18.022705	0.0	2992	734.3941326141357
2	29	19.189642	0.0	3095	759.749685049057
3	30	17.276388	0.0	3197	784.1468727588654
3	31	16.52806	0.0	3301	808.6064012050629
3	32	16.351131	2.0	3404	834.3438947200775
3	33	16.823101	0.0	3507	859.5578856468201
3	34	16.200912	0.0	3610	883.8844530582428
3	35	16.789532	0.0	3713	909.0591354370117
3	36	17.751091	0.0	3818	934.627194404602
3	37	16.35471	0.0	3921	960.2435481548309
3	38	16.675167	0.0	4024	985.4768283367157
3	39	15.271144	1.0	4127	1010.4205219745636
4	40	17.920225	0.0	4231	1035.7133276462555
4	41	17.78764	3.0	4336	1061.6327075958252
4	42	17.363987	0.0	4439	1086.2380576133728
4	43	16.094507	0.0	4542	1111.0720400810242
4	44	16.911278	0.0	4645	1135.9910771846771
4	45	15.731523	0.0	4749	1161.4449372291565
4	46	16.778978	3.0	4853	1187.0560286045074
4	47	17.209427	0.0	4957	1212.3801658153534
4	48	17.45558	1.0	5062	1237.5075454711914
4	49	17.839325	0.0	5164	1262.0448167324066
5	50	17.654247	0.0	5268	1287.3739309310913
5	51	16.888668	2.0	5371	1312.7899634838104
5	52	19.07621	0.0	5475	1338.1164112091064
5	53	16.81817	0.0	5578	1362.7169513702393
5	54	16.09263	2.0	5681	1387.4489967823029
5	55	16.607887	0.0	5784	1412.3607106208801
5	56	17.35883	2.0	5886	1437.5585072040558
