Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	16.975735	0.0	103	108.60390186309814
0	1	17.925539	0.0	205	212.69381284713745
0	2	15.640281	0.0	308	317.52491211891174
0	3	18.048977	0.0	412	421.94514560699463
0	4	19.71658	0.0	516	529.173347234726
0	5	19.041096	0.0	621	635.4596900939941
0	6	5.807005	0.0	721	741.6153967380524
0	7	15.087132	0.0	824	847.5630786418915
0	8	2.7155275	0.0	924	954.3013341426849
0	9	6.7894177	0.0	1026	1060.66867852211
1	10	17.376547	0.0	1128	1165.576823234558
1	11	11.79279	0.0	1230	1270.7937116622925
1	12	16.31685	0.0	1333	1375.743809223175
1	13	16.544918	0.0	1436	1481.0602481365204
1	14	15.800024	0.0	1539	1587.346471786499
1	15	8.902767	0.0	1641	1691.3257131576538
1	16	15.721575	0.0	1744	1796.877713918686
1	17	16.689949	0.0	1848	1903.1224403381348
1	18	16.890692	0.0	1951	2010.748790025711
1	19	17.292242	0.0	2056	2117.320789575577
2	20	19.128168	0.0	2160	2221.0673518180847
2	21	17.329405	0.0	2263	2327.6064686775208
2	22	16.999826	0.0	2365	2431.6191079616547
2	23	16.566229	0.0	2468	2538.06108045578
2	24	15.316314	0.0	2570	2644.2117578983307
2	25	15.85642	0.0	2673	2750.05682349205
2	26	3.1717088	0.0	2773	2856.3627359867096
2	27	16.797344	0.0	2876	2962.931221008301
2	28	16.189137	0.0	2980	3074.9324898719788
2	29	18.308996	0.0	3085	3186.0859212875366
3	30	17.309181	0.0	3188	3294.8193311691284
3	31	16.352205	0.0	3291	3401.6151020526886
3	32	9.979512	0.0	3393	3512.2861318588257
3	33	16.59663	0.0	3496	3623.617854833603
3	34	18.54091	1.0	3600	3730.4506492614746
3	35	17.395283	0.0	3704	3839.1556668281555
3	36	17.21314	0.0	3808	3949.225942134857
3	37	16.34053	0.0	3911	4060.121911048889
3	38	18.830393	0.0	4015	4169.821710824966
3	39	16.915754	0.0	4119	4279.876451730728
4	40	17.476305	1.0	4222	4389.924542427063
4	41	18.601078	0.0	4325	4499.387951850891
4	42	17.186481	0.0	4428	4605.725913763046
4	43	5.1936536	0.0	4529	4717.097395896912
4	44	16.75138	0.0	4634	4829.131656885147
4	45	18.165962	0.0	4737	4940.213958501816
4	46	18.526964	0.0	4843	5055.921936035156
4	47	17.954296	0.0	4947	5164.5428030490875
4	48	16.279573	0.0	5050	5273.875822305679
4	49	12.220066	0.0	5152	5387.707119703293
5	50	18.325863	0.0	5255	5497.481573820114
5	51	17.377552	0.0	5359	5609.7374386787415
5	52	19.053282	0.0	5462	5719.54748916626
5	53	15.968956	0.0	5566	5828.2267208099365
5	54	16.638834	0.0	5671	5938.325700521469
5	55	15.938585	0.0	5773	6046.301335096359
5	56	13.354841	0.0	5876	6157.16179728508
5	57	18.25693	0.0	5980	6267.908571481705
5	58	14.666471	0.0	6083	6377.282091379166
5	59	16.434208	0.0	6186	6486.910360574722
6	60	15.082444	0.0	6290	6598.970131635666
6	61	17.451244	0.0	6393	6707.771218061447
6	62	16.1196	0.0	6496	6817.5752239227295
6	63	17.158546	0.0	6599	6925.429150342941
6	64	16.298716	0.0	6702	7035.916706323624
6	65	19.988173	0.0	6805	7143.922983646393
6	66	4.8270235	0.0	6907	7262.877931833267
6	67	15.795737	0.0	7010	7377.093419313431
6	68	19.033384	0.0	7114	7488.307829380035
