Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.0030291914	1.4564995	4.4707084	-3.3689623	23.83	27.369347	105.0	0.0	300.0	2383.0	0.07943333333333333	0.7286711	0.11936833	1.2657171	0.28718233	-0.5340237	0.08498223	-0.1848744	-0.92419255	-8.646647e-09	-0.013566688	-2.4414062e-08	-0.023669409	0.47210577	-0.30052128	100.15378	-51.18637	1.0	0.0318954	1.4366843	0.0	1.837877	0.0071939128	30000	70.8032476902008
1	0.2980088	1.6319615	5.1279855	-2.9688168	21.41	23.23751	90.0	0.0	300.0	4524.0	0.0754	0.26640496	0.23827991	1.0432625	-0.39801264	4.871822	4.3772793	15.984317	-4.8800073	2.8056643e-08	-0.012225542	6.510417e-08	-0.021971883	0.18046728	-0.024454653	38.86977	-3.609352	1.0318954	0.03215611	1.6182507	0.0	1.805764	0.007980858	60000	145.05234503746033
2	0.25730884	1.7021655	6.9043703	-2.8123071	17.01	23.047558	97.0	0.0	300.0	6225.0	0.06916666666666667	0.16237527	0.31507036	1.1216401	-0.51587915	4.737853	5.247688	18.141172	-3.9373384	-7.45381e-10	-0.01280604	-8.138021e-09	-0.023012754	0.19506276	-0.026140034	32.020092	-3.5317364	1.0640515	0.031222463	1.4993588	0.0	1.816538	0.00822734	90000	230.24467539787292
3	0.5476471	2.177158	6.2960443	-3.6527848	15.49	18.660383	96.0	0.0	300.0	7774.0	0.06478333333333333	0.0941257	0.39187935	1.3813533	-0.6312611	3.586132	4.7101564	22.460712	-1.8823951	2.4393312e-09	-0.014103474	1.6276042e-08	-0.02238689	0.24852465	-0.034152642	27.25777	-1.7202816	1.095274	0.03032589	1.4763813	0.0	1.7962871	0.008934715	120000	332.42296385765076
4	-0.027465792	2.2683775	7.059383	-3.5526679	9.19	12.161986	60.0	0.0	300.0	8693.0	0.057953333333333336	0.073021755	0.53337795	1.9446979	-0.8657953	2.9923518	3.963627	18.786198	-1.9889235	3.828576e-09	-0.011474131	0.0	-0.015817655	0.265598	-0.02493231	15.263184	-4.0125837	1.1255999	0.025205255	1.7192187	0.0	1.8009274	0.00828012	150000	437.0418424606323
5	0.72110116	2.2123551	7.5243044	-3.2258651	9.3	13.989639	68.0	0.0	300.0	9623.0	0.05346111111111111	0.13036059	0.61171407	1.8445265	-1.2009909	1.9555573	2.5887806	15.065941	-1.3566996	-1.246602e-08	-0.008356175	-9.155274e-09	-0.012372142	0.28133973	-0.034835517	13.669114	-0.42442036	1.1508051	0.021318555	2.3205013	0.0	1.7837534	0.009234983	180000	541.9437720775604
6	0.5278329	2.2528088	7.631582	-3.1099138	9.15	12.990285	53.0	0.0	300.0	10538.0	0.05018095238095238	0.09478263	0.57156456	1.8543886	-1.4024119	1.7455435	2.2885776	15.5464735	-1.1867472	-6.1111822e-09	-0.008711997	-9.155274e-09	-0.010238611	0.25724664	-0.02729258	12.089919	-1.0748339	1.1721237	0.01802063	2.303056	0.0	1.7604876	0.009630967	210000	647.922464132309
7	0.8410884	2.255797	7.354168	-3.4196124	10.57	14.440398	83.0	0.0	300.0	11595.0	0.0483125	0.15451033	0.568408	1.9076364	-1.6177933	1.9020787	2.6346312	14.316808	-1.5363332	-4.533479e-09	-0.008930985	-4.0690105e-09	-0.015119823	0.2923851	-0.041610926	16.683212	-1.9833918	1.1901443	0.01649332	2.228539	0.0	1.7397499	0.009385118	240000	753.084291934967
8	0.90807694	1.9547304	5.6737995	-3.1098049	7.34	10.462523	46.0	0.0	300.0	12329.0	0.04566296296296296	0.2651904	0.59015346	1.9706974	-1.5206748	2.2130566	2.7426727	14.123894	-2.6891265	-1.1848217e-09	-0.008793183	4.577637e-09	-0.012662326	0.2542495	-0.0361706	9.273121	-1.1120291	1.2066376	0.01233995	2.2641912	0.0	1.7305775	0.007706343	270000	858.3083739280701
9	1.2211835	2.6299708	7.72782	-3.0241902	6.14	10.495732	60.0	0.0	300.0	12943.0	0.04314333333333333	0.29290858	0.6155885	2.1068392	-1.792346	1.6135567	2.042357	13.283645	-2.283567	6.3042886e-09	-0.008649225	8.138021e-09	-0.011109156	0.30104297	-0.058825076	9.5719795	-0.7081213	1.2189776	0.007649541	2.4297137	0.0	1.7213035	0.008782967	300000	962.2459125518799
10	0.9452836	2.5110657	7.1503143	-3.3469253	7.17	9.327438	34.0	0.0	300.0	13660.0	0.04139393939393939	0.24648981	0.7323599	2.479737	-2.2862713	1.5136064	2.2158678	15.009774	-1.2482231	8.138021e-09	-0.008376695	8.138021e-09	-0.0126139615	0.34653553	-0.05204183	7.0502415	-0.6425781	1.2266271	0.0044790506	2.3898232	0.0	1.7321179	0.0073459013	330000	1067.7801835536957
11	1.7295642	3.0079792	9.828164	-3.1727998	7.78	9.653579	41.0	0.0	300.0	14438.0	0.040105555555555554	0.3803763	0.74952924	2.3498073	-2.3262315	1.5119802	2.1422048	14.55687	-1.9893435	-1.0596005e-08	-0.0088468185	-2.746582e-08	-0.016855016	0.3954739	-0.080905765	8.136366	-0.8782768	1.2311062	0.0021920204	2.2760851	0.0	1.7351358	0.009163486	360000	1173.3404893875122
12	1.0497934	2.6562588	8.638862	-3.375374	6.27	10.512711	63.0	0.0	300.0	15065.0	0.038628205128205126	0.40826073	0.8223739	2.7042084	-2.3674748	1.4442354	1.9271059	14.60768	-1.2851017	-1.0626576e-09	-0.008003587	-1.0172526e-08	-0.013382583	0.32565504	-0.05174759	8.836224	-0.9859152	1.2332982	-0.0010660887	2.5502617	0.0	1.7323914	0.008779653	390000	1279.1205050945282
13	0.7823709	2.6447532	6.9260507	-3.2715392	5.16	9.591372	59.0	0.0	300.0	15581.0	0.037097619047619046	0.37404475	0.78004587	2.5228858	-2.6490166	1.3829268	2.1934338	17.473291	-3.0283809	6.706111e-09	-0.009566889	1.6276042e-08	-0.0135461865	0.23344281	-0.040342227	7.2175627	-0.88566494	1.2322321	-0.0047570467	2.1250403	0.0	1.7282258	0.0084463395	420000	1384.1634724140167
14	1.0303599	2.580738	7.1221914	-3.1066892	5.68	11.27287	78.0	0.0	300.0	16149.0	0.035886666666666664	0.28727973	0.7590042	2.7933621	-2.3998234	1.356169	2.185785	17.274946	-2.0416398	-4.484547e-09	-0.008802437	-8.138021e-09	-0.011513238	0.26724032	-0.044747353	9.133082	-1.4428883	1.227475	-0.0075643063	2.3098164	0.0	1.724884	0.008107077	450000	1490.0230786800385
