Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.0030291914	1.4564995	4.4707084	-3.3689623	23.83	27.369347	105.0	0.0	300.0	2383.0	0.07943333333333333	0.7286711	0.11936833	1.2657171	0.28718233	-0.5340237	0.08498223	-0.1848744	-0.92419255	7.1207684e-09	-0.009372673	-2.4414062e-08	0.0018202718	0.47210577	-0.30052128	100.15378	-51.18637	0	0	2.1273315	0.0	1.837877	0.008889567	30000	67.26817893981934
1	1.3574508	1.9266628	6.713713	-2.6881437	26.59	26.028866	112.0	0.0	300.0	5042.0	0.08403333333333333	0.30077103	0.24922442	1.0173904	-0.4024709	6.053253	4.1290507	16.522566	-4.8719187	5.086263e-09	-0.013929383	1.8310548e-08	0.004853282	0.28025392	-0.074090764	58.546516	-7.767227	0	0	1.491341	0.0	1.8375473	0.008876838	60000	139.46053051948547
2	2.9309976	1.9421629	10.720609	-1.3894271	29.36	23.399794	100.0	0.0	300.0	7978.0	0.08864444444444444	0.5717464	0.4024135	1.688478	-0.26526415	8.090603	5.0036197	20.62817	-4.2995925	-2.0345052e-09	-0.01394147	2.0345052e-08	-0.0045231245	0.4659419	-0.13487402	44.02479	-3.7594566	0	0	1.5470141	0.0	1.8433129	0.009931143	90000	220.42821049690247
3	3.5466385	2.2598767	13.358576	-2.2053301	33.73	23.926493	109.0	0.0	300.0	11351.0	0.09459166666666667	0.9427228	0.47166476	2.2349124	-0.100773565	9.342151	4.3154	22.370592	-0.8402267	2.2379558e-08	-0.012869531	-2.4414062e-08	-0.003539453	0.45090455	-0.071495354	55.776363	-4.9640884	0	0	1.6479782	0.0	1.8379483	0.008743127	120000	317.8175804615021
4	3.9591568	1.7764475	8.433327	-0.15660208	27.52	18.2118	91.0	0.0	300.0	14103.0	0.09402	1.1843565	0.468127	2.50122	-0.027273756	11.467167	4.2311707	26.06716	-1.3031073	-7.1207684e-09	-0.011582993	-6.103516e-08	0.0022148723	0.3869362	-0.06193006	39.0616	-5.413719	0	0	1.7139363	0.0	1.8426383	0.009232522	150000	422.25922870635986
5	4.9228806	2.015688	9.743016	0.71460265	28.34	16.955366	70.0	0.0	300.0	16937.0	0.09409444444444444	1.4058596	0.41982073	2.4773536	0.3936996	9.644521	3.1108055	24.70799	0.46121174	1.2207031e-08	-0.011088733	-2.0345052e-08	0.0062451684	0.4847384	-0.07040307	36.75988	-2.0343704	0	0	1.8695517	0.0	1.8464707	0.00965011	180000	526.8630442619324
6	5.8017225	2.081343	11.373676	0.82865465	33.06	19.447788	87.0	0.0	300.0	20243.0	0.09639523809523809	1.6849892	0.42074707	2.807597	0.5556677	10.138996	3.106876	27.247057	2.2292495	1.93278e-08	-0.011184994	1.6276042e-08	-0.0013700603	0.48709795	-0.07333049	44.39315	-2.4584427	0	0	1.8546191	0.0	1.8302872	0.008864702	210000	632.3394165039062
7	5.9992204	2.0027168	10.799128	2.732174	30.56	15.992699	79.0	0.0	300.0	23299.0	0.09707916666666666	1.9312949	0.4397387	3.0197482	0.68955624	10.886077	3.0818274	27.141682	2.5535955	-4.0690105e-09	-0.011082369	1.6276042e-08	-0.005715515	0.4489405	-0.04335761	31.29267	-2.5061588	0	0	1.7227119	0.0	1.8153491	0.008816735	240000	736.2751541137695
8	6.849903	1.965231	12.742933	2.579466	26.26	15.4651985	96.0	0.0	300.0	25925.0	0.09601851851851852	2.108491	0.3994929	3.2078986	0.91007024	10.313212	3.1426446	25.482834	2.738662	-1.525879e-08	-0.009282283	6.103516e-08	-0.00017514445	0.47800198	-0.05965817	34.146122	-3.1804256	0	0	2.1005619	0.0	1.8103195	0.0086155385	270000	841.8798422813416
9	6.6663713	1.9572963	12.002071	1.7281747	28.17	15.673579	65.0	0.0	300.0	28742.0	0.09580666666666666	2.31129	0.45225972	3.4942594	1.0239209	9.682547	2.767094	24.513641	2.656731	-1.0172526e-08	-0.009389026	4.0690105e-09	-0.0022467163	0.41484165	-0.033836633	29.828371	-3.0562038	0	0	2.039527	0.0	1.7884804	0.008589924	300000	946.5373389720917
10	7.2446623	2.2865434	17.431229	0.8529905	26.36	15.908815	68.0	0.0	300.0	31378.0	0.09508484848484848	2.332395	0.4668528	3.705522	0.74809974	9.596617	2.848968	23.424398	1.953465	1.525879e-08	-0.008601571	2.1362304e-08	0.0031307596	0.48692766	-0.050389886	29.932787	-3.1426945	0	0	2.3338003	0.0	1.7783039	0.009045234	330000	1052.0615272521973
