Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	2.0345052e-09	-0.0014805216	-4.8828124e-08	-0.02363514	0.41809905	-0.27705646	120.26528	-64.57302	0.79983103	0.0	0.0055632372	-0.09059138	0.058799997	0.005628875	0.0014324988	0.031263195	0.0	0.79983103	0.0	0.0	0.0	1.837877	0.0067014126	30000	107.16873335838318
1	-0.17760658	1.3406327	4.087568	-2.5679722	21.97	22.40645	92.0	0.0	300.0	4961.0	0.08268333333333333	0.25533593	0.20053777	0.9287599	-0.43010235	5.559123	4.0078363	14.66731	-3.1995554	1.4241537e-08	0.003320183	0.0	-0.024157332	0.16975796	-0.045903258	39.050888	-2.831398	0.79026747	0.0	0.009621282	-0.029712329	0.039899997	0.010231763	-0.004421574	0.032024447	0.0	0.79026747	0.0	0.0	0.0	1.8171378	0.0077761686	60000	213.24365282058716
2	-0.40754807	1.2814618	5.78983	-2.7363892	15.36	23.160536	113.0	0.0	300.0	6497.0	0.07218888888888889	0.055835236	0.25563994	1.097699	-0.6038657	4.569343	4.481807	15.851667	-3.7348225	2.0345052e-09	-0.0070653856	-8.138021e-09	-0.017880628	0.14255966	-0.01882635	33.103653	-3.9430504	0.6562554	0.0	0.008738451	0.009939635	0.017866665	0.009260711	-0.004070803	0.031730235	0.93763113	0.6562554	1.0	0.0	0.0	1.8139148	0.007429616	90000	319.17110776901245
3	0.6833261	1.658808	4.390618	-2.4902265	23.71	25.64227	112.0	0.0	300.0	8868.0	0.0739	-0.014369718	0.27018785	0.9456593	-0.7445274	6.024603	4.732566	19.101795	-1.8464639	4.0690105e-09	0.0040745684	-9.155274e-09	-0.026716111	0.20589203	-0.07111953	49.306355	-3.3790245	0.72831297	0.0	0.0060899956	-0.03539092	0.0457	0.007053583	-0.0060275723	0.03770455	0.0	0.72831297	0.0	0.0	0.0	1.8276789	0.009402632	120000	424.82102823257446
4	-0.13681774	1.7467834	7.293381	-3.1563754	17.07	19.582775	101.0	0.0	300.0	10575.0	0.0705	0.06160318	0.38193226	1.4736794	-0.590567	4.74613	4.406287	22.048595	-2.3453143	1.525879e-08	-0.0022296256	2.8483074e-08	-0.020153433	0.18010183	-0.019355938	26.821457	-2.503666	1.7444072	0.0	0.010670486	0.002269287	0.023566665	0.011070111	-0.0035380295	0.031323485	2.1684399	1.7444072	1.0	0.0	1.0	1.8212323	0.0069386507	150000	530.9094665050507
5	-0.10393991	2.149362	6.0555	-3.5952675	10.99	15.663011	96.0	0.0	300.0	11674.0	0.06485555555555556	-0.019863116	0.45961073	1.5956497	-0.79493225	3.013455	4.0153356	23.601952	-2.063022	1.1189779e-08	-0.014037369	2.4414062e-08	-0.0018858154	0.22243695	-0.022650138	16.624529	-1.7923946	0.21757905	0.0	0.01004812	0.019633235	0.0032999993	0.0106141465	-0.004099575	0.029692098	0.7153959	0.21757905	1.0	0.0	0.0	1.8332729	0.008480925	180000	636.953530550003
6	0.45477736	2.1539667	6.2130623	-2.8896277	14.41	18.77184	94.0	0.0	300.0	13115.0	0.062452380952380954	-0.06374367	0.51559085	1.6876897	-1.0482453	2.8753614	3.8240871	25.834742	-1.3929763	-6.1035155e-09	-0.0090755345	-4.0690105e-09	-0.014852287	0.22102204	-0.034924507	26.674469	-1.8952904	0.5021509	0.0	0.0081147095	0.012850842	0.014699999	0.008519243	-0.0034967724	0.030225938	0.7946405	0.5021509	1.0	0.0	0.0	1.829757	0.008928254	210000	742.7902584075928
7	1.3553871	2.3819237	6.3868556	-2.9650552	14.91	19.58984	90.0	0.0	300.0	14606.0	0.060858333333333334	0.17225882	0.59568226	1.8261323	-1.0628728	4.0462637	3.8724203	23.102613	-1.4814552	0.0	-0.0041843955	4.0690105e-09	-0.0149340285	0.31142604	-0.06548226	26.928143	-2.4273052	0.53793293	0.0	0.0062952354	0.012491728	0.016366666	0.007902692	-0.0075728586	0.035676353	0.709896	0.53793293	1.0	0.0	1.0	1.8230491	0.0062669865	240000	849.4267868995667
8	1.4862252	2.5228965	8.860803	-3.4669595	15.6	20.049938	79.0	0.0	300.0	16166.0	0.05987407407407407	0.37099564	0.61631525	2.0810454	-0.94135755	4.3196974	4.4406505	24.82693	-1.0916219	-1.0172526e-09	-0.0042315573	1.1189779e-08	-0.018349921	0.29870194	-0.043680012	24.80696	-1.6916962	0.85222185	0.0	0.007130724	0.006792508	0.018666668	0.007558102	-0.0033578603	0.026382336	1.0245938	0.85222185	1.0	0.0	0.0	1.8195955	0.007659696	270000	955.4018888473511
9	1.9090049	2.3137345	7.9677567	-2.4666083	16.06	18.583769	85.0	0.0	300.0	17772.0	0.05924	0.47510573	0.70285094	2.2206056	-1.2431245	4.0327625	4.1970577	23.295174	-1.337287	2.0345052e-09	-0.0015339233	1.2207031e-08	-0.017125495	0.32220596	-0.049690366	26.470268	-2.4360428	0.9954053	0.0	0.0053698793	0.0042354604	0.020199997	0.0057221567	-0.0030196253	0.025883403	1.1259834	0.9954053	1.0	0.0	1.0	1.8224641	0.0062932866	300000	1061.6548824310303
10	1.5899711	2.4950511	7.408053	-2.9983838	19.54	19.829483	86.0	0.0	300.0	19726.0	0.05977575757575757	0.54611725	0.68994635	2.0755575	-1.1320655	4.4292603	3.817127	21.310598	-1.314082	0.0	0.0028660279	-2.8483074e-08	-0.025118107	0.23837925	-0.031217888	31.983158	-3.14295	0.75299615	0.0	0.0077359625	-0.008668832	0.0318	0.008132445	-0.0037396757	0.035273157	0.0	0.75299615	0.0	0.0	0.0	1.819038	0.008024826	330000	1167.6191079616547
11	1.624472	2.454749	7.2035575	-3.2919338	11.81	13.980482	63.0	0.0	300.0	20907.0	0.058075	0.49770653	0.73469996	2.0104456	-1.2594076	4.2600102	4.0102434	21.74109	-1.9628375	-8.138021e-09	-0.009261802	4.8828124e-08	-0.004504413	0.27314264	-0.027460352	18.70182	-3.3790264	0.28269634	0.0	0.007162571	0.018141126	0.006033335	0.0073180357	-0.0017448124	0.019582361	0.62835103	0.28269634	1.0	0.0	1.0	1.8191812	0.0064704027	360000	1273.9587016105652
12	2.0272083	2.977195	9.375478	-2.7594836	17.34	18.791605	81.0	0.0	300.0	22641.0	0.05805384615384616	0.38593495	0.74397874	2.0413365	-1.7666434	3.2003906	3.4783616	19.188356	-2.1302521	4.0690105e-09	0.0042888713	2.0345052e-09	-0.020823028	0.37268138	-0.06930056	23.308329	-4.147743	0.9548288	0.0	0.005410591	-0.007287946	0.024466667	0.006361983	-0.004568452	0.021937078	0.0	0.9548288	0.0	0.0	0.0	1.8180153	0.008193255	390000	1379.1444985866547
13	1.1653811	2.452948	6.918762	-2.9842048	11.35	15.920663	81.0	0.0	300.0	23776.0	0.05660952380952381	0.4584141	0.840177	2.3150458	-1.6726162	3.421016	4.1232615	20.96129	-2.4586544	-5.8492025e-09	-0.00917171	2.8483074e-08	-0.0047185016	0.27054316	-0.03576903	16.551466	-2.570674	0.3355613	0.0	0.005829012	0.019163055	0.004500001	0.0071423673	-0.0056370925	0.024195137	0.5515249	0.3355613	1.0	0.0	0.0	1.8291469	0.008811275	420000	1480.2568278312683
14	2.2630847	2.9584868	10.294743	-2.932719	15.39	17.185398	69.0	0.0	300.0	25315.0	0.05625555555555556	0.48251602	0.84065574	2.269775	-1.8637495	3.9133105	4.0155053	21.63527	-2.2536902	5.5948894e-09	-0.0057323384	1.2207031e-08	-0.018605815	0.33827573	-0.048607558	21.043592	-2.836216	0.51900476	0.0	0.0058052894	0.009673201	0.017966667	0.0059752297	-0.0023047992	0.031258587	0.774688	0.51900476	1.0	0.0	0.0	1.8266425	0.008878393	450000	1585.4344058036804
15	2.907048	2.7699163	8.771899	-2.46983	13.49	14.729898	60.0	0.0	300.0	26664.0	0.05555	0.73746324	0.85701865	2.3947191	-1.792413	3.797258	3.7547598	21.737053	-1.7761084	-1.0172526e-09	-0.0056300997	-2.0345052e-08	-0.012083669	0.35546568	-0.053547084	18.083805	-2.603136	0.46831325	0.0	0.0044012778	0.013935367	0.011633333	0.0050873314	-0.00391274	0.022315353	0.56199205	0.46831325	1.0	0.0	0.0	1.8238765	0.008518269	480000	1690.2677392959595
16	2.6219833	2.7805429	10.138338	-2.7264235	15.9	16.689219	68.0	0.0	300.0	28254.0	0.0554	0.6197766	0.8365759	2.3605716	-1.7374849	3.4453375	3.4324405	20.075792	-2.4209244	2.0345052e-09	-0.00072592165	-8.138021e-09	-0.020220712	0.37463042	-0.04360178	22.496075	-3.478693	1.4439507	0.0	0.0070621367	0.0032922246	0.019666666	0.00798526	-0.00462276	0.023149565	1.4646145	1.4439507	1.0	0.0	0.0	1.8143308	0.008970337	510000	1791.912966966629
