Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	2.0345052e-09	-0.0014805216	-4.8828124e-08	-0.02363514	0.41809905	-0.27705646	120.26528	-64.57302	0.79983103	0.0	0.0055632372	-0.124159425	0.06713333	0.005628875	0.0014324988	0.031263195	0.0	0.79983103	0.0	0.0	0.0	1.837877	0.0067014126	30000	92.3682234287262
1	-0.17760658	1.3406327	4.087568	-2.5679722	21.97	22.40645	92.0	0.0	300.0	4961.0	0.08268333333333333	0.25533593	0.20053777	0.9287599	-0.43010235	5.559123	4.0078363	14.66731	-3.1995554	1.4241537e-08	0.003320183	0.0	-0.024157332	0.16975796	-0.045903258	39.050888	-2.831398	0.79026747	0.0	0.009621282	-0.052646194	0.04823333	0.010231763	-0.004421574	0.032024447	0.0	0.79026747	0.0	0.0	0.0	1.8171378	0.0077761686	60000	192.9401707649231
2	-0.40754807	1.2814618	5.78983	-2.7363892	15.36	23.160536	113.0	0.0	300.0	6497.0	0.07218888888888889	0.055835236	0.25563994	1.097699	-0.6038657	4.569343	4.481807	15.851667	-3.7348225	2.0345052e-09	0.0031415506	-8.138021e-09	-0.025156602	0.14255966	-0.01882635	33.103653	-3.9430504	0.79392284	0.0	0.008738451	-0.0016336231	0.026199998	0.009260711	-0.004070803	0.031730235	0.0	0.79392284	0.0	0.0	0.0	1.8139148	0.0071614916	90000	298.9382040500641
3	-0.30352628	1.610992	4.2597523	-3.3121786	18.93	24.116905	108.0	0.0	300.0	8390.0	0.06991666666666667	-0.048115198	0.24817674	0.9284041	-0.6396415	5.200408	5.0344152	19.226067	-1.880451	2.0345052e-09	0.004101685	2.2379558e-08	-0.022270782	0.15370819	-0.02735807	36.140125	-2.009678	0.882633	0.0	0.006958889	-0.03654321	0.0381	0.0076151392	-0.0041045872	0.025672581	0.0	0.882633	0.0	0.0	0.0	1.8161578	0.0073127015	120000	405.7466173171997
4	-0.98298484	1.5282122	3.5057607	-4.014434	14.31	18.560009	104.0	0.0	300.0	9821.0	0.06547333333333333	-0.15418151	0.31544998	1.1816878	-0.8613601	3.2698846	4.319145	20.80147	-2.028095	-1.8310548e-08	0.0011557942	-3.2552084e-08	-0.017217115	0.19250199	-0.038257852	21.750471	-2.9470005	0.95323783	0.0	0.010057143	-0.0034112453	0.0227	0.010217772	-0.0018802931	0.022010366	0.0	0.95323783	0.0	0.0	1.0	1.8070873	0.0061227316	150000	512.70818567276
5	-0.9497544	1.7301248	3.5378358	-3.8805943	10.16	15.547168	87.0	0.0	300.0	10837.0	0.060205555555555554	-0.30850178	0.32548428	0.9436697	-1.270848	1.9845321	3.6530666	21.198933	-1.7471186	4.0690105e-09	-0.011056626	-2.0345052e-08	-0.0072683725	0.18543816	-0.031070992	15.913433	-1.7184496	0.43057248	0.0	0.009052536	0.015535168	0.008866666	0.009090092	-0.0008131984	0.017608225	0.7633561	0.43057248	1.0	0.0	0.0	1.8161561	0.0076009105	180000	619.9399120807648
6	-0.33290586	1.9516826	5.2002077	-3.6604931	12.59	18.52031	93.0	0.0	300.0	12096.0	0.0576	-0.33164093	0.4036629	1.4607643	-1.3067105	2.3997867	3.9008462	25.311255	-1.1198952	2.0345052e-09	-0.008220664	2.4414062e-08	-0.018236276	0.19016749	-0.045156777	20.928988	-1.1678658	0.6928411	0.0	0.009632383	0.010346032	0.016966667	0.010249156	-0.0042885076	0.029818596	0.96489483	0.6928411	1.0	0.0	0.0	1.8062766	0.00935238	210000	726.8501045703888
7	0.026329068	2.1921387	6.058095	-4.1671596	10.17	15.577584	70.0	0.0	300.0	13113.0	0.0546375	-0.14352731	0.55940664	2.300715	-1.3079867	2.6894026	3.9122732	24.297266	-1.047691	-1.2207031e-08	-0.009863567	2.0345052e-09	-0.009233453	0.21644059	-0.034777865	16.135975	-2.7326937	0.3574493	0.0	0.007573403	0.017298058	0.008900001	0.008292071	-0.0045900354	0.029315958	0.66167825	0.3574493	1.0	0.0	0.0	1.7991691	0.008433984	240000	835.5515303611755
8	0.7442924	2.262458	7.0310526	-3.0941226	13.68	16.879503	60.0	0.0	300.0	14481.0	0.05363333333333333	-0.004234385	0.5393485	1.6823914	-1.2695258	2.3529139	3.3074267	21.310255	-0.8357478	0.0	0.0020913065	-3.86556e-08	-0.01971837	0.31834504	-0.0798839	20.30017	-2.0288544	1.0225608	0.0	0.008216103	-0.0021862066	0.0206	0.008467503	-0.0021928484	0.019127201	0.0	1.0225608	0.0	0.0	0.0	1.7961895	0.00922217	270000	948.2647292613983
9	0.72098786	2.4047897	10.965934	-4.022365	11.3	15.716551	77.0	0.0	300.0	15611.0	0.05203666666666667	0.21948133	0.60153294	1.9270365	-1.3208003	2.999598	3.649882	21.395153	-1.0933459	0.0	-0.0056516337	0.0	-0.012761466	0.32578143	-0.042003185	14.152599	-1.3275614	0.8127678	0.0	0.007475979	0.011306607	0.012666667	0.008673161	-0.0047005406	0.018455908	0.8131448	0.8127678	1.0	0.0	0.0	1.8099513	0.009895766	300000	1060.8801636695862
10	0.58574396	2.4684649	6.7411427	-3.49579	14.95	15.308412	60.0	0.0	300.0	17106.0	0.05183636363636364	0.1653705	0.64438903	1.9697658	-1.7260318	2.6275291	3.366435	23.367205	-0.999683	2.0345052e-09	0.0051695895	2.2379558e-08	-0.022136811	0.25719628	-0.046767563	18.823559	-2.3624744	0.85816664	0.0	0.0071882783	-0.0027082365	0.024833333	0.008490827	-0.00594758	0.027157301	0.0	0.85816664	0.0	0.0	0.0	1.8004575	0.007859453	330000	1172.919335603714
11	0.6467723	2.703523	7.2973585	-3.469143	9.98	14.113099	61.0	0.0	300.0	18104.0	0.05028888888888889	0.23188326	0.64820546	2.3398795	-1.6757555	2.8133724	3.527042	20.998112	-1.4171331	1.0172526e-09	-0.008376176	-1.3224284e-08	-0.008725471	0.33307013	-0.06148082	14.20274	-1.91823	0.52648026	0.0	0.006578682	0.016365828	0.008266665	0.0077329385	-0.0046588504	0.018804211	0.63401634	0.52648026	1.0	0.0	0.0	1.792911	0.009758583	360000	1284.5288553237915
12	0.8203349	2.8772194	10.133949	-3.4651802	12.37	15.074916	52.0	0.0	300.0	19341.0	0.04959230769230769	0.10383629	0.70371383	2.4324932	-1.9656487	2.6763291	3.3206253	17.86428	-1.4981552	1.4750163e-08	-0.0014703603	-2.0345052e-08	-0.015579049	0.31119883	-0.042273134	13.684714	-1.4530039	0.9873632	0.0	0.0059822965	0.0076018544	0.016233332	0.0080228085	-0.006585654	0.02125488	0.8871033	0.9873632	1.0	0.0	0.0	1.8049078	0.0073319585	390000	1396.456651687622
13	0.6593212	2.7509735	8.708367	-3.4217906	9.71	14.768409	82.0	0.0	300.0	20312.0	0.04836190476190476	0.118034214	0.6956032	2.3461223	-1.7724512	2.2054589	3.3854373	20.46775	-1.5317767	8.138021e-09	-0.009696973	6.1035155e-09	-0.008626919	0.2662504	-0.040382728	12.496634	-1.2756357	0.33953032	0.0	0.005874747	0.017229555	0.0073666666	0.00615648	-0.002349174	0.019588107	0.58392566	0.33953032	1.0	0.0	0.0	1.794991	0.009018578	420000	1498.932134628296
14	1.4706389	2.8846333	7.528281	-3.9132307	14.08	18.056953	74.0	0.0	300.0	21720.0	0.048266666666666666	0.21955873	0.790562	2.2577527	-2.1250207	2.7863727	3.387504	19.689173	-2.434814	3.0517577e-09	0.0009940848	2.4414062e-08	-0.019399531	0.3201276	-0.062734395	25.229067	-2.880455	1.247573	0.0	0.006409863	0.0033668554	0.021933334	0.0075808205	-0.0058195316	0.028922439	1.3797872	1.247573	1.0	0.0	1.0	1.7950252	0.009350806	450000	1600.2324397563934
15	1.9713038	2.8152764	8.905046	-3.2257004	11.55	13.104484	54.0	0.0	300.0	22875.0	0.04765625	0.4427907	0.80161315	2.6684752	-1.8868345	3.3840342	3.6439965	20.430677	-1.5676584	2.0345052e-09	-0.0057584937	-1.6276042e-08	-0.015028595	0.36785468	-0.04810399	15.372357	-3.0346508	0.5293359	0.0	0.0053286594	0.012957588	0.0135	0.006310754	-0.005041383	0.025878921	0.6412788	0.5293359	1.0	0.0	0.0	1.789555	0.008206192	480000	1701.4766235351562
16	2.1300955	2.9591331	8.667815	-3.0843563	13.21	14.247313	63.0	0.0	300.0	24196.0	0.047443137254901964	0.44496498	0.8369445	2.5987902	-1.9506116	3.180895	3.276091	17.723688	-1.8701453	0.0	-0.0010477173	-4.0690105e-09	-0.017987192	0.46017677	-0.064532965	16.614187	-2.285552	1.4059116	0.0	0.0076176682	0.0039152396	0.019033333	0.0087796105	-0.005115638	0.022522423	1.394864	1.4059116	1.0	0.0	0.0	1.7916474	0.009346238	510000	1802.701182603836
17	1.4290777	3.1256027	8.810718	-4.1503363	11.76	16.54093	90.0	0.0	300.0	25372.0	0.046985185185185185	0.47909528	0.87925583	2.6217139	-1.9898512	2.7442575	3.2826076	18.151392	-2.6141958	-1.6784668e-08	-0.005670837	-2.0345052e-09	-0.0145166665	0.3956327	-0.051359594	17.54574	-3.2810926	0.68221474	0.0	0.006940344	0.011236297	0.014200001	0.007834864	-0.0045366953	0.023008542	0.785921	0.68221474	1.0	0.0	0.0	1.7876024	0.008584094	540000	1903.9297037124634
18	2.1146843	2.7450414	8.591034	-3.8599603	10.56	12.834579	73.0	0.0	300.0	26428.0	0.046364912280701755	0.4772059	0.90237296	2.7311988	-1.9083527	3.3188133	3.6967177	20.300047	-2.8197632	-1.2715658e-08	-0.00778492	2.8483074e-08	-0.009708281	0.48146567	-0.08787021	15.417096	-3.8328094	0.39195105	0.0	0.005551018	0.015857905	0.010200001	0.0061289747	-0.0038101133	0.025117729	0.59164804	0.39195105	1.0	0.0	0.0	1.7735155	0.008967527	570000	2005.2162334918976
19	2.1555414	3.0369887	9.992198	-2.8361702	10.14	12.561864	51.0	0.0	300.0	27442.0	0.04573666666666667	0.5362573	0.8129516	2.6815636	-1.9268708	2.4558403	2.7605402	19.645641	-1.7916671	-8.138021e-09	-0.0070583043	0.0	-0.009190483	0.5337319	-0.098790675	12.771831	-2.1847563	0.7124318	0.0	0.006488511	0.015143551	0.008800001	0.008455214	-0.005600061	0.015945813	0.65457386	0.7124318	1.0	0.0	0.0	1.7698276	0.008980234	600000	2109.248143196106
20	3.0136309	3.0395527	9.248474	-3.0682106	11.76	13.358233	65.0	0.0	300.0	28618.0	0.04542539682539683	0.7797888	0.84114134	2.971249	-1.6531736	3.033204	2.877251	17.284891	-1.4956688	5.086263e-09	-0.0025465405	2.6448568e-08	-0.0146479225	0.53742576	-0.089487225	14.37295	-2.2491913	0.7968926	0.0	0.0040183975	0.008786888	0.014200001	0.0052611553	-0.004727358	0.01798252	0.67625254	0.7968926	1.0	0.0	0.0	1.761102	0.009153563	630000	2215.2002193927765
21	3.177195	2.974574	14.269879	-2.6859922	12.36	12.769901	51.0	0.0	300.0	29854.0	0.045233333333333334	0.8318133	0.8430647	3.0850968	-2.02328	3.4615922	3.1735334	16.953375	-1.6980602	-2.6448568e-08	-0.003725295	3.4586588e-08	-0.015468948	0.6718209	-0.09576595	14.527523	-3.1300669	0.8680213	0.0	0.0059672715	0.007417411	0.016199999	0.006579793	-0.0035742968	0.02085739	0.89693654	0.8680213	1.0	0.0	0.0	1.7563398	0.008282366	660000	2317.638967037201
