Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	2.0345052e-09	-0.0014805216	-4.8828124e-08	-0.02363514	0.41809905	-0.27705646	120.26528	-64.57302	0.79983103	0.0	0.0055632372	-0.20462322	0.083799995	0.005628875	0.0014324988	0.031263195	0.0	0.79983103	0.0	0.0	0.0	1.837877	0.0067014126	30000	106.58882355690002
1	-0.17760658	1.3406327	4.087568	-2.5679722	21.97	22.40645	92.0	0.0	300.0	4961.0	0.08268333333333333	0.25533593	0.20053777	0.9287599	-0.43010235	5.559123	4.0078363	14.66731	-3.1995554	1.4241537e-08	0.003320183	0.0	-0.024157332	0.16975796	-0.045903258	39.050888	-2.831398	0.79026747	0.0	0.009621282	-0.11152482	0.064899996	0.010231763	-0.004421574	0.032024447	0.0	0.79026747	0.0	0.0	0.0	1.8171378	0.0077761686	60000	213.39041829109192
2	-0.40754807	1.2814618	5.78983	-2.7363892	15.36	23.160536	113.0	0.0	300.0	6497.0	0.07218888888888889	0.055835236	0.25563994	1.097699	-0.6038657	4.569343	4.481807	15.851667	-3.7348225	2.0345052e-09	0.0031415506	-8.138021e-09	-0.025156602	0.14255966	-0.01882635	33.103653	-3.9430504	0.79392284	0.0	0.008738451	-0.037911676	0.042866666	0.009260711	-0.004070803	0.031730235	0.0	0.79392284	0.0	0.0	0.0	1.8139148	0.0071614916	90000	320.41611409187317
3	-0.30352628	1.610992	4.2597523	-3.3121786	18.93	24.116905	108.0	0.0	300.0	8390.0	0.06991666666666667	-0.048115198	0.24817674	0.9284041	-0.6396415	5.200408	5.0344152	19.226067	-1.880451	2.0345052e-09	0.004101685	2.2379558e-08	-0.022270782	0.15370819	-0.02735807	36.140125	-2.009678	0.882633	0.0	0.006958889	-0.09683235	0.054766666	0.0076151392	-0.0041045872	0.025672581	0.0	0.882633	0.0	0.0	0.0	1.8161578	0.0073127015	120000	427.28138613700867
4	-0.98298484	1.5282122	3.5057607	-4.014434	14.31	18.560009	104.0	0.0	300.0	9821.0	0.06547333333333333	-0.15418151	0.31544998	1.1816878	-0.8613601	3.2698846	4.319145	20.80147	-2.028095	-1.8310548e-08	0.0011557942	-3.2552084e-08	-0.017217115	0.19250199	-0.038257852	21.750471	-2.9470005	0.95323783	0.0	0.010057143	-0.050409306	0.039366666	0.010217772	-0.0018802931	0.022010366	0.0	0.95323783	0.0	0.0	1.0	1.8070873	0.0061227316	150000	534.5704822540283
5	-0.9497544	1.7301248	3.5378358	-3.8805943	10.16	15.547168	87.0	0.0	300.0	10837.0	0.060205555555555554	-0.30850178	0.32548428	0.9436697	-1.270848	1.9845321	3.6530666	21.198933	-1.7471186	4.0690105e-09	0.0012670227	-2.0345052e-08	-0.017222725	0.18543816	-0.031070992	15.913433	-1.7184496	1.0657543	0.0	0.009052536	-0.017025372	0.025533333	0.009090092	-0.0008131984	0.017608225	0.0	1.0657543	0.0	0.0	0.0	1.8161561	0.0068171243	180000	641.1510922908783
6	-1.2635944	1.5861686	3.0803049	-4.198379	10.37	16.766428	77.0	0.0	300.0	11874.0	0.056542857142857145	-0.36618134	0.3636741	1.3071607	-1.3362912	1.8177086	3.6825476	25.55352	-1.1389452	1.1189779e-08	0.0014444784	1.2207031e-08	-0.019885914	0.16181637	-0.027143553	14.7488165	-1.2981977	1.0252193	0.0	0.010035388	-0.016166857	0.026233332	0.010109885	-0.0011905968	0.019028133	0.0	1.0252193	0.0	0.0	0.0	1.8101377	0.007696592	210000	753.6040246486664
7	-1.6045026	1.6945741	3.371507	-4.779812	7.73	13.555703	68.0	0.0	300.0	12647.0	0.05269583333333333	-0.42213657	0.33020827	0.9483112	-1.6708028	1.6287293	3.589656	22.713144	-0.81924194	4.0690105e-09	-0.001812563	1.2207031e-08	-0.017234758	0.18053386	-0.027452216	10.921995	-1.4569569	2.5542927	0.0	0.008511135	0.0015282409	0.017433334	0.00855876	-0.0008852034	0.016453285	2.3599231	2.5542927	1.0	0.0	0.0	1.793185	0.008938182	240000	867.1598827838898
8	-1.6442915	1.3922572	3.0678196	-3.9946995	6.61	11.44281	55.0	0.0	300.0	13308.0	0.04928888888888889	-0.46968696	0.3621498	1.1355913	-1.7898097	0.9366931	2.395714	20.275484	-0.59221536	-6.1035155e-09	-0.0040628253	1.0172526e-09	-0.0114614945	0.14081345	-0.020424232	7.7446365	-0.46360874	1.2586852	0.0	0.009131583	0.007456251	0.0137	0.010032877	-0.0036723162	0.014962832	1.1066563	1.2586852	1.0	0.0	1.0	1.760528	0.008410556	270000	979.7509074211121
9	-1.3146974	1.5349879	2.894367	-4.1219063	7.42	11.330649	52.0	0.0	300.0	14050.0	0.04683333333333333	-0.44758165	0.3729566	1.4163709	-1.7529192	1.2620714	2.7397752	22.462654	-1.135727	1.2207031e-08	-0.0042269346	-6.1035155e-09	-0.016668694	0.1608331	-0.0330804	8.362407	-0.73259926	3.842503	0.0	0.008307035	0.0007328067	0.0164	0.00848531	0.0015775352	0.01395948	3.3668852	3.842503	1.0	0.0	0.0	1.7518853	0.007850531	300000	1092.2262315750122
