Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	15.601009	3.0	102	1205.1288092136383
0	1	15.425276	4.0	204	1263.3784348964691
0	2	12.064514	3.0	306	1321.527142047882
0	3	7.935173	18.0	408	1378.646931886673
0	4	15.668406	10.0	510	1435.5724229812622
0	5	11.375292	8.0	611	1488.803575515747
0	6	16.000103	5.0	714	1547.1870303153992
0	7	14.1926	8.0	816	1604.5690126419067
0	8	16.658073	5.0	918	1659.7138867378235
0	9	20.517252	11.0	1020	1712.610318660736
1	10	14.229074	7.0	1123	2128.0426456928253
1	11	11.645113	13.0	1226	2184.0964181423187
1	12	8.074462	6.0	1326	2239.9586548805237
1	13	16.891376	0.0	1428	2300.0123805999756
1	14	13.363909	5.0	1530	2360.7880012989044
1	15	11.82733	11.0	1632	2419.745595216751
1	16	7.1321015	1.0	1732	2477.0787165164948
1	17	15.820232	4.0	1834	2536.077681541443
1	18	15.086001	0.0	1936	2593.262778043747
1	19	19.430655	0.0	2039	2647.6649601459503
2	20	19.206678	5.0	2141	3043.3403465747833
2	21	19.312454	4.0	2245	3099.2680983543396
2	22	18.612495	5.0	2348	3155.878058195114
2	23	17.937304	0.0	2451	3210.264533519745
2	24	16.941284	2.0	2553	3263.852494955063
2	25	18.191553	0.0	2655	3316.9019327163696
2	26	16.710825	5.0	2759	3372.4246995449066
2	27	16.471079	2.0	2863	3428.0658807754517
2	28	18.202297	6.0	2965	3482.018877506256
2	29	15.910276	1.0	3067	3536.540457010269
3	30	15.6661215	0.0	3169	3928.8649775981903
3	31	17.469889	7.0	3271	3983.784285068512
3	32	11.901859	11.0	3373	4040.241758108139
3	33	18.221088	2.0	3475	4096.462401390076
3	34	18.503517	5.0	3578	4151.394678354263
3	35	15.187506	8.0	3679	4205.624446630478
3	36	17.553001	4.0	3779	4258.971096754074
3	37	13.785706	5.0	3882	4314.241230726242
3	38	17.967665	3.0	3984	4368.309981107712
3	39	18.005585	5.0	4086	4422.947356462479
4	40	16.312164	7.0	4189	4820.276799201965
4	41	17.654175	0.0	4291	4874.550865888596
4	42	16.448057	0.0	4393	4931.460010766983
4	43	16.48038	19.0	4496	4991.32605099678
4	44	16.738466	4.0	4599	5050.723340034485
4	45	15.803708	1.0	4702	5110.033617258072
4	46	17.756975	6.0	4805	5167.951259851456
4	47	17.75314	7.0	4908	5226.989146947861
4	48	13.509428	15.0	5010	5284.367222547531
4	49	14.864553	9.0	5112	5342.564325094223
5	50	17.49309	4.0	5215	5754.537790060043
5	51	14.538138	16.0	5318	5815.06795501709
5	52	18.85296	0.0	5422	5876.45974779129
5	53	14.288275	20.0	5524	5936.282208442688
5	54	18.76256	0.0	5628	5996.914507389069
5	55	17.062502	0.0	5730	6055.483052253723
5	56	18.65117	9.0	5832	6113.854166030884
5	57	16.807636	5.0	5936	6174.127644777298
5	58	17.151386	2.0	6039	6236.7641088962555
5	59	15.108888	8.0	6140	6292.8124413490295
6	60	15.774158	1.0	6243	6914.4948444366455
6	61	17.549185	2.0	6346	6974.972238540649
6	62	17.052984	3.0	6450	7037.472952365875
6	63	18.713215	1.0	6553	7098.837607145309
6	64	17.08113	2.0	6655	7159.12344622612
