Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	-2.339681e-08	-0.013713619	-4.8828124e-08	-0.021730624	0.41809905	-0.27705646	120.26528	-64.57302	1.0	0.0318954	1.4155568	0.0	1.837877	0.0070796856	30000	89.80822396278381
1	0.1505548	1.5062134	5.475109	-2.5980966	25.49	25.244205	104.0	0.0	300.0	5313.0	0.08855	0.2643188	0.20418026	0.96732575	-0.36933237	5.95119	3.9501305	14.657544	-3.1959581	1.3336061e-08	-0.013850294	2.0345052e-08	-0.02362267	0.18278565	-0.03880036	50.235237	-5.967102	1.0318954	0.032289267	1.3968635	0.0	1.8238354	0.0075607677	60000	193.4189145565033
2	0.6386246	1.5793831	7.189717	-2.2459216	21.23	22.614534	88.0	0.0	300.0	7436.0	0.08262222222222222	0.18858252	0.31580287	1.360686	-0.49414164	6.1481285	4.984004	17.287079	-5.1258597	-1.0362311e-08	-0.013192304	-1.6276042e-08	-0.02667985	0.16524218	-0.01920937	37.299374	-4.15242	1.0641847	0.032006383	1.5876305	0.0	1.8263098	0.00911698	90000	316.8280141353607
3	0.9840764	1.79701	4.7322183	-2.7126956	21.38	25.089354	122.0	0.0	300.0	9574.0	0.07978333333333333	0.28793484	0.37254962	1.535908	-0.4154358	7.1808224	4.6174855	18.092129	-2.6017365	-1.0452608e-08	-0.014594355	-1.6276042e-08	-0.02599475	0.19761103	-0.026333287	44.51679	-4.8172646	1.096191	0.03222835	1.3501531	0.0	1.842217	0.007896785	120000	443.09000968933105
4	0.65799767	2.2440355	7.2216926	-2.730858	18.25	21.09283	100.0	0.0	300.0	11399.0	0.07599333333333333	0.26573473	0.49875993	1.8100041	-0.5216352	5.001777	4.3217325	21.161621	-2.037457	-2.4550603e-10	-0.013937429	-4.0690105e-09	-0.024118776	0.24633399	-0.017290786	28.727718	-2.4487972	1.1284194	0.031751394	1.52128	0.0	1.8359497	0.008719204	150000	570.2033407688141
5	0.42804906	2.3801477	7.5922227	-3.2200685	13.51	16.630991	77.0	0.0	300.0	12750.0	0.07083333333333333	0.09890868	0.5539501	1.7785841	-0.80762774	3.3924084	4.45753	23.369223	-1.9054902	6.4235754e-09	-0.012077289	4.0690105e-09	-0.019552466	0.30069804	-0.035056084	20.164108	-2.577032	1.1601708	0.029688954	1.5052092	0.0	1.8470305	0.006896991	180000	696.2434284687042
6	0.1694176	2.1921375	8.351179	-3.2890203	11.37	14.9001045	62.0	0.0	300.0	13887.0	0.06612857142857143	0.037953164	0.58211863	2.0131366	-1.0108362	2.919451	4.0270886	24.70227	-1.541359	-9.669662e-09	-0.011723202	-2.8483074e-08	-0.016625637	0.23668884	-0.022096038	14.82169	-1.4880409	1.1898597	0.027039647	1.7308623	0.0	1.8194629	0.0081516355	210000	823.5890820026398
7	0.5479842	2.1789958	5.5833063	-3.9601142	12.0	15.925451	83.0	0.0	300.0	15087.0	0.0628625	0.06219716	0.5844901	1.9658629	-1.5412534	3.0855083	3.773176	21.835735	-1.2118988	-1.2207031e-08	-0.010601338	-1.2207031e-08	-0.01829059	0.23721933	-0.024238884	17.369688	-1.6265926	1.2168994	0.025223851	1.9542865	0.0	1.8078487	0.007789409	240000	950.5797028541565
8	0.57578635	2.304146	7.655142	-3.8301904	12.47	17.034937	77.0	0.0	300.0	16334.0	0.0604962962962963	0.09216211	0.5560254	1.7830827	-1.5621543	2.4722714	3.5790682	21.405283	-0.88112193	-1.9409063e-08	-0.012088585	-2.8483074e-08	-0.019050965	0.29782376	-0.044356465	18.890982	-1.2785568	1.2421232	0.023983002	1.6781459	0.0	1.7845365	0.007912145	270000	1077.3768479824066
9	0.8642278	2.1188922	5.316157	-2.7778203	14.21	18.015158	91.0	0.0	300.0	17755.0	0.05918333333333333	0.17925729	0.6588047	2.1713884	-1.8190203	3.2302022	4.0808244	20.575695	-2.115027	-9.198654e-09	-0.012323819	-1.525879e-08	-0.0204457	0.27952042	-0.054488167	21.369179	-1.4937401	1.2661062	0.023833275	1.391986	1.0	1.791395	0.0061628805	300000	1204.825189590454
