Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	-2.339681e-08	-0.013713619	-4.8828124e-08	-0.021730624	0.41809905	-0.27705646	120.26528	-64.57302	1.0	0.0318954	1.4155568	0.0	1.837877	0.0070796856	30000	80.32550501823425
1	0.1505548	1.5062134	5.475109	-2.5980966	25.49	25.244205	104.0	0.0	300.0	5313.0	0.08855	0.2643188	0.20418026	0.96732575	-0.36933237	5.95119	3.9501305	14.657544	-3.1959581	1.3336061e-08	-0.013849967	2.0345052e-08	-0.023621406	0.18278565	-0.03880036	50.235237	-5.967102	1.0318954	0.03232062	1.3970904	0.0	1.8238354	0.007566699	60000	165.52980375289917
2	0.6632538	1.6024241	7.1788373	-2.2459133	21.25	22.917843	88.0	0.0	300.0	7438.0	0.08264444444444445	0.18903224	0.31604218	1.3606673	-0.49404973	6.1608396	4.9808064	17.287447	-5.1258607	-2.0977968e-09	-0.01334648	-4.0690105e-09	-0.026692262	0.16998462	-0.021594822	37.67278	-4.4927177	1.064216	0.032220244	1.5745251	0.0	1.8263103	0.009057688	90000	261.3342263698578
3	1.056041	1.9258295	6.625681	-2.8160293	21.93	25.050053	122.0	0.0	300.0	9631.0	0.08025833333333333	0.30776104	0.38800165	1.5929724	-0.4143145	7.1778	4.653788	18.240501	-2.5889814	6.0099286e-09	-0.015441711	4.0690105e-09	-0.027191987	0.21114938	-0.031650916	43.597633	-4.0108185	1.0964363	0.03260863	1.3091738	0.0	1.8400439	0.007960561	120000	366.5440196990967
4	0.63749903	2.203649	7.688452	-2.804911	18.85	22.292768	100.0	0.0	300.0	11516.0	0.07677333333333333	0.28976393	0.52052194	1.8772433	-0.5732384	5.1940656	4.3799515	20.95743	-2.0953622	1.296238e-08	-0.013491817	3.2552084e-08	-0.022972314	0.22279733	-0.014812976	31.061516	-1.7504807	1.1290449	0.032479644	1.5409944	0.0	1.8324485	0.008455026	150000	472.8876965045929
5	0.65892863	2.5195453	6.7721334	-3.286019	13.18	15.415824	69.0	0.0	300.0	12834.0	0.0713	0.15324691	0.5851971	1.9239179	-0.8195751	3.746562	4.5953074	23.424614	-2.294452	1.2648609e-08	-0.011460392	2.4414062e-08	-0.020604903	0.29402	-0.036020547	20.137642	-2.765913	1.1615245	0.030905008	1.6198943	0.0	1.8391731	0.007648639	180000	579.8530206680298
6	0.10517978	2.3292556	8.089927	-3.4051387	10.98	15.41232	76.0	0.0	300.0	13932.0	0.06634285714285715	0.057024904	0.6061565	2.1583035	-1.0318917	2.6012433	3.9240394	24.949413	-1.536553	8.7454477e-10	-0.011377566	2.0345052e-09	-0.01584499	0.2545044	-0.033155143	14.900707	-0.980155	1.1924295	0.028932571	1.7466491	0.0	1.8277917	0.007901263	210000	687.0235216617584
7	0.31552178	2.5680716	8.278813	-4.0756803	10.78	16.057758	84.0	0.0	300.0	15010.0	0.06254166666666666	-0.0074430797	0.6384021	2.3590205	-1.6090701	2.439575	3.586691	23.15148	-1.0248392	8.746246e-09	-0.010217365	1.4241537e-08	-0.017133368	0.28679952	-0.02863872	18.24531	-2.779729	1.2213621	0.027297974	2.0339494	0.0	1.820039	0.0078124413	240000	794.2107057571411
8	0.17162345	2.1612823	5.0039735	-3.6022756	10.95	14.478518	70.0	0.0	300.0	16105.0	0.05964814814814815	0.028082456	0.6069302	2.1366456	-1.7122104	2.1253846	3.5399806	22.2229	-0.9511194	8.134384e-09	-0.011744481	1.4241537e-08	-0.016347688	0.25743732	-0.04093294	14.883889	-1.850254	1.2486601	0.026050925	1.7552885	0.0	1.8266976	0.007731962	270000	900.8425445556641
9	0.88587403	2.3939395	6.465996	-2.7903383	9.7	12.789449	61.0	0.0	300.0	17075.0	0.056916666666666664	0.1106786	0.6549355	2.021451	-1.7441268	2.3266582	3.2248812	21.316212	-1.0559521	-1.7888031e-09	-0.010257093	0.0	-0.017823031	0.32452148	-0.06657788	12.862725	-1.3414774	1.274711	0.02449882	2.024676	0.0	1.8207458	0.009991821	300000	1012.7612962722778
10	0.49865094	2.7712743	9.172036	-3.6837623	12.73	13.498781	54.0	0.0	300.0	18348.0	0.0556	0.13886836	0.6278602	2.1037023	-1.9388509	2.2783823	3.2102697	19.324736	-2.5580642	-8.848715e-10	-0.012019747	0.0	-0.020707259	0.30940306	-0.052822888	15.37409	-1.4098434	1.2992098	0.024443865	1.64061	0.0	1.8247254	0.008319737	330000	1125.7985219955444
11	0.6687374	2.7932255	10.085783	-3.730092	8.62	13.6578045	63.0	0.0	300.0	19210.0	0.05336111111111111	0.12176064	0.69240695	2.1441817	-2.183138	2.3423624	3.3055632	22.285273	-2.3154943	6.5667227e-09	-0.010097382	0.0	-0.015722118	0.36610574	-0.081949025	13.067975	-2.2564669	1.3236537	0.022698998	1.9364074	0.0	1.8058857	0.008534345	360000	1237.477299451828
12	0.61318296	2.7859519	9.329763	-3.5745704	9.28	12.482852	70.0	0.0	300.0	20138.0	0.051635897435897436	0.059328426	0.7365417	2.4211469	-2.3365712	1.859623	2.9757328	18.868635	-2.2501116	-8.154955e-09	-0.009461645	-1.1189779e-08	-0.016487297	0.29124603	-0.05572276	10.381576	-0.9585142	1.3463527	0.021466851	2.0403237	0.0	1.7947725	0.00825078	390000	1349.5950305461884
13	0.20063743	2.4559295	8.064754	-3.7257876	7.14	11.823722	50.0	0.0	300.0	20852.0	0.049647619047619045	0.12061299	0.749782	2.5594387	-2.2216074	1.7811267	2.4814327	14.885863	-1.5329258	2.9826317e-09	-0.008739196	8.138021e-09	-0.013499272	0.2853546	-0.06260735	9.009069	-1.1371503	1.3678195	0.019351125	2.1496654	0.0	1.7911184	0.009225519	420000	1461.5135753154755
14	0.7298532	2.6556592	7.948492	-3.6343207	9.36	12.047008	52.0	0.0	300.0	21788.0	0.048417777777777775	0.08245409	0.72674733	2.4501584	-2.5465987	1.7747823	2.7873383	18.241634	-1.9148551	-1.3458095e-08	-0.010433231	-1.7293294e-08	-0.016627057	0.31084025	-0.05967459	10.066459	-1.1813784	1.3871707	0.018527508	1.7925614	0.0	1.7832792	0.00759638	450000	1568.7425532341003
15	1.1540891	2.7251215	11.03106	-2.939631	8.76	10.175579	37.0	0.0	300.0	22664.0	0.047216666666666664	0.24576297	0.7883575	2.3876288	-2.5502348	2.161912	2.8966997	19.678923	-2.015473	3.4347332e-09	-0.0111766895	4.0690105e-09	-0.015810125	0.40954447	-0.08303842	8.582463	-1.1824775	1.4056982	0.017514706	1.8587596	0.0	1.7783031	0.008251901	480000	1670.0569729804993
16	0.83506876	2.8614292	9.793678	-3.373438	8.39	9.880177	38.0	0.0	300.0	23503.0	0.0460843137254902	0.15315756	0.7498911	2.5807483	-2.5589788	2.007311	2.6781063	16.44928	-2.2676458	-1.2593848e-09	-0.007962899	0.0	-0.012349235	0.36769736	-0.08199	8.534522	-0.9255886	1.4232129	0.016427279	2.1854224	0.0	1.7696917	0.007637623	510000	1771.5205075740814
17	0.5952946	2.6649678	8.655478	-4.289312	7.65	10.340575	48.0	0.0	300.0	24268.0	0.04494074074074074	0.11612478	0.81458	2.7240353	-2.4900591	1.61335	2.4743676	19.86001	-1.8307157	5.952507e-09	-0.010163853	1.2207031e-08	-0.014021602	0.2824613	-0.057699144	8.274529	-1.0893803	1.4396402	0.015069246	1.8775641	0.0	1.7537947	0.008033384	540000	1872.639844417572
18	0.8852098	2.634046	10.4467	-2.9365404	6.52	8.690777	36.0	0.0	300.0	24920.0	0.04371929824561403	0.119476736	0.70988506	2.5761926	-2.8373392	1.7149844	2.4660423	17.224836	-1.7195094	5.651569e-09	-0.0076804073	8.138021e-09	-0.01346657	0.3683641	-0.0691714	7.2837634	-1.1438322	1.4547094	0.013234854	2.1999018	1.0	1.7543448	0.007267164	570000	1973.8239896297455
19	0.67978597	2.972296	13.396214	-3.4885607	4.04	6.5907817	30.0	0.0	300.0	25324.0	0.04220666666666667	0.16945635	0.76298285	2.8285673	-2.4063168	1.1695795	1.80628	12.250501	-1.7216144	1.4901894e-09	-0.008935771	1.2207031e-08	-0.0118906265	0.41822162	-0.10701305	4.2019157	-0.8969486	1.4679443	0.010189176	2.2049644	0.0	1.7442193	0.008250625	600000	2075.1291332244873
20	1.3196695	3.1456146	11.73763	-3.4182396	5.82	8.215084	52.0	0.0	300.0	25906.0	0.04112063492063492	0.261488	0.8259168	2.6463892	-2.7241611	1.1186541	1.4829147	10.346961	-1.1829191	-2.4988527e-09	-0.008499981	4.0690105e-09	-0.011649584	0.47277302	-0.09829077	5.878741	-0.95611525	1.4781334	0.008384109	2.2827568	0.0	1.7403123	0.008796464	630000	2177.0844066143036
21	1.2024605	2.81391	9.593099	-3.9463117	7.65	10.513206	52.0	0.0	300.0	26671.0	0.040410606060606064	0.25939727	0.8144985	2.7850573	-2.5160098	1.2895377	1.7074031	12.702882	-0.8021912	1.8244359e-08	-0.007886024	3.051758e-08	-0.010929775	0.38803568	-0.0683935	8.545671	-1.5969849	1.4865175	0.00773108	2.292463	0.0	1.7214195	0.008432441	660000	2282.7763743400574
22	1.2336488	3.211388	11.856858	-3.4600592	7.32	9.528777	49.0	0.0	300.0	27403.0	0.03971449275362319	0.23634437	0.7989329	2.705673	-2.6047957	1.5536389	2.3522952	18.547325	-1.7411299	-4.1253057e-10	-0.009360304	2.0345052e-09	-0.014615346	0.5445575	-0.10374689	7.3274407	-1.068326	1.4942486	0.00695467	2.0381	0.0	1.7158182	0.008126229	690000	2386.9518237113953
