Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	-2.339681e-08	-0.013713619	-4.8828124e-08	-0.021730624	0.41809905	-0.27705646	120.26528	-64.57302	1.0	0.0318954	1.4155568	0.0	1.837877	0.0070796856	30000	97.19972467422485
1	0.1505548	1.5062134	5.475109	-2.5980966	25.49	25.244205	104.0	0.0	300.0	5313.0	0.08855	0.2643188	0.20418026	0.96732575	-0.36933237	5.95119	3.9501305	14.657544	-3.1959581	1.3336061e-08	-0.013874767	2.0345052e-08	-0.023653813	0.18278565	-0.03880036	50.235237	-5.967102	1.0318954	0.03234303	1.4016724	0.0	1.8238354	0.0075780842	60000	202.64261293411255
2	0.6628116	1.673011	8.420077	-2.281762	21.09	22.926445	89.0	0.0	300.0	7422.0	0.08246666666666666	0.19002008	0.3177957	1.3727605	-0.4829641	6.154543	4.990541	17.326591	-5.11143	-6.1668284e-09	-0.012977581	-8.138021e-09	-0.025918245	0.1820262	-0.020268813	37.904305	-4.531597	1.0642384	0.03233552	1.5981715	0.0	1.8263189	0.008567767	90000	309.0934708118439
3	1.0707619	1.920474	6.506685	-2.8423119	22.32	24.834606	132.0	0.0	300.0	9654.0	0.08045	0.3174836	0.38978976	1.5467455	-0.39685705	7.2021165	4.621422	18.26384	-2.6444895	-1.2581891e-08	-0.014505471	-2.0345052e-08	-0.025623633	0.1958636	-0.027956873	43.32547	-2.9950943	1.096574	0.032815814	1.3545612	0.0	1.8390181	0.008107415	120000	415.9691834449768
4	0.6228786	2.253225	9.327183	-3.230165	19.68	21.910217	89.0	0.0	300.0	11622.0	0.07748	0.28412223	0.4977294	1.864283	-0.5384292	5.3541064	4.4495025	21.49701	-2.1793165	2.0625855e-08	-0.013139674	4.0690104e-08	-0.022495663	0.23469904	-0.01752001	30.383408	-2.7647572	1.1293898	0.0329504	1.59295	0.0	1.8271942	0.009389402	150000	523.0369908809662
5	0.41739082	2.5187223	8.23583	-3.3999827	12.13	14.609349	58.0	0.0	300.0	12835.0	0.07130555555555555	0.1376771	0.5821743	2.0179164	-0.778652	3.5586576	4.7209187	23.887604	-2.0944004	2.1690243e-10	-0.009893238	9.155274e-09	-0.01656261	0.30229148	-0.036499977	20.053213	-3.8302631	1.1623402	0.031475663	1.7906085	0.0	1.8293734	0.0067454316	180000	630.2183554172516
6	-0.043366566	2.01567	6.2298136	-3.41937	11.57	14.346606	71.0	0.0	300.0	13992.0	0.06662857142857143	-0.029797941	0.58623874	2.171236	-1.1145501	2.549945	3.9293387	20.156363	-1.5228194	-8.544362e-09	-0.011642708	-2.8483074e-08	-0.015789883	0.22039044	-0.029012442	13.759881	-0.72056293	1.1938158	0.030277729	1.7234399	0.0	1.8106697	0.008070887	210000	736.8908326625824
7	0.59321177	2.5990682	7.6111608	-4.180606	11.95	16.41973	71.0	0.0	300.0	15187.0	0.06327916666666666	-0.0059758932	0.5437011	1.8315448	-1.3152562	2.8854792	3.831016	21.701788	-0.90982354	-3.958812e-09	-0.012621101	6.1035155e-09	-0.021180432	0.32168874	-0.039150298	20.066534	-1.16078	1.2240936	0.029522061	1.6171255	0.0	1.7825358	0.008196841	240000	848.9472088813782
8	0.35161895	2.2468963	7.4358582	-3.4911058	12.54	17.452461	71.0	0.0	300.0	16441.0	0.060892592592592595	0.064309105	0.5826073	2.0504513	-1.3390051	2.4770439	3.4838655	21.12951	-0.981684	-9.727668e-09	-0.010843988	-1.4241537e-08	-0.015092648	0.2666846	-0.040135846	17.281796	-1.377286	1.2536156	0.029158115	1.9359407	0.0	1.7748001	0.009209317	270000	962.6333117485046
9	1.1746849	2.4958277	7.7317815	-2.698361	11.95	14.651536	71.0	0.0	300.0	17636.0	0.05878666666666667	0.15330637	0.6779569	2.1776335	-1.8805332	2.8818746	3.853252	21.139704	-1.7275733	-1.840904e-09	-0.0113933	-4.0690105e-09	-0.019252624	0.37332898	-0.07263687	15.900471	-1.7954378	1.2827737	0.02876079	1.8387411	0.0	1.7778172	0.008828725	300000	1075.2598221302032
10	0.57531613	2.6199307	8.860155	-4.0111446	12.73	14.612224	57.0	0.0	300.0	18909.0	0.0573	0.22155619	0.7063085	2.3360043	-1.907439	2.6901	3.48739	23.528923	-1.9038323	1.5497411e-08	-0.011303362	3.6621095e-08	-0.021060433	0.29753548	-0.048474014	16.317848	-1.563014	1.3115345	0.028718472	1.716708	0.0	1.7681341	0.009278967	330000	1187.252387046814
11	0.575036	2.844307	8.662901	-3.6902153	8.43	11.342182	43.0	0.0	300.0	19752.0	0.05486666666666667	0.10271796	0.70403874	2.0812624	-2.1374698	2.10501	3.1047626	19.378813	-2.1198795	3.477411e-09	-0.00916475	0.0	-0.014379071	0.3351367	-0.064706594	9.957512	-1.3381166	1.340253	0.027370095	2.170209	0.0	1.7670255	0.008439339	360000	1299.0506558418274
12	0.37074718	2.8153183	8.972857	-3.639511	8.09	10.872989	50.0	0.0	300.0	20561.0	0.05272051282051282	0.045742717	0.79135007	2.574638	-2.5001936	1.7659382	2.747646	15.505988	-2.7106495	-1.8398943e-08	-0.0073132967	-2.4414062e-08	-0.011503601	0.31849247	-0.058025926	8.944386	-1.1716208	1.3676231	0.026083231	2.2621515	1.0	1.7638516	0.0068961605	390000	1406.2173509597778
