Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	-2.339681e-08	-0.013713619	-4.8828124e-08	-0.021730624	0.41809905	-0.27705646	120.26528	-64.57302	1.0	0.0318954	1.4155568	0.0	1.837877	0.0070796856	30000	104.51241779327393
1	0.1505548	1.5062134	5.475109	-2.5980966	25.49	25.244205	104.0	0.0	300.0	5313.0	0.08855	0.2643188	0.20418026	0.96732575	-0.36933237	5.95119	3.9501305	14.657544	-3.1959581	1.3336061e-08	-0.01385382	2.0345052e-08	-0.023628857	0.18278565	-0.03880036	50.235237	-5.967102	1.0318954	0.03235984	1.3966731	0.0	1.8238354	0.007546641	60000	210.03202939033508
2	0.61784977	1.5395508	7.170382	-2.2489035	20.99	22.892574	89.0	0.0	300.0	7412.0	0.08235555555555556	0.18637279	0.31522515	1.3615814	-0.49232358	6.1962504	4.9995604	17.287273	-5.1270895	7.8847044e-09	-0.012915472	0.0	-0.025909489	0.15836667	-0.016219988	37.679317	-4.3904877	1.0642552	0.032429338	1.6097926	0.0	1.8263094	0.008727728	90000	317.03224444389343
3	0.96907127	1.7944143	6.0539775	-2.7147806	20.69	22.467173	108.0	0.0	300.0	9481.0	0.07900833333333333	0.27946553	0.36909035	1.4780314	-0.40228656	7.09083	4.61199	18.162092	-2.6295545	1.2769935e-08	-0.014460294	2.4414062e-08	-0.026484167	0.19152659	-0.028001398	38.396194	-4.3667755	1.0966846	0.032734632	1.3674065	0.0	1.837853	0.008202986	120000	423.88938331604004
4	0.42378727	1.9711329	5.573639	-2.955845	20.06	23.545198	123.0	0.0	300.0	11487.0	0.07658	0.23019733	0.46713907	1.7422254	-0.5501178	4.7829466	4.212053	20.287575	-1.9270961	-1.1268492e-08	-0.013611128	-2.0345052e-08	-0.023009526	0.22485697	-0.02046518	35.515305	-3.6565037	1.1294192	0.033066392	1.560263	0.0	1.8364866	0.008686576	150000	531.1610155105591
5	0.56358683	2.4061882	6.162999	-3.348389	13.46	16.789532	66.0	0.0	300.0	12833.0	0.07129444444444444	0.11336258	0.5459644	1.7352892	-0.81439734	3.8306003	4.6455727	24.881615	-1.926599	4.8220994e-10	-0.010812707	-6.1035155e-09	-0.017079141	0.2871844	-0.03826581	21.291483	-2.4807358	1.1624856	0.032316685	1.6716669	0.0	1.8399193	0.008578888	180000	637.9115717411041
6	0.19680104	2.266105	6.689866	-3.3130872	11.27	14.524362	64.0	0.0	300.0	13960.0	0.06647619047619048	0.027449535	0.597029	1.8959668	-1.0831225	2.7294934	3.9088936	24.809523	-1.6808269	-4.4301602e-09	-0.012232512	-8.138021e-09	-0.017626693	0.23931044	-0.020494178	14.97929	-1.1454544	1.1948023	0.031368732	1.6958054	0.0	1.8164032	0.0077494346	210000	748.158344745636
7	0.38158852	2.4786682	5.550325	-3.9668834	12.43	17.783844	81.0	0.0	300.0	15203.0	0.06334583333333334	0.014353524	0.5808767	1.826761	-1.5253916	2.7064018	3.41174	22.794209	-1.2022833	-1.0792621e-08	-0.0109542785	-1.6276042e-08	-0.019476574	0.27099517	-0.023468047	19.937302	-3.1833363	1.226171	0.030992508	1.7995919	0.0	1.7933532	0.0075914385	240000	861.4833831787109
8	0.07636085	2.1423423	5.7637844	-3.220987	12.47	18.714409	100.0	0.0	300.0	16450.0	0.060925925925925925	0.06336159	0.59820706	1.8325317	-1.3006561	2.6050322	3.971795	22.112299	-1.2536366	-2.948774e-09	-0.012126009	-6.1035155e-09	-0.019589124	0.25099084	-0.037022725	18.518103	-2.2724571	1.2571635	0.030791044	1.7174817	0.0	1.7990264	0.009198225	270000	973.7352969646454
9	0.29717985	2.0537412	6.5625987	-3.0872319	9.31	12.404591	51.0	0.0	300.0	17381.0	0.057936666666666664	0.033130016	0.5540163	1.6403785	-1.6016623	2.6927617	4.0067635	24.43911	-1.9983515	2.802674e-09	-0.013238777	8.138021e-09	-0.020360244	0.2475913	-0.044927925	13.761123	-3.2677937	1.2879546	0.029919028	1.6203424	0.0	1.7997286	0.0091287885	300000	1085.7717287540436
10	0.11201862	2.3206327	5.527079	-4.0517406	12.64	13.902891	58.0	0.0	300.0	18645.0	0.0565	-0.037833665	0.5439063	1.6213592	-1.7883685	2.2288287	3.1100922	21.515982	-1.9926711	-4.984491e-10	-0.008686124	-2.0345052e-09	-0.014771894	0.22793892	-0.035249665	16.18262	-1.5902662	1.3178736	0.030066133	1.8318254	1.0	1.7966406	0.006037385	330000	1198.1285071372986
11	0.6086011	2.8812025	11.229938	-3.7512152	9.01	12.640801	57.0	0.0	300.0	19546.0	0.054294444444444444	0.026295774	0.6526035	2.1449673	-1.8878696	2.0618196	2.8990636	21.09815	-1.626567	1.7330132e-09	-0.010569975	0.0	-0.01687495	0.3525447	-0.0807392	11.867133	-1.3119459	1.3479397	0.029343367	1.9342661	0.0	1.7925186	0.008865029	360000	1308.356498003006
12	0.2639971	2.8298175	8.723933	-3.611485	8.79	12.830663	60.0	0.0	300.0	20425.0	0.05237179487179487	0.015335569	0.7329083	2.4368515	-2.4393685	1.9939716	3.1038182	17.806122	-2.0894105	-3.2131993e-09	-0.010447021	-4.0690105e-09	-0.01650702	0.3147726	-0.06836274	9.705392	-1.3800745	1.3772831	0.028694868	2.0396917	0.0	1.7973773	0.009691194	390000	1409.6669883728027
13	0.083463535	2.6809304	7.9975066	-3.3853855	7.99	12.324363	51.0	0.0	300.0	21224.0	0.05053333333333333	-0.0008745199	0.7800082	2.7796853	-2.4886987	1.4597127	2.7215207	20.560854	-2.0016496	6.865933e-10	-0.008689306	4.0690105e-09	-0.013441174	0.29793832	-0.060699567	11.034864	-1.3757133	1.405978	0.027932405	1.8251344	1.0	1.7889594	0.006740967	420000	1510.995522737503
14	-0.16388874	2.7479932	7.006403	-3.9993927	8.46	11.131414	43.0	0.0	300.0	22070.0	0.049044444444444446	-0.099590614	0.76060927	2.6853955	-2.5629294	1.6916385	2.9060264	18.077051	-2.1165564	-9.060405e-09	-0.011882487	-2.0345052e-08	-0.018175839	0.26568937	-0.047424957	9.917125	-1.3618107	1.4339104	0.027428508	1.7153006	0.0	1.7882504	0.008426948	450000	1612.2586591243744
15	0.56318945	2.901733	12.047783	-3.477049	7.25	11.017599	47.0	0.0	300.0	22795.0	0.047489583333333335	-0.059540935	0.7302385	2.3070836	-2.7738514	1.5486797	2.5825086	16.525225	-1.5691916	-7.4381905e-09	-0.007706206	-1.3224284e-08	-0.012223373	0.39824846	-0.07961482	7.693471	-0.9952855	1.4613389	0.026646614	1.977681	1.0	1.790035	0.0060776123	480000	1713.3849425315857
