Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	-2.339681e-08	-0.013713619	-4.8828124e-08	-0.021730624	0.41809905	-0.27705646	120.26528	-64.57302	1.0	0.0318954	1.4155568	0.0	1.837877	0.0070796856	30000	84.38967299461365
1	0.1505548	1.5062134	5.475109	-2.5980966	25.49	25.244205	104.0	0.0	300.0	5313.0	0.08855	0.2643188	0.20418026	0.96732575	-0.36933237	5.95119	3.9501305	14.657544	-3.1959581	1.3336061e-08	-0.013851658	2.0345052e-08	-0.023624975	0.18278565	-0.03880036	50.235237	-5.967102	1.0318954	0.032370567	1.3967364	0.0	1.8238354	0.007555576	60000	168.2306046485901
2	0.6624305	1.6031144	7.174998	-2.2467983	21.24	22.935616	88.0	0.0	300.0	7437.0	0.08263333333333334	0.18903178	0.31601125	1.3609341	-0.4922225	6.157441	4.9811196	17.2869	-5.1262183	-1.971166e-09	-0.013322528	0.0	-0.026537329	0.16992174	-0.021551743	37.51269	-4.419876	1.064266	0.032528996	1.5860099	0.0	1.8263097	0.009367163	90000	252.17420887947083
3	1.0401229	1.8592756	5.2157435	-2.7992454	22.42	26.192816	125.0	0.0	300.0	9679.0	0.08065833333333333	0.30862486	0.38845053	1.595011	-0.41527998	7.1962633	4.668119	18.14879	-2.6045072	-6.1974346e-09	-0.015262902	-8.138021e-09	-0.026780294	0.19712749	-0.026091665	45.3753	-4.1362267	1.096795	0.033028364	1.2979459	0.0	1.8386613	0.008120963	120000	335.6979112625122
4	0.69465196	2.2024105	7.3673615	-2.7096436	19.45	22.446102	92.0	0.0	300.0	11624.0	0.07749333333333333	0.2782558	0.51019967	1.8690858	-0.55981064	5.240595	4.4230895	21.498053	-2.0483754	-1.2455058e-08	-0.01285458	-1.6276042e-08	-0.023160603	0.23392402	-0.016035154	30.830679	-3.714285	1.1298233	0.03323245	1.6446307	0.0	1.8331645	0.008751032	150000	419.93724632263184
5	0.44038802	2.4659245	8.477655	-3.4168766	12.17	15.122868	66.0	0.0	300.0	12841.0	0.07133888888888888	0.13425675	0.6013366	1.913595	-0.8616437	3.3710394	4.5625324	26.29136	-1.9514805	-3.1284404e-09	-0.011334426	-4.0690105e-09	-0.019902503	0.2996268	-0.02913633	19.853647	-3.5269642	1.1630558	0.0323627	1.6816181	0.0	1.8455904	0.0069800373	180000	504.03042697906494
6	0.06969976	2.1420577	6.5696316	-3.4117172	10.06	12.837304	58.0	0.0	300.0	13847.0	0.06593809523809524	-0.012977477	0.5841589	1.9789013	-1.1898396	2.4677281	3.6293957	23.701948	-1.532663	-1.1877337e-09	-0.011029926	-8.138021e-09	-0.015634652	0.25502488	-0.025401697	13.076592	-1.1384869	1.1954185	0.031377792	1.9059228	0.0	1.8285203	0.009095671	210000	588.2153015136719
7	0.23385368	2.6216652	10.325082	-4.209956	9.43	13.5898905	55.0	0.0	300.0	14790.0	0.061625	-0.020077664	0.56295073	1.7641517	-1.5704709	2.1721406	3.137083	21.02764	-1.1653882	-3.819399e-09	-0.009638342	-6.1035155e-09	-0.014144463	0.26960662	-0.023993239	13.219283	-1.0660295	1.2267963	0.03054583	2.075249	0.0	1.8148413	0.007771852	240000	677.0052452087402
8	0.4343087	2.207065	5.5904617	-3.1063037	12.07	17.229195	78.0	0.0	300.0	15997.0	0.05924814814814815	0.0075507537	0.58676505	1.7829305	-1.3937343	2.0798037	3.2482162	22.826473	-1.025644	9.0393035e-09	-0.012595736	8.138021e-09	-0.018315038	0.29008535	-0.04476382	18.212183	-2.0850143	1.2573421	0.030522466	1.645308	0.0	1.8027978	0.008477243	270000	765.9285395145416
9	1.0778148	2.2756746	6.5635266	-3.6851456	13.93	17.815866	70.0	0.0	300.0	17390.0	0.057966666666666666	0.13418485	0.6454154	1.969543	-1.5887247	2.8194003	3.775777	23.6185	-1.6212391	1.7785189e-09	-0.013238693	0.0	-0.02212387	0.3333394	-0.052278012	22.154991	-1.9532127	1.2878646	0.030948758	1.5703254	0.0	1.8023167	0.008962567	300000	851.6386687755585
