Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.051362004	1.2578632	3.9581761	-2.5361326	27.64	26.115332	98.0	0.0	300.0	2764.0	0.09213333333333333	0.71536005	0.1220155	1.2274988	0.2796672	-0.52475053	0.079698846	-0.18569425	-0.8056975	-2.339681e-08	-0.013713619	-4.8828124e-08	-0.021730624	0.41809905	-0.27705646	120.26528	-64.57302	1.0	0.0318954	1.4155568	0.0	1.837877	0.0070796856	30000	82.7612977027893
1	0.1505548	1.5062134	5.475109	-2.5980966	25.49	25.244205	104.0	0.0	300.0	5313.0	0.08855	0.2643188	0.20418026	0.96732575	-0.36933237	5.95119	3.9501305	14.657544	-3.1959581	1.3336061e-08	-0.0138430605	2.0345052e-08	-0.023615638	0.18278565	-0.03880036	50.235237	-5.967102	1.0318954	0.032372832	1.3962159	0.0	1.8238354	0.0075952974	60000	169.12383460998535
2	0.6593178	1.6066854	7.170373	-2.2421932	21.33	22.721819	90.0	0.0	300.0	7446.0	0.08273333333333334	0.18934964	0.31577492	1.360175	-0.5008536	6.1501813	4.996633	17.290102	-5.1382847	-3.6889611e-09	-0.0136196045	8.138021e-09	-0.027171316	0.16517645	-0.0193979	37.661232	-4.0487366	1.0642682	0.032553315	1.5460167	0.0	1.8263091	0.009792858	90000	258.1959397792816
3	1.0224694	1.8868232	6.5969763	-2.7588055	22.31	26.643835	137.0	0.0	300.0	9677.0	0.08064166666666667	0.288323	0.3735792	1.5308106	-0.4085425	7.183576	4.61027	17.86471	-2.6576493	1.3146472e-08	-0.014858238	3.2552084e-08	-0.026171338	0.19676578	-0.026897386	47.8314	-3.9495277	1.0968215	0.03303957	1.3830305	0.0	1.8433447	0.008284061	120000	343.29600191116333
4	0.64107484	2.125498	5.691821	-2.6727495	18.47	21.16953	104.0	0.0	300.0	11524.0	0.07682666666666667	0.26811045	0.5021723	1.8555275	-0.54463875	5.3591924	4.493345	21.430141	-2.0759263	-1.4278685e-08	-0.014781458	-3.051758e-08	-0.02418422	0.2242568	-0.017469764	29.115364	-2.6892433	1.1298611	0.033130646	1.3914671	0.0	1.8412575	0.008878895	150000	426.40874218940735
5	0.5472402	2.3179786	6.626235	-3.2872212	13.22	15.869832	64.0	0.0	300.0	12846.0	0.07136666666666666	0.116064176	0.57557356	2.001587	-0.7693374	3.6141589	4.567267	24.79274	-2.2169397	1.5008085e-08	-0.0115313195	2.4414062e-08	-0.018888848	0.27699882	-0.028458297	22.531122	-3.2911758	1.1629918	0.03254652	1.4975064	0.0	1.8532131	0.008692818	180000	514.5510563850403
6	0.35479954	2.404762	7.9997973	-3.349682	12.0	16.769615	76.0	0.0	300.0	14046.0	0.06688571428571428	0.05262682	0.5962917	1.9561119	-1.0984675	2.9108827	4.033167	24.522476	-1.7610986	-4.532337e-09	-0.014258306	-4.0690105e-09	-0.022030337	0.26900813	-0.02136077	18.729452	-1.398613	1.1955383	0.032012224	1.4212911	0.0	1.8465006	0.00921904	210000	603.8132226467133
7	0.37181407	2.4647079	8.042347	-4.1386433	10.98	13.818089	54.0	0.0	300.0	15144.0	0.0631	0.06616333	0.6253025	2.1481903	-1.3243332	2.6223562	3.6194773	22.649603	-1.0788175	4.240353e-11	-0.011188317	7.1207684e-09	-0.020555334	0.30122104	-0.029455513	16.34301	-1.9054327	1.2275505	0.03149855	1.7877468	0.0	1.8279994	0.007868575	240000	688.9614293575287
8	0.20143583	2.453424	6.96011	-3.378614	12.96	19.183805	99.0	0.0	300.0	16440.0	0.06088888888888889	0.027116096	0.5644359	1.8178508	-1.6127264	2.1251926	3.0943413	19.001413	-1.2758977	8.604621e-09	-0.011619339	1.2207031e-08	-0.017283468	0.33417258	-0.05697897	21.971373	-3.505024	1.259049	0.031557202	1.6581457	0.0	1.8102576	0.007809477	270000	772.7574090957642
9	0.67125684	2.1616147	5.6152525	-3.3091316	9.09	12.648395	76.0	0.0	300.0	17349.0	0.05783	0.11664006	0.6747345	2.0586991	-1.7888653	2.7584116	4.029645	24.836878	-2.0866978	8.654251e-09	-0.011080075	1.2207031e-08	-0.019258546	0.2962727	-0.060053006	13.331298	-3.3656979	1.2906063	0.030910492	1.8438771	0.0	1.8044989	0.008219239	300000	856.1295292377472
10	0.28864086	2.5971816	6.7321877	-4.1142216	11.97	13.106834	53.0	0.0	300.0	18546.0	0.0562	0.09079933	0.6146949	1.974524	-1.7956014	2.146872	2.9331384	20.404444	-1.9492998	-2.457156e-09	-0.011123963	-5.086263e-09	-0.017190652	0.27100548	-0.04972644	12.998028	-1.2015171	1.3215168	0.031026363	1.8135623	0.0	1.7913196	0.009215175	330000	939.8699259757996
11	0.7329348	2.6808958	8.899465	-3.8998492	8.89	12.863044	56.0	0.0	300.0	19435.0	0.05398611111111111	0.099450044	0.6922929	2.1833634	-2.490602	2.170779	3.072628	18.134941	-2.3887684	8.393066e-09	-0.012623742	4.0690105e-09	-0.019068623	0.30829257	-0.042732716	12.691482	-0.8008013	1.3525431	0.030546427	1.6105535	0.0	1.7941369	0.009438365	360000	1023.3559267520905
