Epoch	Episode	EpRet	EpCost	TotalEnvInteracts	Time
0	0	8.082014	0.0	102	1349.2100005149841
0	1	8.939948	8.0	203	1504.3046374320984
0	2	0.92034596	0.0	303	1655.3731672763824
0	3	8.407566	15.0	403	1806.9024968147278
0	4	0.81681365	8.0	503	1969.4222683906555
0	5	6.446573	3.0	604	2123.70743727684
0	6	10.952263	0.0	706	2280.7023832798004
0	7	4.171359	0.0	807	2432.9585604667664
0	8	2.0898144	0.0	907	2580.245790719986
0	9	3.4324281	0.0	1008	2744.6336789131165
1	10	1.727776	5.0	1108	3180.361111164093
1	11	6.023415	3.0	1209	3341.3509714603424
1	12	4.3299575	0.0	1310	3499.779768228531
1	13	14.022657	0.0	1413	3647.511528968811
1	14	3.1939907	7.0	1514	3805.1913499832153
1	15	11.92428	5.0	1616	3956.2694358825684
1	16	7.011232	0.0	1717	4092.5186092853546
1	17	0.7736016	0.0	1817	4219.682848930359
1	18	11.230004	0.0	1919	4368.7495856285095
1	19	0.95310515	0.0	2019	4524.842129468918
2	20	4.0694118	0.0	2120	4996.126054525375
2	21	13.005723	4.0	2222	5151.6659479141235
2	22	6.411809	4.0	2322	5304.17490530014
2	23	15.728568	0.0	2424	5458.719262123108
2	24	5.9864335	4.0	2525	5616.706830739975
2	25	3.0292122	0.0	2626	5772.382568836212
2	26	0.56693107	0.0	2726	5940.33052444458
2	27	16.190844	4.0	2829	6096.316453695297
2	28	3.4302526	0.0	2929	6260.391507148743
2	29	7.4581876	5.0	3030	6405.3408834934235
3	30	16.406519	0.0	3132	6858.385387182236
3	31	3.2966697	55.0	3233	7012.836471796036
3	32	11.990381	0.0	3335	7161.052514791489
3	33	8.474694	2.0	3437	7308.050439357758
3	34	10.831887	0.0	3539	7463.295172214508
3	35	0.8056768	3.0	3639	7616.634444952011
3	36	10.983852	0.0	3741	7762.838245391846
3	37	6.8795652	0.0	3841	7917.914892673492
3	38	10.817916	0.0	3943	8080.624940872192
3	39	11.038029	0.0	4045	8233.467676639557
4	40	0.44364113	36.0	4145	8698.43837761879
4	41	5.253588	0.0	4246	8859.86710858345
4	42	13.018702	0.0	4348	9003.951778173447
4	43	13.15023	6.0	4450	9143.139001846313
4	44	5.120555	0.0	4551	9286.498557329178
4	45	7.826727	0.0	4652	9429.736703157425
4	46	14.36018	1.0	4754	9574.942299842834
4	47	12.289294	0.0	4856	9729.15341925621
4	48	21.168043	0.0	4960	9877.420246839523
4	49	16.516356	0.0	5063	10024.363391637802
5	50	15.848155	3.0	5167	10494.75490450859
5	51	9.659656	2.0	5269	10654.839664459229
5	52	16.67589	0.0	5371	10803.14952492714
5	53	13.4792385	0.0	5474	10953.038321733475
5	54	3.048133	25.0	5575	11103.552565574646
5	55	14.020055	0.0	5678	11256.499893665314
5	56	7.2401233	3.0	5780	11419.417901277542
5	57	14.37262	2.0	5882	11571.57661986351
5	58	13.6153145	2.0	5984	11719.479039430618
5	59	7.4641557	0.0	6086	11874.867912769318
6	60	16.282969	0.0	6189	12267.631077051163
6	61	0.7599603	0.0	6289	12419.540357351303
6	62	12.191124	0.0	6390	12569.081661939621
6	63	14.332121	2.0	6491	12723.150898456573
6	64	7.7368407	0.0	6592	12885.13137292862
6	65	7.0968413	0.0	6693	13040.457256555557
6	66	14.471132	0.0	6796	13188.2160115242
6	67	18.25106	4.0	6899	13348.22995376587
6	68	11.679701	0.0	7001	13494.94058084488
6	69	4.9081397	7.0	7102	13637.428129673004
7	70	11.95107	1.0	7205	13990.322157621384
7	71	13.326773	0.0	7307	14146.265307664871
7	72	16.451763	0.0	7409	14305.152037620544
7	73	16.93311	4.0	7511	14445.644240379333
7	74	6.737807	0.0	7613	14596.625499010086
7	75	7.172843	0.0	7714	14755.461048603058
7	76	12.406031	0.0	7815	14911.53462600708
7	77	14.00056	3.0	7917	15066.358613967896
7	78	4.311095	0.0	8018	15235.024770975113
7	79	13.3405075	0.0	8120	15387.64246058464
8	80	14.497236	0.0	8223	15719.88757610321
8	81	16.296658	3.0	8326	15871.920384168625
8	82	13.625231	2.0	8427	16012.61014842987
8	83	16.632069	2.0	8529	16163.14603638649
8	84	14.839995	2.0	8631	16317.750579118729
8	85	18.863146	0.0	8732	16467.145964622498
8	86	13.663998	2.0	8833	16614.746765851974
8	87	19.495996	0.0	8936	16766.245711565018
8	88	2.3993742	48.0	9037	16934.606241226196
8	89	5.7564807	5.0	9139	17090.657861232758
9	90	18.195562	0.0	9242	17562.700204610825
9	91	11.86848	0.0	9344	17714.488129615784
9	92	15.858566	2.0	9448	17871.442451000214
9	93	0.38494644	0.0	9548	18029.881458997726
9	94	6.7875633	0.0	9650	18190.80522251129
9	95	18.014605	2.0	9751	18337.896203517914
9	96	14.431621	5.0	9853	18484.830226898193
9	97	17.768803	0.0	9956	18633.295562267303
9	98	15.991791	1.0	10058	18778.207149982452
9	99	11.743041	0.0	10160	18916.988003253937
10	100	18.034016	0.0	10262	19388.51824593544
10	101	14.669563	0.0	10365	19544.625626564026
10	102	17.987968	0.0	10468	19702.512782096863
10	103	11.987437	2.0	10569	19841.585166215897
10	104	13.532409	0.0	10671	19992.026790857315
10	105	12.48087	0.0	10773	20153.921813249588
10	106	9.44597	1.0	10875	20314.740419864655
10	107	16.15892	0.0	10977	20476.523257493973
10	108	10.246935	1.0	11079	20631.065378904343
10	109	18.358013	0.0	11182	20788.90123295784
11	110	1.2176462	0.0	11282	21183.239845514297
11	111	0.6664656	0.0	11382	21335.792554616928
11	112	18.488607	0.0	11484	21490.029693841934
11	113	16.405533	0.0	11586	21640.22435116768
11	114	17.99808	6.0	11688	21784.55735373497
11	115	5.977736	0.0	11789	21933.945523262024
11	116	17.717104	0.0	11892	22084.988194942474
11	117	21.40802	0.0	11997	22258.03958415985
11	118	18.170303	0.0	12100	22414.699279785156
11	119	9.32744	4.0	12202	22560.132694244385
12	120	17.292974	0.0	12305	23037.28439283371
12	121	2.972234	0.0	12405	23187.531867027283
12	122	9.786095	0.0	12507	23330.053457975388
12	123	10.622794	0.0	12609	23478.75005865097
12	124	17.258335	0.0	12713	23637.56874370575
12	125	6.038626	0.0	12814	23779.63314151764
12	126	7.526959	0.0	12916	23938.50977396965
12	127	4.666893	0.0	13017	24095.9296271801
12	128	10.344197	2.0	13119	24257.867688179016
12	129	13.205608	0.0	13221	24416.95700764656
13	130	3.3467038	0.0	13321	24791.75640463829
13	131	9.765241	2.0	13423	24944.369767189026
13	132	9.566582	0.0	13525	25093.376606464386
13	133	0.33409098	0.0	13625	25227.529221057892
